sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-12T11:55:49.307226+00:00,1781265349.307226,0.00037108801188878715,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,180.1,238.1,50.0,0.802,142491.046,0.0,52.0,125.7,
1,2026-06-12T11:55:50.306985+00:00,1781265350.306985,1.0001451759890188,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,178.9,238.0,50.0,0.797,142491.046,0.0,52.1,125.8,
2,2026-06-12T11:55:51.307058+00:00,1781265351.307058,2.000216360989725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,175.5,238.1,50.0,0.784,142491.262,0.0,51.8,125.3,
3,2026-06-12T11:55:52.307073+00:00,1781265352.307073,3.000236666004639,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,174.1,238.1,50.0,0.779,142491.262,0.0,52.1,125.8,
4,2026-06-12T11:55:53.307079+00:00,1781265353.307079,4.0002365540130995,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,171.4,237.9,50.0,0.769,142491.262,0.0,51.8,125.3,
5,2026-06-12T11:55:54.307069+00:00,1781265354.307069,5.00023288000375,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,238.0,50.0,0.721,142491.262,0.0,52.1,125.8,
6,2026-06-12T11:55:55.307120+00:00,1781265355.30712,6.000278502993751,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,237.9,50.0,0.729,142491.262,0.0,52.0,125.7,
7,2026-06-12T11:55:56.307104+00:00,1781265356.307104,7.000270950986305,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.1,237.8,50.0,0.737,142491.479,0.0,52.0,125.7,
8,2026-06-12T11:55:57.307141+00:00,1781265357.307141,8.00030409899773,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.0,237.8,50.0,0.737,142491.479,0.0,51.8,125.2,
9,2026-06-12T11:55:58.307010+00:00,1781265358.30701,9.000173628999619,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.9,237.8,50.0,0.724,142491.479,0.0,52.1,125.8,
10,2026-06-12T11:55:59.307046+00:00,1781265359.307046,10.000207845994737,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.6,237.8,49.9,0.711,142491.479,0.0,52.1,125.8,
11,2026-06-12T11:56:00.307031+00:00,1781265360.307031,11.00019357400015,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,237.8,50.0,0.723,142491.479,0.0,51.8,125.3,
12,2026-06-12T11:56:01.307034+00:00,1781265361.307034,12.000197216984816,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,237.8,50.0,0.727,142491.695,0.0,52.1,125.8,
13,2026-06-12T11:56:02.306995+00:00,1781265362.306995,13.000147918006405,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,237.8,50.0,0.727,142491.695,0.0,52.1,125.8,
14,2026-06-12T11:56:03.307061+00:00,1781265363.307061,14.000225174007937,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.6,237.9,50.0,0.714,142491.695,0.0,52.0,125.7,
15,2026-06-12T11:56:04.307060+00:00,1781265364.30706,15.00022230099421,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,238.0,50.0,0.723,142491.695,0.0,52.1,125.8,
16,2026-06-12T11:56:05.307142+00:00,1781265365.307142,16.000305194000248,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.7,238.0,50.0,0.719,142491.911,0.0,51.8,125.2,
17,2026-06-12T11:56:06.307100+00:00,1781265366.3071,17.000264533999143,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.5,238.1,50.0,0.73,142491.911,0.0,52.1,125.8,
18,2026-06-12T11:56:07.306998+00:00,1781265367.306998,18.00016187300207,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.5,238.1,50.0,0.73,142491.911,0.0,52.0,125.7,
19,2026-06-12T11:56:08.306993+00:00,1781265368.306993,19.000155652989633,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.9,238.1,50.0,0.715,142491.911,0.0,52.1,125.8,
20,2026-06-12T11:56:09.307015+00:00,1781265369.307015,20.000178479996976,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.4,238.0,50.0,0.714,142491.911,0.0,52.0,125.7,
21,2026-06-12T11:56:10.307057+00:00,1781265370.307057,21.0002217660076,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,238.0,50.0,0.723,142491.911,0.0,52.0,125.7,
22,2026-06-12T11:56:11.307029+00:00,1781265371.307029,22.000192773004528,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,238.0,50.0,0.726,142492.128,0.0,52.1,125.8,
23,2026-06-12T11:56:12.307006+00:00,1781265372.307006,23.000164480006788,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.7,237.9,50.0,0.731,142492.128,0.0,52.1,125.8,
24,2026-06-12T11:56:13.307105+00:00,1781265373.307105,24.000275008002063,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,237.8,50.0,0.728,142492.128,0.0,52.1,125.8,
25,2026-06-12T11:56:14.307079+00:00,1781265374.307079,25.000246774987318,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.0,237.8,50.0,0.718,142492.128,0.0,52.1,125.8,
26,2026-06-12T11:56:15.307001+00:00,1781265375.307001,26.000163307995535,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.8,237.8,49.9,0.72,142492.128,0.0,52.1,125.8,
27,2026-06-12T11:56:16.307088+00:00,1781265376.307088,27.000245847011684,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.5,237.6,50.0,0.736,142492.344,0.0,52.0,125.7,
28,2026-06-12T11:56:17.307051+00:00,1781265377.307051,28.000209716992686,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,237.7,50.0,0.722,142492.344,0.0,52.1,125.8,
29,2026-06-12T11:56:18.307063+00:00,1781265378.307063,29.000227187003475,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.6,237.7,50.0,0.72,142492.344,0.0,52.1,125.8,
