sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-15T09:11:11.222281+00:00,1781514671.222281,0.0001984360278584063,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,236.3,49.9,0.726,152762.882,0.0,52.1,125.8,
1,2026-06-15T09:11:12.223110+00:00,1781514672.22311,1.0010421290062368,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.9,236.4,49.9,0.715,152762.882,0.0,52.1,125.8,
2,2026-06-15T09:11:13.222773+00:00,1781514673.222773,2.0007053230074234,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,236.4,49.9,0.728,152762.882,0.0,52.1,125.8,
3,2026-06-15T09:11:14.222461+00:00,1781514674.222461,3.0003937120200135,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,236.5,49.9,0.73,152763.099,0.0,52.1,125.8,
4,2026-06-15T09:11:15.222783+00:00,1781514675.222783,4.000717788003385,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,236.5,49.9,0.73,152763.099,0.0,52.1,125.8,
5,2026-06-15T09:11:16.222802+00:00,1781514676.222802,5.00073957699351,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.2,236.5,49.9,0.716,152763.099,0.0,52.1,125.8,
6,2026-06-15T09:11:17.222700+00:00,1781514677.2227,6.000632280018181,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.4,236.6,49.9,0.713,152763.099,0.0,52.1,125.8,
7,2026-06-15T09:11:18.222783+00:00,1781514678.222783,7.000717700982932,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,236.5,49.9,0.726,152763.099,0.0,52.1,125.8,
8,2026-06-15T09:11:19.222607+00:00,1781514679.222607,8.000544468988664,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.2,236.3,49.9,0.744,152763.315,0.0,52.1,125.8,
9,2026-06-15T09:11:20.222788+00:00,1781514680.222788,9.000722167023923,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,167.0,236.4,49.9,0.754,152763.315,0.0,52.2,125.9,
