model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,2.2739898636363045,2.2739898636363045,0.0,2.2739898636363045,0.018926490909090758,0.02087469090908743,0.016705163636372204,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.4789328636362469,1.4789328636362469,0.0,1.4789328636362469,0.012356850181817702,0.013949327272737056,0.011001290909078677,25.0,False,False
M1,accounting,accounting,,,,,accounting,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.1606959090909093,1.1606959090909093,1.1606959090909093,1.1606959090909093,0.009773269818181819,0.016309018181818187,0.005795290909090918,25.0,False,False
M1,ad,ad,,,,,ad,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.6456718181818184,0.6456718181818184,0.6456718181818184,0.6456718181818184,0.005357525090909092,0.006660145454545458,0.0038294363636363535,25.0,False,False
M1,cart,cart,,,,,cart,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.5708009545454553,2.5708009545454553,2.5708009545454553,2.5708009545454553,0.021440514181818183,0.03317483636363634,0.012728545454545472,25.0,False,False
M1,checkout,checkout,,,,,checkout,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.610393181818182,2.610393181818182,2.610393181818182,2.610393181818182,0.022010368727272724,0.028871872727272728,0.01862003636363636,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.3109674545454804,1.3109674545454804,0.0,1.3109674545454804,0.010934429818182045,0.011542763636367163,0.010121872727271155,25.0,False,False
M1,currency,currency,,,,,currency,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.12567954545454546,0.12567954545454546,0.12567954545454546,0.12567954545454546,0.001052514909090909,0.0013756909090909095,0.0006982000000000003,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,21.8720320000002,21.8720320000002,0.0,21.8720320000002,0.18260851927272795,0.2008008909090842,0.17214785454546225,25.0,False,False
M1,email,email,,,,,email,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.13066495454545454,0.13066495454545454,0.13066495454545454,0.13066495454545454,0.0011115752727272727,0.001778672727272727,0.0005938545454545451,25.0,False,False
M1,flagd,flagd,,,,,flagd,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.14362277272727275,0.14362277272727275,0.14362277272727275,0.14362277272727275,0.001205725090909091,0.0018844181818181817,0.000734963636363636,25.0,False,False
M1,flagd-ui,flagd-ui,,,,,flagd-ui,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.373245954545454,1.373245954545454,0.0,1.373245954545454,0.011484455272727269,0.013405418181818179,0.010459690909090907,25.0,False,False
M1,fraud-detection,fraud-detection,,,,,fraud-detection,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.8007856818181813,1.8007856818181813,1.8007856818181813,1.8007856818181813,0.015101066181818178,0.021594127272727234,0.011318672727272756,25.0,False,False
M1,frontend,frontend,,,,,frontend,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,49.61098195454545,49.61098195454545,49.61098195454545,49.61098195454545,0.40933123927272724,0.6482907636363637,0.016281090909090905,25.0,False,False
M1,frontend-proxy,frontend-proxy,,,,,frontend-proxy,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,8.294741227272727,8.294741227272727,8.294741227272727,8.294741227272727,0.06868987781818181,0.10123932727272729,0.018059654545454544,25.0,False,False
M1,image-provider,image-provider,,,,,image-provider,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.10863704545454544,0.10863704545454544,0.10863704545454544,0.10863704545454544,0.0009035672727272727,0.0012116363636363637,0.0006174545454545453,25.0,False,False
M1,kafka,kafka,,,,,kafka,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,4.346058818181817,4.346058818181817,4.346058818181817,4.346058818181817,0.03631005818181817,0.04486700000000009,0.030032709090909018,25.0,False,False
