sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-10T16:15:57.661839+00:00,1781108157.661839,0.00018163200002163649,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,235.3,50.0,0.691,136035.922,0.0,51.7,125.1,
1,2026-06-10T16:15:58.662330+00:00,1781108158.66233,1.0006918520011823,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,235.4,50.0,0.693,136035.922,0.0,51.7,125.1,
2,2026-06-10T16:15:59.661841+00:00,1781108159.661841,2.000197274999664,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,235.4,49.9,0.686,136035.922,0.0,51.7,125.0,
3,2026-06-10T16:16:00.662065+00:00,1781108160.662065,3.000425185000495,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,235.2,50.0,0.682,136035.922,0.0,51.6,124.9,
4,2026-06-10T16:16:01.662144+00:00,1781108161.662144,4.000505913001689,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,235.3,49.9,0.693,136035.922,0.0,51.6,124.9,
5,2026-06-10T16:16:02.662404+00:00,1781108162.662404,5.000764116000937,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,235.4,49.9,0.69,136035.922,0.0,51.7,125.0,
6,2026-06-10T16:16:03.662123+00:00,1781108163.662123,6.000482707000629,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,235.4,50.0,0.685,136036.138,0.0,51.6,124.9,
7,2026-06-10T16:16:04.662246+00:00,1781108164.662246,7.000607324000157,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.5,235.4,49.9,0.685,136036.138,0.0,51.6,124.9,
8,2026-06-10T16:16:05.662355+00:00,1781108165.662355,8.00071448900053,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.1,235.3,49.9,0.684,136036.138,0.0,51.7,125.1,
9,2026-06-10T16:16:06.662370+00:00,1781108166.66237,9.000730365998606,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,235.3,49.9,0.688,136036.138,0.0,51.7,125.0,
10,2026-06-10T16:16:07.662249+00:00,1781108167.662249,10.000608499001828,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,235.4,49.9,0.683,136036.138,0.0,51.7,125.0,
11,2026-06-10T16:16:08.662020+00:00,1781108168.66202,11.000380312998459,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,235.3,49.9,0.686,136036.354,0.0,51.7,125.1,
12,2026-06-10T16:16:09.662259+00:00,1781108169.662259,12.00062174499908,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,235.4,49.9,0.683,136036.354,0.0,51.6,124.9,
13,2026-06-10T16:16:10.661911+00:00,1781108170.661911,13.000268914001936,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.2,235.5,49.9,0.68,136036.354,0.0,51.6,124.9,
14,2026-06-10T16:16:11.662314+00:00,1781108171.662314,14.00067922100061,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,235.3,49.9,0.696,136036.354,0.0,51.6,124.9,
15,2026-06-10T16:16:12.662216+00:00,1781108172.662216,15.000571674998355,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,235.5,49.9,0.686,136036.354,0.0,51.7,125.0,
16,2026-06-10T16:16:13.662266+00:00,1781108173.662266,16.000626057000773,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.4,235.5,49.9,0.681,136036.571,0.0,51.6,124.9,
17,2026-06-10T16:16:14.662185+00:00,1781108174.662185,17.000545605998923,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,235.3,49.9,0.684,136036.571,0.0,51.7,125.0,
18,2026-06-10T16:16:15.662329+00:00,1781108175.662329,18.00069082600021,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.4,235.5,49.9,0.681,136036.571,0.0,51.7,125.0,
19,2026-06-10T16:16:16.661791+00:00,1781108176.661791,19.000143788998685,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.1,235.4,49.9,0.696,136036.571,0.0,51.6,124.9,
20,2026-06-10T16:16:17.662359+00:00,1781108177.662359,20.000719260999176,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,235.2,49.9,0.687,136036.571,0.0,51.7,125.1,
21,2026-06-10T16:16:18.662281+00:00,1781108178.662281,21.00063870500162,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,236.0,49.9,0.683,136036.787,0.0,51.6,124.9,
22,2026-06-10T16:16:19.662340+00:00,1781108179.66234,22.000698143998306,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,236.1,49.9,0.682,136036.787,0.0,51.7,125.1,
23,2026-06-10T16:16:20.661929+00:00,1781108180.661929,23.000285876001726,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.2,49.9,0.681,136036.787,0.0,51.7,125.1,
