model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,4.0505994772879,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.3682363161170818,,0.13014680162517622
M2,cartservice,primary_application,2,2,0.0,14.147038966129593,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,1.2860944514663266,,0.4545479957305692
M2,checkoutservice,primary_application,2,2,0.0,0.6316108686040772,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.057419169873097926,,0.020293819441155648
M2,currencyservice,primary_application,2,2,0.0,1.0009798050683156,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.0909981640971196,,0.03216173824430044
M2,emailservice,primary_application,2,2,0.0,2.325271787687153,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.21138834433519574,,0.07471157979790292
M2,frontend,primary_application,2,2,0.0,0.43289766391521833,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.039354333083201666,,0.013909113133866061
M2,paymentservice,primary_application,2,2,0.0,0.9323337914675452,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.08475761740614048,,0.029956124195181854
M2,productcatalogservice,primary_application,2,2,0.0,0.6273501079034846,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.057031827991225865,,0.02015692010544456
M2,recommendationservice,primary_application,2,2,0.0,2.556271192386621,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.23238829021696555,,0.0821336500044307
M2,redis-cart,primary_application,2,2,0.0,3.5094371236865096,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.31903973851695544,,0.1127591162032814
M2,shippingservice,primary_application,2,2,0.0,0.9095209431364251,True,low,low,40,121.0842649936676,11.0,0.0,0.9145984480468164,1.0,5000.0,0.08268372210331137,,0.029223141518690855
