sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-10T11:17:14.786121+00:00,1781090234.786121,0.0001630160004424397,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,236.3,49.9,0.688,135296.241,0.0,51.6,124.9,
1,2026-06-10T11:17:15.786584+00:00,1781090235.786584,1.0006405160002032,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,236.5,49.9,0.684,135296.241,0.0,51.6,124.8,
2,2026-06-10T11:17:16.786382+00:00,1781090236.786382,2.000434653999946,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,236.6,49.9,0.691,135296.241,0.0,51.6,124.8,
3,2026-06-10T11:17:17.786626+00:00,1781090237.786626,3.000687833000484,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.2,49.9,0.685,135296.241,0.0,51.6,124.8,
4,2026-06-10T11:17:18.786730+00:00,1781090238.78673,4.00078950400075,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.3,49.9,0.685,135296.457,0.0,51.6,124.9,
5,2026-06-10T11:17:19.786538+00:00,1781090239.786538,5.000593793000007,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.3,49.9,0.685,135296.457,0.0,51.6,124.8,
6,2026-06-10T11:17:20.786545+00:00,1781090240.786545,6.000598511000135,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.4,49.9,0.69,135296.457,0.0,51.6,124.9,
7,2026-06-10T11:17:21.786272+00:00,1781090241.786272,7.000324278000335,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,236.2,49.9,0.68,135296.457,0.0,51.6,124.9,
8,2026-06-10T11:17:22.786506+00:00,1781090242.786506,8.00056129800032,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,236.2,49.9,0.69,135296.457,0.0,51.6,124.8,
9,2026-06-10T11:17:23.786480+00:00,1781090243.78648,9.00053616600053,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.2,236.4,49.9,0.702,135296.457,0.0,51.6,124.8,
10,2026-06-10T11:17:24.786668+00:00,1781090244.786668,10.000723977000234,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,236.3,49.9,0.69,135296.673,0.0,51.6,124.9,
11,2026-06-10T11:17:25.786616+00:00,1781090245.786616,11.000672517000567,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,236.3,49.9,0.693,135296.673,0.0,51.6,124.9,
12,2026-06-10T11:17:26.786307+00:00,1781090246.786307,12.000362707000022,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.5,236.3,49.9,0.683,135296.673,0.0,51.6,124.9,
13,2026-06-10T11:17:27.786439+00:00,1781090247.786439,13.000493158000609,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,236.1,49.9,0.691,135296.673,0.0,51.6,124.9,
14,2026-06-10T11:17:28.786808+00:00,1781090248.786808,14.00086379000004,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.1,49.9,0.689,135296.673,0.0,51.6,124.8,
15,2026-06-10T11:17:29.786639+00:00,1781090249.786639,15.000695335000273,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,236.1,49.9,0.693,135296.889,0.0,51.6,124.9,
16,2026-06-10T11:17:30.786419+00:00,1781090250.786419,16.00047387700033,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,235.6,49.9,0.685,135296.889,0.0,51.6,124.9,
17,2026-06-10T11:17:31.786367+00:00,1781090251.786367,17.000419891000092,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.0,49.9,0.687,135296.889,0.0,51.6,124.9,
18,2026-06-10T11:17:32.786247+00:00,1781090252.786247,18.000304786000015,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,235.9,49.9,0.695,135296.889,0.0,51.7,125.0,
19,2026-06-10T11:17:33.786603+00:00,1781090253.786603,19.000658845000544,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.6,235.9,49.9,0.704,135296.889,0.0,51.6,124.9,
20,2026-06-10T11:17:34.786264+00:00,1781090254.786264,20.00032065600044,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,236.1,49.9,0.692,135297.106,0.0,51.6,124.9,
21,2026-06-10T11:17:35.786535+00:00,1781090255.786535,21.000589515000684,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.1,49.9,0.688,135297.106,0.0,51.7,125.0,
22,2026-06-10T11:17:36.786320+00:00,1781090256.78632,22.000373681999918,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,236.3,49.9,0.688,135297.106,0.0,51.6,124.9,
23,2026-06-10T11:17:37.786766+00:00,1781090257.786766,23.000819304000288,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.3,49.9,0.687,135297.106,0.0,51.6,124.9,
24,2026-06-10T11:17:38.786609+00:00,1781090258.786609,24.00066262600012,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,236.2,49.9,0.685,135297.106,0.0,51.6,124.9,
25,2026-06-10T11:17:39.786791+00:00,1781090259.786791,25.00086030700004,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,236.6,49.9,0.683,135297.322,0.0,51.6,124.9,
26,2026-06-10T11:17:40.786197+00:00,1781090260.786197,26.000249641000664,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,236.2,49.9,0.68,135297.322,0.0,51.6,124.9,
27,2026-06-10T11:17:41.786811+00:00,1781090261.786811,27.000865659000738,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,236.3,49.9,0.689,135297.322,0.0,51.6,124.9,
28,2026-06-10T11:17:42.786781+00:00,1781090262.786781,28.00083475500014,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.1,236.3,49.9,0.701,135297.322,0.0,51.7,125.1,
29,2026-06-10T11:17:43.786156+00:00,1781090263.786156,29.000209777000236,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.1,236.4,49.9,0.693,135297.322,0.0,51.6,124.9,
30,2026-06-10T11:17:44.786318+00:00,1781090264.786318,30.000372952999896,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,236.3,49.9,0.688,135297.538,0.0,51.7,125.1,
31,2026-06-10T11:17:45.786440+00:00,1781090265.78644,31.000493727000503,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.3,49.9,0.69,135297.538,0.0,51.6,124.9,
32,2026-06-10T11:17:46.786235+00:00,1781090266.786235,32.0002898140001,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,236.5,49.9,0.691,135297.538,0.0,51.6,124.9,
33,2026-06-10T11:17:47.786540+00:00,1781090267.78654,33.0005948349999,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.3,49.9,0.687,135297.538,0.0,51.7,125.0,
34,2026-06-10T11:17:48.786285+00:00,1781090268.786285,34.00033785600044,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.1,49.9,0.681,135297.538,0.0,51.7,125.0,
35,2026-06-10T11:17:49.786197+00:00,1781090269.786197,35.00025021200054,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,235.9,49.9,0.687,135297.755,0.0,51.6,124.8,
36,2026-06-10T11:17:50.786726+00:00,1781090270.786726,36.00078027000018,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,236.0,49.9,0.681,135297.755,0.0,51.6,124.9,
