model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.4875361818181525,1.4875361818181525,0.0,1.4875361818181525,0.012429591272727015,0.013610581818182315,0.0116826363636384,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.2512239090908883,1.2512239090908883,0.0,1.2512239090908883,0.010444002181818011,0.011387581818180014,0.009504581818179179,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.34106236363636316,0.34106236363636316,0.0,0.34106236363636316,0.0028503621818181685,0.0031963999999998225,0.002278090909090803,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,12.07840722727246,12.07840722727246,0.0,12.07840722727246,0.1006416174545431,0.10550459999998854,0.08834603636362937,25.0,False,False
M1,kepler,kepler,,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,7.851979636363612,7.851979636363612,0.0,7.851979636363612,0.06544400872727278,0.07023312727271992,0.05800421818182299,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,local-path-provisioner,local-path-provisioner,,,,,local-path-provisioner,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.03675440909091098,0.03675440909091098,0.0,0.03675440909091098,0.0003032741818181979,0.00046194545454549815,0.0,25.0,False,False
M1,metrics-server,metrics-server,,,,,metrics-server,platform_observability,builtin_group,0.95,builtin_platform_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.4357977727272875,0.4357977727272875,0.0,0.4357977727272875,0.0036129861818182314,0.004469872727273902,0.002786945454545921,25.0,False,False
M1,redis,redis,,,,,redis,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.22172290909090908,0.22172290909090908,0.0,0.22172290909090908,0.0018471207272727271,0.0023257454545454544,0.001377054545454545,25.0,False,False
M1,server,server,,,,,server,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.1827378636363632,1.1827378636363632,0.0,1.1827378636363632,0.009737578909090905,0.014427690909090901,0.005181272727272722,25.0,False,False
M1,traefik,traefik,,,,,traefik,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.05209790909090653,0.05209790909090653,0.0,0.05209790909090653,0.00043077818181815525,0.0008697090909091057,0.0,25.0,False,False
M2,local-path-provisioner/local-path-provisioner-8686667995-hc5lc,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod162c85c1_efcc_4d47_9473_e8345ba864b6.slice/cri-containerd-847266601bf71623cb361d982f878e467b0a64bf136b71f20d400073cc5350f4.scope,847266601bf71623cb361d982f878e467b0a64bf136b71f20d400073cc5350f4,local-path-provisioner-8686667995-hc5lc,kube-system,local-path-provisioner,local-path-provisioner,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.95,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,False,True
M2,local-path-provisioner/local-path-provisioner-8686667995-hc5lc,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod162c85c1_efcc_4d47_9473_e8345ba864b6.slice/cri-containerd-ce94b80aa38c07b356c1b437a326b68dca51fda746e2d87fad8b3094a296f8a1.scope,ce94b80aa38c07b356c1b437a326b68dca51fda746e2d87fad8b3094a296f8a1,local-path-provisioner-8686667995-hc5lc,kube-system,local-path-provisioner,local-path-provisioner,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.95,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0074625099322914185,0.0,0.0074625099322914185,6.36251795071397e-05,0.00010515970515969912,2.6656925555413135e-05,25.0,False,False
M2,traefik/traefik-c5c8bf4ff-n7xc7,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod17f1d06b_1bd4_42ac_8ad1_48a05662a9fe.slice/cri-containerd-1f9bb99cdb236d23de06da85e9bba3f8ae9721b6fad9c99d382f430d6fba196f.scope,1f9bb99cdb236d23de06da85e9bba3f8ae9721b6fad9c99d382f430d6fba196f,traefik-c5c8bf4ff-n7xc7,kube-system,traefik,traefik,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.95,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,False,True
M2,traefik/traefik-c5c8bf4ff-n7xc7,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod17f1d06b_1bd4_42ac_8ad1_48a05662a9fe.slice/cri-containerd-5631f4cef39e9cc9253a5199e1111b92d40d436031593f03e7190019bfe05d28.scope,5631f4cef39e9cc9253a5199e1111b92d40d436031593f03e7190019bfe05d28,traefik-c5c8bf4ff-n7xc7,kube-system,traefik,traefik,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.95,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.03018119622689725,0.0,0.03018119622689725,0.0002486468986167181,0.0003887527036770373,0.00014829766892377608,25.0,False,False
M2,svclb-traefik-95cad6a4-kf8m6,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod4da952a2_8044_4e4b_ac81_c99dc42da725.slice/cri-containerd-031480950fde1c915a8950e17be35b2c8a603128b83c8b6d7d5eb0bf1f2794e5.scope,031480950fde1c915a8950e17be35b2c8a603128b83c8b6d7d5eb0bf1f2794e5,svclb-traefik-95cad6a4-kf8m6,kube-system,,svclb-traefik-95cad6a4-kf8m6,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.8,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:pod_fallback",0.85,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,False,True
M2,svclb-traefik-95cad6a4-kf8m6,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod4da952a2_8044_4e4b_ac81_c99dc42da725.slice/cri-containerd-3cba5fcd77b7647f38e1162034d758e1d246f63fb821caaaaa4c518ad0359ae9.scope,3cba5fcd77b7647f38e1162034d758e1d246f63fb821caaaaa4c518ad0359ae9,svclb-traefik-95cad6a4-kf8m6,kube-system,,svclb-traefik-95cad6a4-kf8m6,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.8,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:pod_fallback",0.85,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,False,True
M2,svclb-traefik-95cad6a4-kf8m6,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod4da952a2_8044_4e4b_ac81_c99dc42da725.slice/cri-containerd-fe9677435f7d871278bd60f892ad5bb0f0f0dccb00bc35c57f6724c4bdfbdb9b.scope,fe9677435f7d871278bd60f892ad5bb0f0f0dccb00bc35c57f6724c4bdfbdb9b,svclb-traefik-95cad6a4-kf8m6,kube-system,,svclb-traefik-95cad6a4-kf8m6,kubernetes_system,k8s_snapshot_non_sut_scope_match,0.8,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:pod_fallback",0.85,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,True
M2,kepler-7bx4g,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod9ca44f0a_7bb6_4d38_a35a_77697ad9b433.slice/cri-containerd-6490cf0167c79afb139f0ac49e2449a568ed91a06e6220e7439493fdab21327d.scope,6490cf0167c79afb139f0ac49e2449a568ed91a06e6220e7439493fdab21327d,kepler-7bx4g,kepler,,kepler-7bx4g,measurement_infrastructure,k8s_snapshot_non_sut_scope_match,0.8,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:pod_fallback",0.85,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False,True
M2,kepler-7bx4g,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod9ca44f0a_7bb6_4d38_a35a_77697ad9b433.slice/cri-containerd-9041ea42f77a8092d7f748c0cf69e236c30060a33e2aa276b793992bac700f25.scope,9041ea42f77a8092d7f748c0cf69e236c30060a33e2aa276b793992bac700f25,kepler-7bx4g,kepler,,kepler-7bx4g,measurement_infrastructure,k8s_snapshot_non_sut_scope_match,0.8,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:pod_fallback",0.85,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,4.86212364327773,0.0,4.86212364327773,0.04050917670708953,0.04422120236178495,0.03377674450040439,25.0,False,False
M2,productcatalogservice/productcatalogservice-77f4d9d995-zbtjh,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0913b2d0_ab47_453b_8830_9393dd75bbd3.slice/cri-containerd-324136888977cf1d0114a48d8b5a670e3276b2c5db728e8c86599e6447080a04.scope,324136888977cf1d0114a48d8b5a670e3276b2c5db728e8c86599e6447080a04,productcatalogservice-77f4d9d995-zbtjh,onlineboutique,productcatalogservice,productcatalogservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,False,True
M2,productcatalogservice/productcatalogservice-77f4d9d995-zbtjh,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0913b2d0_ab47_453b_8830_9393dd75bbd3.slice/cri-containerd-ced2a1e604f5d1b9a905fdcb28181b3fb05a4e46f4172286d1fb6db8a11d014e.scope,ced2a1e604f5d1b9a905fdcb28181b3fb05a4e46f4172286d1fb6db8a11d014e,productcatalogservice-77f4d9d995-zbtjh,onlineboutique,productcatalogservice,productcatalogservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.24638134056168667,1.7321821093568337,0.24638134056168667,0.0020551803750814314,0.0023703120133379747,0.0018328078877177583,25.0,False,False
M2,redis-cart/redis-cart-5b5b9f8879-7xnxm,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod131a484b_2b73_4121_9981_0cde6b4c648f.slice/cri-containerd-66bbc098e1acf3ef3742c1068b15d938608449d1613b8359faeba2d4c379685a.scope,66bbc098e1acf3ef3742c1068b15d938608449d1613b8359faeba2d4c379685a,redis-cart-5b5b9f8879-7xnxm,onlineboutique,redis-cart,redis-cart,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.125139912093013,0.8797951841638446,0.125139912093013,0.0010425555841599577,0.0010541935715955898,0.0010299004524886874,25.0,False,False
M2,redis-cart/redis-cart-5b5b9f8879-7xnxm,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod131a484b_2b73_4121_9981_0cde6b4c648f.slice/cri-containerd-a09aad03bb3651644829f7d65d5cb878bf08575f82e92c00c9be1d37988d5f73.scope,a09aad03bb3651644829f7d65d5cb878bf08575f82e92c00c9be1d37988d5f73,redis-cart-5b5b9f8879-7xnxm,onlineboutique,redis-cart,redis-cart,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,False,True
M2,shippingservice/shippingservice-74997b7848-2n6st,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod33933a0e_7218_48d0_95aa_158de5e41224.slice/cri-containerd-3301067b329c9ee6a17269d481e9548add1759fa7e52033921f264b40d894fc5.scope,3301067b329c9ee6a17269d481e9548add1759fa7e52033921f264b40d894fc5,shippingservice-74997b7848-2n6st,onlineboutique,shippingservice,shippingservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.3777603288601868,2.655841070531636,0.3777603288601868,0.0031443172322781826,0.0032928214743173263,0.0030357631635813584,25.0,False,False
M2,shippingservice/shippingservice-74997b7848-2n6st,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod33933a0e_7218_48d0_95aa_158de5e41224.slice/cri-containerd-856fd5efb33077ed4a6bab472e7513523dee698a323c89e1a68bc3d612647278.scope,856fd5efb33077ed4a6bab472e7513523dee698a323c89e1a68bc3d612647278,shippingservice-74997b7848-2n6st,onlineboutique,shippingservice,shippingservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,True
M2,cartservice/cartservice-746fcd497f-55bld,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod4f18a85b_2f3b_42c1_acd2_899a82bc2e19.slice/cri-containerd-580701a69c7daae69581463464fb8fbde8ceea3bb92a407a8d16ffbbdc1b6eec.scope,580701a69c7daae69581463464fb8fbde8ceea3bb92a407a8d16ffbbdc1b6eec,cartservice-746fcd497f-55bld,onlineboutique,cartservice,cartservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.6442539316631893,4.529422284031983,0.6442539316631893,0.005277690765903922,0.008872384108345635,0.00214998444903858,25.0,False,False
M2,cartservice/cartservice-746fcd497f-55bld,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod4f18a85b_2f3b_42c1_acd2_899a82bc2e19.slice/cri-containerd-a0d02fc82d3dcf9a76cb0a09aa3a8e7ceba5222862a6e8580580db31cb4f97e3.scope,a0d02fc82d3dcf9a76cb0a09aa3a8e7ceba5222862a6e8580580db31cb4f97e3,cartservice-746fcd497f-55bld,onlineboutique,cartservice,cartservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,False,True
M2,checkoutservice/checkoutservice-86c5f7dc58-pzmvh,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod535c563f_4760_4138_ac35_424ae1aebe10.slice/cri-containerd-583c027d29387fe0c3bbcb40e857949a0033c19f575e2509477dcb1c3c2e24c3.scope,583c027d29387fe0c3bbcb40e857949a0033c19f575e2509477dcb1c3c2e24c3,checkoutservice-86c5f7dc58-pzmvh,onlineboutique,checkoutservice,checkoutservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.2526379983997475,1.7761694938996286,0.2526379983997475,0.0020993197859436024,0.0024178672252071765,0.0019165785047249456,25.0,False,False
M2,checkoutservice/checkoutservice-86c5f7dc58-pzmvh,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod535c563f_4760_4138_ac35_424ae1aebe10.slice/cri-containerd-f4a8a44b88796f1bb1f3ea5e84c1b1da2ca1976bda8d79d1cd722efcd3958ab4.scope,f4a8a44b88796f1bb1f3ea5e84c1b1da2ca1976bda8d79d1cd722efcd3958ab4,checkoutservice-86c5f7dc58-pzmvh,onlineboutique,checkoutservice,checkoutservice,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True
M2,frontend/frontend-988d4d588-7vbjz,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5b58045a_98b0_418f_ae53_5646fb9ca7cf.slice/cri-containerd-1598828976d5110f4b6461b0f9efd04f87340762a18d27a646bfd64fe6426eba.scope,1598828976d5110f4b6461b0f9efd04f87340762a18d27a646bfd64fe6426eba,frontend-988d4d588-7vbjz,onlineboutique,frontend,frontend,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.013023506147274468,0.09156165924732212,0.013023506147274468,0.00010972082628062881,0.00014524484233705755,7.838547507507284e-05,25.0,False,False
M2,frontend/frontend-988d4d588-7vbjz,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5b58045a_98b0_418f_ae53_5646fb9ca7cf.slice/cri-containerd-33da241d136b628b7f2a58cbbba873e496785c8fc1e6e47a41d23d6f292628e9.scope,33da241d136b628b7f2a58cbbba873e496785c8fc1e6e47a41d23d6f292628e9,frontend-988d4d588-7vbjz,onlineboutique,frontend,frontend,primary_application,k8s_snapshot_scope_match,1.0,k8s_snapshot_uid_containerid_match,"cpu_k8s_by_id:cgroup_path+snapshot,k8s_snapshot:deployment_fallback",0.9,container_id,resolved,False,cpu_k8s_by_id.json,container_cpu_usage_seconds_total,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,False,True
