model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,2.691504780234205,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.1682190487646378,,0.08935810291313248
M2,cartservice,primary_application,2,2,0.0,5.4145465448317385,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.33840915905198365,,0.17976323539686187
M2,checkoutservice,primary_application,2,2,0.0,2.116374313442088,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.1322733945901305,,0.07026374060045773
M2,currencyservice,primary_application,2,2,0.0,2.137747410900264,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.1336092131812665,,0.07097332858122808
M2,emailservice,primary_application,2,2,0.0,4.628363377321594,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.2892727110825996,,0.1536619121122601
M2,frontend,primary_application,2,2,0.0,0.11345403972895692,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.007090877483059807,,0.003766680197806885
M2,paymentservice,primary_application,2,2,0.0,2.2310481553464894,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.13944050970915559,,0.07407091829584571
M2,productcatalogservice,primary_application,2,2,0.0,1.9981086907399772,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.12488179317124858,,0.06633731559014015
M2,recommendationservice,primary_application,2,2,0.0,4.64205905649184,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.29012869103074,,0.15411660939451932
M2,redis-cart,primary_application,2,2,0.0,1.0676775486546963,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.06672984679091852,,0.035446951820916145
M2,shippingservice,primary_application,2,2,0.0,3.079549400489635,True,low,low,40,121.09659790992737,16.0,0.0,0.8549802012867167,1.0,5000.0,0.19247183753060218,,0.10224120509683167
