sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-10T10:29:10.777953+00:00,1781087350.777953,0.0002024810000875732,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.6,235.9,49.9,0.699,135176.421,0.0,51.6,124.8,
1,2026-06-10T10:29:11.777952+00:00,1781087351.777952,1.0002109430001838,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.2,235.7,49.9,0.702,135176.421,0.0,51.5,124.7,
2,2026-06-10T10:29:12.777935+00:00,1781087352.777935,2.000192896000044,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,235.7,49.9,0.703,135176.421,0.0,51.6,124.8,
3,2026-06-10T10:29:13.777979+00:00,1781087353.777979,3.00023720199988,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,235.7,49.9,0.682,135176.421,0.0,51.6,124.9,
4,2026-06-10T10:29:14.777937+00:00,1781087354.777937,4.000195923999854,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,235.7,49.9,0.686,135176.421,0.0,51.6,124.8,
5,2026-06-10T10:29:15.777983+00:00,1781087355.777983,5.000245612000072,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,235.9,49.9,0.682,135176.637,0.0,51.6,124.8,
6,2026-06-10T10:29:16.777958+00:00,1781087356.777958,6.000220116000037,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,235.9,49.9,0.691,135176.637,0.0,51.5,124.7,
7,2026-06-10T10:29:17.777961+00:00,1781087357.777961,7.000218917999973,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,235.8,49.9,0.683,135176.637,0.0,51.5,124.7,
8,2026-06-10T10:29:18.777974+00:00,1781087358.777974,8.000232174999837,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,235.8,49.9,0.683,135176.637,0.0,51.3,124.4,
9,2026-06-10T10:29:19.777937+00:00,1781087359.777937,9.000193872000182,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.9,235.9,49.9,0.684,135176.637,0.0,51.3,124.3,
10,2026-06-10T10:29:20.777899+00:00,1781087360.777899,10.00016174800021,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.0,49.9,0.69,135176.853,0.0,51.3,124.4,
11,2026-06-10T10:29:21.777948+00:00,1781087361.777948,11.000204082999971,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,236.1,49.9,0.692,135176.853,0.0,51.5,124.7,
12,2026-06-10T10:29:22.777898+00:00,1781087362.777898,12.000156159000198,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,236.0,49.9,0.694,135176.853,0.0,51.3,124.3,
13,2026-06-10T10:29:23.777916+00:00,1781087363.777916,13.000173643999915,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.0,49.9,0.681,135176.853,0.0,51.6,124.9,
