Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781088708,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088709,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088710,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088711,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088712,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088713,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088714,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781088715,35,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,5007.947621000312,5009.371508500408,5007.947621000312,5010.795396000503,0.0
1781088715,35,,Aggregated,0.000000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2,2,5007.947621000312,5009.371508500408,5007.947621000312,5010.795396000503,0.0
1781088716,40,GET,/,0.000000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3,3,5007.947621000312,5010.489279666824,5007.947621000312,5012.7248219996545,0.0
1781088716,40,,Aggregated,0.000000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3,3,5007.947621000312,5010.489279666824,5007.947621000312,5012.7248219996545,0.0
1781088717,45,GET,/,0.000000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4,4,5007.947621000312,5010.278060000019,5007.947621000312,5012.7248219996545,0.0
1781088717,45,,Aggregated,0.000000,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4,4,5007.947621000312,5010.278060000019,5007.947621000312,5012.7248219996545,0.0
1781088718,50,GET,/,0.285714,0.285714,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6,6,5007.947621000312,5010.201207666493,5007.947621000312,5012.7248219996545,0.0
1781088718,50,,Aggregated,0.285714,0.285714,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6,6,5007.947621000312,5010.201207666493,5007.947621000312,5012.7248219996545,0.0
1781088719,55,GET,/,0.375000,0.375000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,7,7,5007.947621000312,5014.746066428415,5007.947621000312,5042.01521899995,0.0
1781088719,55,,Aggregated,0.375000,0.375000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,7,7,5007.947621000312,5014.746066428415,5007.947621000312,5042.01521899995,0.0
1781088720,60,GET,/,0.444444,0.444444,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,10,10,5007.947621000312,5014.1932502999225,5007.947621000312,5042.01521899995,0.0
1781088720,60,,Aggregated,0.444444,0.444444,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,10,10,5007.947621000312,5014.1932502999225,5007.947621000312,5042.01521899995,0.0
1781088721,65,GET,/,0.600000,0.600000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,11,11,5007.947621000312,5014.097003636297,5007.947621000312,5042.01521899995,0.0
