model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,21949.937633486144,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,8.406716826306452,8.406716826306452,0.16712660748174724
M2,cartservice,primary_application,2,2,0.0,15004.354994139447,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,5.746593257043067,5.746593257043067,0.11424301013943562
M2,checkoutservice,primary_application,2,2,0.0,3810.7575181707202,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,1.4595011559443585,1.4595011559443585,0.029015069955179846
M2,currencyservice,primary_application,2,2,0.0,21814.12720052043,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,8.354702106671938,8.354702106671938,0.1660925481918675
M2,emailservice,primary_application,2,2,0.0,4730.575400925657,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,1.8117868253257974,1.8117868253257974,0.036018554193392734
M2,frontend,primary_application,2,2,0.0,39088.3338789291,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,14.9706372573455,14.9706372573455,0.29761818654706246
M2,paymentservice,primary_application,2,2,0.0,2611.240697428927,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,1.000092185916862,1.000092185916862,0.019881960776681112
M2,productcatalogservice,primary_application,2,2,0.0,10013.246024860438,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,3.835023372217709,3.835023372217709,0.07624075594009923
M2,recommendationservice,primary_application,2,2,0.0,7069.836654296153,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,2.7077122383363283,2.7077122383363283,0.053829666180011115
M2,redis-cart,primary_application,2,2,0.0,1266.0374822791962,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,0.4848860521942536,0.4848860521942536,0.009639596835813412
M2,shippingservice,primary_application,2,2,0.0,3978.7343331456336,True,low,low,40,120.3409070968628,2611.0,2611.0,21.8325446374059,0.0,37.0,1.5238354397340612,1.5238354397340612,0.030294043758709862
