Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5866,0,270,279.5870424225416,5.942031741142273,848.3032379299402,10254.82270712581,49.06731482349999,0.0,270,340,390,430,490,560,630,670,800,850,850
POST,/cart,685,0,250,258.8784913539234,9.468836709856987,873.3118567615747,17508.96934306569,5.729817704414847,0.0,250,310,350,370,440,490,590,670,870,870,870
POST,/cart/checkout,350,0,150,153.94882882013917,9.379159659147263,446.3099455460906,6550.814285714286,2.927644082547732,0.0,150,180,210,220,260,300,350,370,450,450,450
GET,/product/0PUK6V6EV0,112,0,200,204.25641527565728,7.695618085563183,401.4585092663765,7716.883928571428,0.9368461064152742,0.0,200,240,300,300,300,310,350,400,400,400,400
GET,/product/1YMWWN1N4O,84,0,200,186.59276368894749,7.969630882143974,400.42290557175875,7732.797619047619,0.7026345798114557,0.0,200,200,240,260,300,390,400,400,400,400,400
GET,/product/2ZYFJ3GM2N,101,0,160,168.28010738412343,6.159210577607155,392.1529082581401,7742.841584158416,0.8448344352494884,0.0,160,200,200,210,300,300,300,320,390,390,390
GET,/product/66VCHSJNUP,104,0,200,199.53412795439363,6.4809732139110565,397.9186611250043,7699.596153846154,0.8699285273856118,0.0,200,210,260,300,310,370,390,400,400,400,400
GET,/product/6E92ZMYYFZ,106,0,190,173.79507732595195,7.469184696674347,403.29705737531185,7685.735849056604,0.8866579221430274,0.0,190,200,200,240,290,310,400,400,400,400,400
GET,/product/9SIQT8TOJO,115,0,190,182.96558916892695,5.7148924097418785,405.93132842332125,7744.069565217392,0.9619401985513977,0.0,190,200,250,290,300,340,360,410,410,410,410
GET,/product/L9ECAV7KIM,102,0,200,186.06322655892546,6.164586171507835,409.4073325395584,7714.28431372549,0.8531991326281961,0.0,200,200,260,290,300,340,400,400,410,410,410
GET,/product/LS4PSXUNUM,121,0,200,184.31556678938964,5.91940525919199,444.9952831491828,7708.330578512397,1.0121283828236445,0.0,200,200,250,290,300,300,390,400,440,440,440
GET,/product/OLJCESPC7Z,108,0,190,186.03084621847503,6.244358606636524,496.9823220744729,7742.62962962963,0.903387316900443,0.0,190,200,250,300,300,390,400,400,500,500,500
,Aggregated,7854,0,250,260.8104256890773,5.7148924097418785,873.3118567615747,10414.931881843646,65.6963332123711,0.0,250,310,360,390,480,540,600,660,810,870,870
