sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-10T12:37:44.761716+00:00,1781095064.761716,0.0002192029987782007,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,237.6,49.9,0.682,135495.435,0.0,51.7,125.1,
1,2026-06-10T12:37:45.761753+00:00,1781095065.761753,1.0002743719996943,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,237.4,49.9,0.682,135495.652,0.0,51.6,124.9,
2,2026-06-10T12:37:46.761849+00:00,1781095066.761849,2.000370510999346,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,237.6,49.9,0.691,135495.652,0.0,51.7,125.1,
3,2026-06-10T12:37:47.761735+00:00,1781095067.761735,3.0002566980001575,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,237.5,49.9,0.683,135495.652,0.0,51.7,125.1,
4,2026-06-10T12:37:48.762106+00:00,1781095068.762106,4.000633225999991,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,237.5,49.9,0.677,135495.652,0.0,51.6,124.9,
5,2026-06-10T12:37:49.761898+00:00,1781095069.761898,5.00042550499893,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,237.6,49.9,0.678,135495.652,0.0,51.7,125.0,
6,2026-06-10T12:37:50.761959+00:00,1781095070.761959,6.00048196500029,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,237.5,49.9,0.679,135495.868,0.0,51.7,125.0,
7,2026-06-10T12:37:51.762434+00:00,1781095071.762434,7.000961710999036,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,237.4,50.0,0.688,135495.868,0.0,51.7,125.0,
8,2026-06-10T12:37:52.762533+00:00,1781095072.762533,8.001054987998941,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,237.4,49.9,0.691,135495.868,0.0,51.7,125.1,
9,2026-06-10T12:37:53.761818+00:00,1781095073.761818,9.000343158999385,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,237.5,49.9,0.681,135495.868,0.0,51.7,125.0,
10,2026-06-10T12:37:54.762050+00:00,1781095074.76205,10.000572400998863,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,237.5,49.9,0.68,135495.868,0.0,51.7,125.1,
11,2026-06-10T12:37:55.761978+00:00,1781095075.761978,11.000504981999256,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,237.4,49.9,0.681,135496.084,0.0,51.6,124.9,
12,2026-06-10T12:37:56.762128+00:00,1781095076.762128,12.000653301998682,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.4,49.9,0.685,135496.084,0.0,51.7,125.0,
13,2026-06-10T12:37:57.762035+00:00,1781095077.762035,13.000563087000046,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.8,237.6,49.9,0.678,135496.084,0.0,51.7,125.1,
14,2026-06-10T12:37:58.762345+00:00,1781095078.762345,14.000868019000336,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,237.6,50.0,0.678,135496.084,0.0,51.7,125.0,
15,2026-06-10T12:37:59.762119+00:00,1781095079.762119,15.00064821900014,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,237.6,50.0,0.678,135496.084,0.0,51.7,125.1,
16,2026-06-10T12:38:00.762192+00:00,1781095080.762192,16.000714697998774,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,237.6,50.0,0.681,135496.301,0.0,51.7,125.1,
