sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-10T13:12:02.756434+00:00,1781097122.756434,0.00016568799946981017,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,238.0,49.9,0.69,135580.434,0.0,51.7,125.1,
1,2026-06-10T13:12:03.756894+00:00,1781097123.756894,1.000648586999887,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.9,49.9,0.683,135580.65,0.0,51.7,125.1,
2,2026-06-10T13:12:04.756771+00:00,1781097124.756771,2.0005202929987718,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.7,49.9,0.686,135580.65,0.0,51.7,125.1,
3,2026-06-10T13:12:05.756756+00:00,1781097125.756756,3.0007817259993317,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,237.8,49.9,0.683,135580.65,0.0,51.7,125.1,
4,2026-06-10T13:12:06.756911+00:00,1781097126.756911,4.000658543998725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.9,49.9,0.686,135580.65,0.0,51.7,125.1,
5,2026-06-10T13:12:07.756683+00:00,1781097127.756683,5.000434884999777,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,237.8,49.9,0.677,135580.65,0.0,51.7,125.1,
6,2026-06-10T13:12:08.756869+00:00,1781097128.756869,6.00062665599944,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.1,237.8,49.9,0.676,135580.866,0.0,51.7,125.0,
7,2026-06-10T13:12:09.756740+00:00,1781097129.75674,7.00049675199989,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.1,237.7,49.9,0.676,135580.866,0.0,51.7,125.1,
8,2026-06-10T13:12:10.756669+00:00,1781097130.756669,8.000426593998782,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.3,237.7,49.9,0.676,135580.866,0.0,51.7,125.1,
9,2026-06-10T13:12:11.756775+00:00,1781097131.756775,9.000531415998921,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.2,237.7,49.9,0.691,135580.866,0.0,51.7,125.1,
