model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,24424.603507700856,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,2.9706401736439862,2.9706401736439862,0.15083289398920002
M2,cartservice,primary_application,2,2,0.0,11772.66664005848,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,1.431849506209983,1.431849506209983,0.07270150275848976
M2,checkoutservice,primary_application,2,2,0.0,3505.5621595317057,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,0.4263636778802853,0.4263636778802853,0.021648420430427275
M2,currencyservice,primary_application,2,2,0.0,46922.677012363565,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,5.706966311403985,5.706966311403985,0.2897686001438607
M2,emailservice,primary_application,2,2,0.0,1825.4476573065958,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,0.22201990480498612,0.22201990480498612,0.011272958960850598
M2,frontend-c55994c,primary_application,2,2,0.0,43819.16822427895,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,5.3295023381511735,5.3295023381511735,0.2706030398153122
M2,paymentservice,primary_application,2,2,0.0,7252.6470984822045,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,0.8821025417759918,0.8821025417759918,0.04478835247423922
M2,productcatalogservice,primary_application,2,2,0.0,10042.532275265621,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,1.2214220719126272,1.2214220719126272,0.0620171461772419
M2,recommendationservice,primary_application,2,2,0.0,8901.93028920373,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,1.0826964594020592,1.0826964594020592,0.05497341675116129
M2,redis-cart,primary_application,2,2,0.0,1588.4635314094833,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,0.19319673211012933,0.19319673211012933,0.0098094755709445
M2,shippingservice,primary_application,2,2,0.0,1875.8462543987912,True,high,high,300,120.38410997390747,8222.0,8222.0,68.67282544141722,0.0,2700.0,0.2281496295790308,0.2281496295790308,0.011584192928272617
