model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,22825.149028279317,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,3.1088462310377714,3.1088462310377714,0.1433823108157681
M2,cartservice,primary_application,2,2,0.0,12054.721785685953,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,1.641885288162075,1.641885288162075,0.07572497615377599
M2,checkoutservice,primary_application,2,2,0.0,3155.05406368614,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,0.42972678611906023,0.42972678611906023,0.019819320427635394
M2,currencyservice,primary_application,2,2,0.0,48169.05298629822,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,6.560753607504525,6.560753607504525,0.30258685796205165
M2,emailservice,primary_application,2,2,0.0,1601.246706683332,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,0.21809407609416126,0.21809407609416126,0.0100586617290403
M2,frontend-c55994c,primary_application,2,2,0.0,42762.65467780312,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,5.824387725116197,5.824387725116197,0.2686251133223092
M2,paymentservice,primary_application,2,2,0.0,6595.07842943808,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,0.8982672881283138,0.8982672881283138,0.04142875843011941
M2,productcatalogservice,primary_application,2,2,0.0,10886.011486189935,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,1.4827038254140472,1.4827038254140472,0.0683834081662762
M2,recommendationservice,primary_application,2,2,0.0,7725.856501651684,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,1.0522822802576524,1.0522822802576524,0.0485320449327797
M2,redis-cart,primary_application,2,2,0.0,1697.0256178820293,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,0.23113941948815436,0.23113941948815436,0.010660322712636637
M2,shippingservice,primary_application,2,2,0.0,1718.9784527658785,True,medium,medium,150,120.32072901725769,7342.0,7342.0,61.37882709407169,0.0,810.0,0.23412945420401504,0.23412945420401504,0.010798225347607542
