Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5527,0,470,481.38305836365436,19.458607770502567,1382.349201478064,10256.194137868644,46.20549950271509,0.0,470,550,610,650,760,840,930,990,1100,1400,1400
POST,/cart,584,0,290,307.7456333470365,24.488876573741436,974.9986110255122,17415.972602739726,4.882216701571489,0.0,290,340,380,410,490,580,660,770,970,970,970
POST,/cart/checkout,292,0,180,197.31091809369727,23.128708824515343,630.6508732959628,6558.907534246576,2.4411083507857443,0.0,180,210,230,250,290,330,430,460,630,630,630
GET,/product/0PUK6V6EV0,103,0,200,209.9337460907194,77.75236573070288,475.88829696178436,7730.73786407767,0.861075890859355,0.0,200,230,250,290,310,330,370,390,480,480,480
GET,/product/1YMWWN1N4O,111,0,200,197.41432505517125,73.77839367836714,598.5313663259149,7757.747747747748,0.9279555717028,0.0,200,210,240,240,300,360,400,400,600,600,600
GET,/product/2ZYFJ3GM2N,88,0,200,186.97592730379918,27.9644588008523,441.2896912544966,7751.636363636364,0.7356764892778955,0.0,200,210,220,230,300,300,340,440,440,440,440
GET,/product/66VCHSJNUP,108,0,200,201.77525691515595,89.27291352301836,432.2180701419711,7723.564814814815,0.9028756913865081,0.0,200,220,230,260,300,330,400,400,430,430,430
GET,/product/6E92ZMYYFZ,92,0,190,193.99491699574435,70.21091599017382,478.220421820879,7702.239130434783,0.769116329699618,0.0,190,200,230,240,320,380,470,480,480,480,480
GET,/product/9SIQT8TOJO,108,0,200,223.7698935765635,61.89464498311281,451.2644410133362,7756.268518518518,0.9028756913865081,0.0,200,270,300,300,320,390,400,400,450,450,450
GET,/product/L9ECAV7KIM,110,0,200,203.4770012579181,47.944726422429085,632.6013132929802,7723.1,0.9195956115973694,0.0,200,220,240,280,300,370,400,480,630,630,630
GET,/product/LS4PSXUNUM,109,0,200,221.27820989715124,67.30461679399014,478.14134508371353,7727.3302752293575,0.9112356514919387,0.0,200,230,300,300,320,390,450,470,480,480,480
GET,/product/OLJCESPC7Z,110,0,200,198.35771168158814,18.483731895685196,475.16509145498276,7755.463636363636,0.9195956115973694,0.0,200,210,240,280,320,380,400,400,480,480,480
,Aggregated,7342,0,400,420.8744212726775,18.483731895685196,1382.349201478064,10356.440070825389,61.37882709407169,0.0,400,500,560,600,720,810,910,970,1100,1400,1400
