model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M2,adservice,primary_application,2,2,0.0,2.869508327702437,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.00031837438452262697,,0.13457903979778638
M2,cartservice,primary_application,2,2,0.0,7.532114039736581,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.0008356944457712838,,0.35325378404696867
M2,checkoutservice,primary_application,2,2,0.0,0.3555413123956688,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,3.944761038451889e-05,,0.01667477594287564
M2,currencyservice,primary_application,2,2,0.0,1.508584344381199,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.00016737871345625199,,0.07075213218961185
M2,emailservice,primary_application,2,2,0.0,2.211395959464913,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.000245356258678011,,0.10371377631644005
M2,frontend,primary_application,2,2,0.0,0.1973393317027747,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,2.1894966348915422e-05,,0.009255152709788642
M2,paymentservice,primary_application,2,2,0.0,0.8807823010829641,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,9.772354389026563e-05,,0.04130841343316079
M2,productcatalogservice,primary_application,2,2,0.0,0.36916814998780384,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,4.095951958147164e-05,,0.017313870348326724
M2,recommendationservice,primary_application,2,2,0.0,2.4117212566252277,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.0002675825204288503,,0.11310896986885864
M2,redis-cart,primary_application,2,2,0.0,2.4931167023577676,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,0.0002766134142192131,,0.11692639072275414
M2,shippingservice,primary_application,2,2,0.0,0.49283260829885944,True,high,high,150,121.08832311630249,9013.0,0.0,75.41497439393787,1.0,42.0,5.4680196194259344e-05,,0.023113694623428483
