Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6762,6762,6,14.82940445635432,2.240507979877293,1094.2321630427614,0.0,56.59522787487921,56.59522787487921,6,8,8,9,13,18,27,44,1100,1100,1100
POST,/cart,737,737,7,17.85438982807757,2.8912669513374567,1055.4386710282415,0.0,6.1683944016246635,6.1683944016246635,7,8,9,10,13,19,33,63,1100,1100,1100
POST,/cart/checkout,370,370,7,10.88096402346383,3.255518968217075,1065.448960987851,0.0,3.096751599187416,3.096751599187416,7,8,8,9,12,16,28,38,1100,1100,1100
GET,/product/0PUK6V6EV0,130,130,6,23.226082830940587,3.5141260595992208,1071.3147450005636,0.0,1.0880478591739569,1.0880478591739569,6,7,8,8,10,14,64,1100,1100,1100,1100
GET,/product/1YMWWN1N4O,142,142,6,14.228609931642112,3.0047199688851833,1040.0119059486315,0.0,1.1884830461746299,1.1884830461746299,6,7,8,9,10,14,31,34,1000,1000,1000
GET,/product/2ZYFJ3GM2N,132,132,6,22.84441579567184,2.879741950891912,1086.140649043955,0.0,1.1047870570074025,1.1047870570074025,6,7,8,9,11,16,25,1000,1100,1100,1100
GET,/product/66VCHSJNUP,123,123,6,6.871961237961139,2.8023789636790752,26.857474935241044,0.0,1.0294606667568977,1.0294606667568977,6,7,8,8,10,14,18,19,27,27,27
GET,/product/6E92ZMYYFZ,103,103,6,16.916899991592448,2.9571999330073595,1055.0972039345652,0.0,0.8620686884224428,0.8620686884224428,6,7,7,8,10,14,23,40,1100,1100,1100
GET,/product/9SIQT8TOJO,135,135,6,6.591745722107589,3.279356984421611,20.901998970657587,0.0,1.1298958537575707,1.1298958537575707,6,7,7,8,10,15,17,20,21,21,21
GET,/product/L9ECAV7KIM,130,130,6,6.690047563125308,3.1617910135537386,20.78797295689583,0.0,1.0880478591739569,1.0880478591739569,6,7,8,8,10,11,14,20,21,21,21
GET,/product/LS4PSXUNUM,104,104,6,6.628059741790191,3.4266039729118347,41.36197303887457,0.0,0.8704382873391656,0.8704382873391656,6,7,8,8,9,12,15,15,41,41,41
GET,/product/OLJCESPC7Z,127,127,6,23.261271236559715,3.223343985155225,1055.5047109955922,0.0,1.0629390624237887,1.0629390624237887,6,7,8,9,12,15,38,1000,1100,1100,1100
,Aggregated,8995,8995,6,14.842376279763219,2.240507979877293,1094.2321630427614,0.0,75.2845422559211,75.2845422559211,6,7,8,9,12,17,27,43,1100,1100,1100
