Method,Name,Error,Occurrences
GET,/product/2ZYFJ3GM2N,"ConnectionRefusedError(111, 'Connection refused')",118
GET,/product/0PUK6V6EV0,"ConnectionRefusedError(111, 'Connection refused')",125
POST,/cart,CatchResponseError('Cart failed: 0'),760
GET,/product/1YMWWN1N4O,"ConnectionRefusedError(111, 'Connection refused')",100
GET,/product/OLJCESPC7Z,"ConnectionRefusedError(111, 'Connection refused')",131
GET,/,"ConnectionRefusedError(111, 'Connection refused')",5619
GET,/product/66VCHSJNUP,"ConnectionRefusedError(111, 'Connection refused')",126
GET,/,CatchResponseError('Homepage failed: 0'),1084
GET,/product/9SIQT8TOJO,"ConnectionRefusedError(111, 'Connection refused')",117
POST,/cart/checkout,CatchResponseError('Checkout failed: 0'),383
GET,/product/6E92ZMYYFZ,"ConnectionRefusedError(111, 'Connection refused')",124
GET,/product/L9ECAV7KIM,"ConnectionRefusedError(111, 'Connection refused')",122
GET,/product/LS4PSXUNUM,"ConnectionRefusedError(111, 'Connection refused')",121
