sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T12:19:34.266142+00:00,1779970774.266142,0.0001599830575287342,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,236.3,50.0,0.683,102438.464,0.0,51.1,123.9,
1,2026-05-28T12:19:35.266185+00:00,1779970775.266185,1.0002182590542361,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,236.3,49.9,0.69,102438.464,0.0,50.7,123.3,
2,2026-05-28T12:19:36.266205+00:00,1779970776.266205,2.000236113090068,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,235.9,50.0,0.682,102438.464,0.0,51.1,124.0,
3,2026-05-28T12:19:37.266246+00:00,1779970777.266246,3.0002856641076505,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.4,236.2,49.9,0.679,102438.464,0.0,51.1,124.0,
4,2026-05-28T12:19:38.266189+00:00,1779970778.266189,4.000219780020416,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,236.3,49.9,0.679,102438.464,0.0,50.8,123.4,
5,2026-05-28T12:19:39.266198+00:00,1779970779.266198,5.000229811063036,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,236.4,49.9,0.682,102438.68,0.0,50.8,123.4,
6,2026-05-28T12:19:40.266245+00:00,1779970780.266245,6.000283073051833,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.6,236.3,50.0,0.695,102438.68,0.0,51.1,124.0,
7,2026-05-28T12:19:41.266194+00:00,1779970781.266194,7.000225407071412,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,236.1,49.9,0.682,102438.68,0.0,50.8,123.4,
8,2026-05-28T12:19:42.266141+00:00,1779970782.266141,8.000174813088961,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.1,236.4,50.0,0.681,102438.68,0.0,51.1,123.9,
9,2026-05-28T12:19:43.266321+00:00,1779970783.266321,9.00035252305679,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,236.3,50.0,0.681,102438.68,0.0,50.8,123.4,
10,2026-05-28T12:19:44.266191+00:00,1779970784.266191,10.000221781083383,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.4,50.0,0.68,102438.897,0.0,50.8,123.4,
11,2026-05-28T12:19:45.266134+00:00,1779970785.266134,11.000164279015735,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,236.3,49.9,0.691,102438.897,0.0,50.8,123.4,
12,2026-05-28T12:19:46.266237+00:00,1779970786.266237,12.000267793075182,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.8,236.4,50.0,0.68,102438.897,0.0,51.1,123.9,
13,2026-05-28T12:19:47.266272+00:00,1779970787.266272,13.000306810019538,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.3,50.0,0.681,102438.897,0.0,50.7,123.2,
14,2026-05-28T12:19:48.266203+00:00,1779970788.266203,14.00023411901202,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,236.2,50.0,0.681,102438.897,0.0,51.1,124.0,
15,2026-05-28T12:19:49.266174+00:00,1779970789.266174,15.000207254081033,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,236.1,50.0,0.684,102439.113,0.0,50.8,123.4,
16,2026-05-28T12:19:50.266323+00:00,1779970790.266323,16.000353516079485,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.6,50.0,0.685,102439.113,0.0,51.1,124.0,
17,2026-05-28T12:19:51.266143+00:00,1779970791.266143,17.000177871086635,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,236.6,50.0,0.679,102439.113,0.0,50.8,123.4,
18,2026-05-28T12:19:52.266165+00:00,1779970792.266165,18.00019643700216,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,236.7,50.0,0.678,102439.113,0.0,50.8,123.4,
19,2026-05-28T12:19:53.266213+00:00,1779970793.266213,19.000251408084296,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.7,50.0,0.679,102439.113,0.0,50.8,123.4,
20,2026-05-28T12:19:54.266171+00:00,1779970794.266171,20.000203289091587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,236.7,50.0,0.687,102439.329,0.0,50.8,123.4,
21,2026-05-28T12:19:55.266183+00:00,1779970795.266183,21.00021422910504,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.1,236.7,50.0,0.692,102439.329,0.0,50.8,123.4,
22,2026-05-28T12:19:56.266131+00:00,1779970796.266131,22.000156550086103,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,236.7,50.0,0.68,102439.329,0.0,50.8,123.4,
23,2026-05-28T12:19:57.266151+00:00,1779970797.266151,23.00018243805971,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.6,236.5,50.0,0.679,102439.329,0.0,50.8,123.4,
24,2026-05-28T12:19:58.266166+00:00,1779970798.266166,24.00019684806466,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,236.3,49.9,0.68,102439.329,0.0,50.7,123.2,
25,2026-05-28T12:19:59.266229+00:00,1779970799.266229,25.000261937035248,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,236.4,49.9,0.682,102439.546,0.0,50.8,123.4,
26,2026-05-28T12:20:00.266166+00:00,1779970800.266166,26.00019690801855,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,236.4,49.9,0.682,102439.546,0.0,50.8,123.4,
27,2026-05-28T12:20:01.266228+00:00,1779970801.266228,27.000259243999608,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.5,236.4,49.9,0.678,102439.546,0.0,50.8,123.4,
28,2026-05-28T12:20:02.266180+00:00,1779970802.26618,28.00021322199609,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,236.3,49.9,0.682,102439.546,0.0,50.8,123.4,
29,2026-05-28T12:20:03.266190+00:00,1779970803.26619,29.000221092021093,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,236.4,49.9,0.684,102439.546,0.0,50.8,123.4,
30,2026-05-28T12:20:04.266149+00:00,1779970804.266149,30.000179780996405,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,236.4,49.9,0.691,102439.762,0.0,50.8,123.4,
31,2026-05-28T12:20:05.266220+00:00,1779970805.26622,31.00026068405714,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,236.4,49.9,0.687,102439.762,0.0,50.8,123.4,
32,2026-05-28T12:20:06.266199+00:00,1779970806.266199,32.00023052608594,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,236.4,49.9,0.687,102439.762,0.0,50.8,123.4,
33,2026-05-28T12:20:07.266339+00:00,1779970807.266339,33.0003764530411,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.2,236.5,49.9,0.681,102439.762,0.0,50.8,123.4,
34,2026-05-28T12:20:08.266199+00:00,1779970808.266199,34.00023152807262,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,236.4,49.9,0.68,102439.762,0.0,50.8,123.4,
35,2026-05-28T12:20:09.266176+00:00,1779970809.266176,35.00020782707725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.1,236.6,49.9,0.68,102439.762,0.0,50.8,123.4,
36,2026-05-28T12:20:10.266201+00:00,1779970810.266201,36.00023148301989,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.4,236.6,50.0,0.694,102439.762,0.0,51.1,123.9,
37,2026-05-28T12:20:11.266138+00:00,1779970811.266138,37.000169467995875,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,236.5,50.0,0.687,102439.978,0.0,50.8,123.4,
38,2026-05-28T12:20:12.266149+00:00,1779970812.266149,38.00018084410112,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.6,49.9,0.685,102439.978,0.0,51.1,123.9,
