sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T10:49:43.058818+00:00,1779965383.058818,0.00017489492893218994,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,235.2,49.9,0.689,102215.695,0.0,50.7,123.3,
1,2026-05-28T10:49:44.059335+00:00,1779965384.059335,1.0007089629070833,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,235.2,49.9,0.686,102215.695,0.0,50.7,123.3,
2,2026-05-28T10:49:45.059476+00:00,1779965385.059476,2.000849636970088,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,235.2,49.9,0.693,102215.695,0.0,50.7,123.3,
3,2026-05-28T10:49:46.059477+00:00,1779965386.059477,3.000849343952723,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,235.1,49.9,0.684,102215.695,0.0,50.8,123.4,
4,2026-05-28T10:49:47.059471+00:00,1779965387.059471,4.000844185939059,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.1,235.2,49.9,0.683,102215.695,0.0,50.8,123.4,
5,2026-05-28T10:49:48.059306+00:00,1779965388.059306,5.0006772299529985,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,235.1,49.9,0.685,102215.911,0.0,50.8,123.4,
6,2026-05-28T10:49:49.059448+00:00,1779965389.059448,6.000818351982161,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,235.1,49.9,0.684,102215.911,0.0,50.8,123.4,
7,2026-05-28T10:49:50.059345+00:00,1779965390.059345,7.000716583919711,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.4,235.2,49.9,0.697,102215.911,0.0,50.8,123.4,
8,2026-05-28T10:49:51.059159+00:00,1779965391.059159,8.00052974501159,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,235.2,49.9,0.692,102215.911,0.0,50.7,123.3,
9,2026-05-28T10:49:52.058830+00:00,1779965392.05883,9.00019979197532,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.8,235.2,49.9,0.682,102215.911,0.0,50.8,123.4,
