Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4725,4725,7,18.64542946746701,2.5357500417158008,1093.0909130256623,0.0,39.55229006591447,39.55229006591447,7,9,10,11,18,27,47,78,1100,1100,1100
POST,/cart,516,516,7,13.335255991041212,3.221006947569549,1077.558399992995,0.0,4.319361200849072,4.319361200849072,7,8,10,11,16,24,34,44,1100,1100,1100
POST,/cart/checkout,268,268,7,17.231059367525212,2.9154689982533455,1075.3397670341656,0.0,2.243389150828588,2.243389150828588,7,9,10,11,17,22,38,83,1100,1100,1100
GET,/product/0PUK6V6EV0,108,108,6,17.17390578792051,3.684908035211265,1062.1683789649978,0.0,0.9040523443637593,0.9040523443637593,6,8,9,9,11,15,22,30,1100,1100,1100
GET,/product/1YMWWN1N4O,88,88,6,7.4680450951828705,3.7586380494758487,32.89929707534611,0.0,0.7366352435556557,0.7366352435556557,6,8,8,9,11,17,21,33,33,33,33
GET,/product/2ZYFJ3GM2N,86,86,7,8.182256823665528,3.5654579987749457,29.518316965550184,0.0,0.7198935334748453,0.7198935334748453,7,9,9,10,11,14,29,30,30,30,30
GET,/product/66VCHSJNUP,100,100,7,29.20160784269683,3.6242599599063396,1051.4684930676594,0.0,0.8370855040405178,0.8370855040405178,7,8,9,10,15,29,1000,1100,1100,1100,1100
GET,/product/6E92ZMYYFZ,85,85,6,20.059786354849006,3.696198924444616,1013.9463830273598,0.0,0.7115226784344402,0.7115226784344402,6,8,9,10,15,27,33,1000,1000,1000,1000
GET,/product/9SIQT8TOJO,84,84,6,19.365554825136705,3.4635940100997686,1041.3315690821037,0.0,0.703151823394035,0.703151823394035,6,7,8,8,10,13,52,1000,1000,1000,1000
GET,/product/L9ECAV7KIM,96,96,7,8.914374821567131,3.906244062818587,61.51541299186647,0.0,0.8036020838788971,0.8036020838788971,7,8,9,10,14,23,49,62,62,62,62
GET,/product/LS4PSXUNUM,78,78,7,7.595634431196138,3.516049007885158,25.169197004288435,0.0,0.6529266931516039,0.6529266931516039,7,7,8,9,12,17,20,25,25,25,25
GET,/product/OLJCESPC7Z,111,111,7,18.35140469903546,3.395603969693184,1011.3414149964228,0.0,0.9291649094849748,0.9291649094849748,7,8,9,11,20,26,47,52,1000,1000,1000
,Aggregated,6345,6345,7,17.738598697525987,2.5357500417158008,1093.0909130256623,0.0,53.11307523137086,53.11307523137086,7,9,10,11,17,26,45,67,1100,1100,1100
