Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779968407,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779968408,5,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,4,10,12.321185553446412,8.35461204405874,20.58533299714327,0.0
1779968408,5,POST,/cart,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,7.191329030320048,7.191329030320048,7.191329030320048,7.191329030320048,0.0
1779968408,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,5,10,11.29521424882114,7.191329030320048,20.58533299714327,0.0
1779968409,10,GET,/,0.000000,0.000000,15,18,18,19,19,19,19,19,19,19,19,9,9,11,13.034806897242865,6.581805995665491,20.58533299714327,0.0
1779968409,10,POST,/cart,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,3,3,13,13.675040022159616,7.191329030320048,20.418285042978823,0.0
1779968409,10,GET,/product/66VCHSJNUP,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,7.471891934983432,7.471891934983432,7.471891934983432,7.471891934983432,0.0
1779968409,10,GET,/product/L9ECAV7KIM,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,7.194580975919962,7.194580975919962,7.194580975919962,7.194580975919962,0.0
1779968409,10,,Aggregated,0.000000,0.000000,13,15,18,19,20,20,20,20,20,20,20,14,14,10,12.357489646612,6.581805995665491,20.58533299714327,0.0
1779968410,15,GET,/,4.000000,4.000000,12,16,19,20,22,26,26,26,26,26,26,19,19,11,13.433198695757278,6.050191004760563,25.79004201106727,0.0
1779968410,15,POST,/cart,1.000000,1.000000,20,20,20,20,20,20,20,20,20,20,20,3,3,13,13.675040022159616,7.191329030320048,20.418285042978823,0.0
1779968410,15,GET,/product/66VCHSJNUP,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,1,7.471891934983432,7.471891934983432,7.471891934983432,7.471891934983432,0.0
1779968410,15,GET,/product/L9ECAV7KIM,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,1,7.194580975919962,7.194580975919962,7.194580975919962,7.194580975919962,0.0
1779968410,15,,Aggregated,5.000000,5.000000,12,16,19,20,22,26,26,26,26,26,26,24,24,11,12.95509867486544,6.050191004760563,25.79004201106727,0.0
1779968411,20,GET,/,4.000000,4.000000,11,15,16,18,20,22,26,26,26,26,26,32,32,11,12.707343186775688,6.050191004760563,25.79004201106727,0.0
1779968411,20,POST,/cart,1.500000,1.500000,15,15,20,20,20,20,20,20,20,20,20,4,4,13,14.067039010114968,7.191329030320048,20.418285042978823,0.0
1779968411,20,GET,/product/66VCHSJNUP,0.500000,0.500000,7,7,7,7,7,7,7,7,7,7,7,1,1,7.471891934983432,7.471891934983432,7.471891934983432,7.471891934983432,0.0
1779968411,20,GET,/product/L9ECAV7KIM,0.500000,0.500000,16,16,16,16,16,16,16,16,16,16,16,2,2,7.194580975919962,11.845424480270594,7.194580975919962,16.496267984621227,0.0
1779968411,20,,Aggregated,6.500000,6.500000,12,15,16,18,20,22,26,26,26,26,26,39,39,11,12.668355869559141,6.050191004760563,25.79004201106727,0.0
1779968412,25,GET,/,5.000000,5.000000,12,14,15,16,19,22,26,26,26,26,26,44,44,11,12.460422683613036,4.40409907605499,25.79004201106727,0.0
1779968412,25,POST,/cart,1.000000,1.000000,13,15,15,20,20,20,20,20,20,20,20,6,6,7.156645064242184,11.80400385055691,7.156645064242184,20.418285042978823,0.0
1779968412,25,GET,/product/66VCHSJNUP,0.333333,0.333333,7,7,7,7,7,7,7,7,7,7,7,2,2,7,7.097786932718009,6.723681930452585,7.471891934983432,0.0
1779968412,25,GET,/product/9SIQT8TOJO,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,4.528622957877815,4.528622957877815,4.528622957877815,4.528622957877815,0.0
1779968412,25,GET,/product/L9ECAV7KIM,0.333333,0.333333,16,16,16,16,16,16,16,16,16,16,16,2,2,7.194580975919962,11.845424480270594,7.194580975919962,16.496267984621227,0.0
1779968412,25,,Aggregated,6.666667,6.666667,11,14,15,16,19,20,26,26,26,26,26,55,55,11,12.02723030847582,4.40409907605499,25.79004201106727,0.0
1779968413,30,GET,/,6.250000,6.250000,12,15,17,18,22,24,26,28,28,28,28,60,60,12,13.34074535019075,4.40409907605499,27.836309978738427,0.0
