sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T11:38:06.998054+00:00,1779968286.998054,0.0001674580853432417,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,238.0,49.9,0.684,102335.514,0.0,51.1,124.0,
1,2026-05-28T11:38:07.998346+00:00,1779968287.998346,1.000472730025649,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,238.1,49.9,0.677,102335.731,0.0,51.1,124.0,
2,2026-05-28T11:38:08.998464+00:00,1779968288.998464,2.000593621050939,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.9,238.2,49.9,0.677,102335.731,0.0,51.1,124.0,
3,2026-05-28T11:38:09.998384+00:00,1779968289.998384,3.000516725005582,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,238.3,49.9,0.691,102335.731,0.0,51.1,124.1,
4,2026-05-28T11:38:10.998075+00:00,1779968290.998075,4.000204648007639,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.8,238.3,49.9,0.676,102335.731,0.0,51.1,123.9,
5,2026-05-28T11:38:11.998385+00:00,1779968291.998385,5.000523113994859,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,238.2,49.9,0.682,102335.731,0.0,51.1,123.9,
6,2026-05-28T11:38:12.998410+00:00,1779968292.99841,6.000546585069969,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.4,238.2,49.9,0.675,102335.947,0.0,51.1,123.9,
7,2026-05-28T11:38:13.998096+00:00,1779968293.998096,7.000227916054428,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.6,238.2,49.9,0.676,102335.947,0.0,51.1,124.0,
8,2026-05-28T11:38:14.998386+00:00,1779968294.998386,8.000523562077433,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,238.3,49.9,0.683,102335.947,0.0,51.1,124.0,
9,2026-05-28T11:38:15.998508+00:00,1779968295.998508,9.000645099091344,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,238.2,49.9,0.689,102335.947,0.0,51.1,123.9,
10,2026-05-28T11:38:16.998106+00:00,1779968296.998106,10.000232698977925,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.2,49.9,0.684,102335.947,0.0,51.1,123.9,
11,2026-05-28T11:38:17.998370+00:00,1779968297.99837,11.000497695058584,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.2,49.9,0.684,102335.947,0.0,50.8,123.4,
12,2026-05-28T11:38:18.998672+00:00,1779968298.998672,12.000800510984845,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.7,238.3,49.9,0.676,102336.163,0.0,50.8,123.4,
13,2026-05-28T11:38:19.998435+00:00,1779968299.998435,13.000564760062844,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.3,49.9,0.684,102336.163,0.0,51.1,123.9,
14,2026-05-28T11:38:20.998546+00:00,1779968300.998546,14.000673564034514,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,238.4,49.9,0.687,102336.163,0.0,50.8,123.4,
15,2026-05-28T11:38:21.998476+00:00,1779968301.998476,15.000603587017395,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.1,238.4,50.0,0.673,102336.163,0.0,50.8,123.4,
16,2026-05-28T11:38:22.998181+00:00,1779968302.998181,16.0003144540824,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,238.4,49.9,0.682,102336.163,0.0,51.1,124.0,
17,2026-05-28T11:38:23.998225+00:00,1779968303.998225,17.00035572401248,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.4,237.8,49.9,0.676,102336.379,0.0,51.1,124.1,
18,2026-05-28T11:38:24.998609+00:00,1779968304.998609,18.000738141010515,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,237.9,49.9,0.681,102336.379,0.0,51.1,124.0,
19,2026-05-28T11:38:25.998562+00:00,1779968305.998562,19.000689751002938,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,147.8,237.9,49.9,0.677,102336.379,0.0,51.1,124.0,
20,2026-05-28T11:38:26.998562+00:00,1779968306.998562,20.000693095033057,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.0,237.8,49.9,0.678,102336.379,0.0,51.1,123.9,
21,2026-05-28T11:38:27.998569+00:00,1779968307.998569,21.000697123003192,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,237.6,49.9,0.687,102336.379,0.0,50.8,123.4,
22,2026-05-28T11:38:28.998624+00:00,1779968308.998624,22.00075642101001,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.4,237.7,49.9,0.68,102336.596,0.0,50.7,123.3,
23,2026-05-28T11:38:29.998220+00:00,1779968309.99822,23.00034718506504,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,237.7,49.9,0.69,102336.596,0.0,51.1,123.9,
