Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6342,0,76,125.77808429277054,6.548548117280006,1423.2148174196482,10547.602649006623,53.06863879599568,0.0,76,97,120,130,190,530,950,1100,1400,1400,1400
POST,/cart,722,0,80,123.83961509603625,9.516013786196709,1782.978793606162,17822.918282548475,6.041557428367847,0.0,81,99,120,130,170,360,950,1200,1800,1800,1800
POST,/cart/checkout,353,0,69,97.3347290880746,10.786239989101887,1553.5347079858184,6802.521246458923,2.95383624960367,0.0,69,81,90,98,140,200,670,790,1600,1600,1600
GET,/product/0PUK6V6EV0,122,0,57,76.49517741023762,6.160769611597061,785.4381948709488,8002.729508196721,1.0208725848488605,0.0,57,93,95,97,100,170,250,650,790,790,790
GET,/product/1YMWWN1N4O,124,0,58,79.12654157788042,6.68865442276001,859.8931366577744,8028.548387096775,1.0376082009939238,0.0,58,95,98,99,110,190,290,300,860,860,860
GET,/product/2ZYFJ3GM2N,116,0,58,77.5903345904602,6.5254932269454,740.9603912383318,8024.577586206897,0.9706657364136706,0.0,59,93,94,96,100,190,350,700,740,740,740
GET,/product/66VCHSJNUP,131,0,56,73.39796174374473,6.208209320902824,690.020889043808,7975.1297709923665,1.0961828575016452,0.0,56,91,96,97,100,140,290,690,690,690,690
GET,/product/6E92ZMYYFZ,119,0,67,70.8302981650629,6.551881320774555,300.7868127897382,7980.487394957983,0.9957691606312655,0.0,67,92,95,96,99,150,190,200,300,300,300
GET,/product/9SIQT8TOJO,113,0,61,77.65074272895545,6.869989447295666,858.2633268088102,8021.433628318584,0.9455623121960757,0.0,61,93,96,97,100,190,250,260,860,860,860
GET,/product/L9ECAV7KIM,127,0,57,78.84936388875322,6.017106585204601,1094.817129895091,7994.322834645669,1.0627116252115187,0.0,57,91,95,96,100,160,210,740,1100,1100,1100
GET,/product/LS4PSXUNUM,127,0,62,78.87659378085785,6.58019632101059,774.2160521447659,7989.881889763779,1.0627116252115187,0.0,62,95,97,98,100,150,270,650,770,770,770
GET,/product/OLJCESPC7Z,125,0,59,70.58913826197386,6.31371047347784,302.22730059176683,8025.944,1.0459760090664554,0.0,59,91,95,97,100,150,200,250,300,300,300
,Aggregated,8521,0,75,117.97604330121008,6.017106585204601,1782.978793606162,10679.396314986503,71.30209258604214,0.0,75,95,110,130,180,430,890,1100,1400,1800,1800
