model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,2.4234608668114705,2.4234608668114705,0.0,2.4234608668114705,0.020321165979402943,0.023511864283525464,0.016440446537330757,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.473459717583876,1.473459717583876,0.0,1.473459717583876,0.012311874986895146,0.01315924504973546,0.011349539099315907,25.0,False,False
M1,accounting,accounting,,,,,accounting,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.477466769997387,1.477466769997387,1.477466769997387,1.477466769997387,0.012304558004288958,0.01745326108696836,0.00678793112852493,25.0,False,False
M1,ad,ad,,,,,ad,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.5602512426257937,0.5602512426257937,0.5602512426257937,0.5602512426257937,0.004694483203213379,0.0070999800003636315,0.002644593538064332,25.0,False,False
M1,cart,cart,,,,,cart,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.5439202421915197,2.5439202421915197,2.5439202421915197,2.5439202421915197,0.021513431797595236,0.0479328,0.00648029019237064,25.0,False,False
M1,checkout,checkout,,,,,checkout,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.370819273748839,3.370819273748839,3.370819273748839,3.370819273748839,0.028086969233321626,0.03295625534081199,0.01828501036401324,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.917081419399308,2.917081419399308,0.0,2.917081419399308,0.024370697403645784,0.026583886393805673,0.022576353157227388,25.0,False,False
M1,currency,currency,,,,,currency,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.17446355392180105,0.17446355392180105,0.17446355392180105,0.17446355392180105,0.0014566503669895307,0.0021427558367881306,0.0008142296083493946,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,22.23371366673695,22.23371366673695,0.0,22.23371366673695,0.1855937867361782,0.19526503263818007,0.17710814938729777,25.0,False,False
M1,email,email,,,,,email,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.19499293636409076,0.19499293636409076,0.19499293636409076,0.19499293636409076,0.0016205565434276406,0.002065785406476717,0.001178851293612843,25.0,False,False
