model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,2.218381131595423,2.218381131595423,0.0,2.218381131595423,0.018480169170709552,0.020326302774670207,0.016620222553491864,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.4286169663391197,1.4286169663391197,0.0,1.4286169663391197,0.01192387572997866,0.012749018181772376,0.011325302738261392,25.0,False,False
M1,accounting,accounting,,,,,accounting,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.3592596873562885,1.3592596873562885,1.3592596873562885,1.3592596873562885,0.011573883920567067,0.01865972108583792,0.004293267395138271,25.0,False,False
M1,ad,ad,,,,,ad,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.4534214507465526,0.4534214507465526,0.4534214507465526,0.4534214507465526,0.0037580042913600894,0.005045109090909088,0.0025583818181818046,25.0,False,False
M1,cart,cart,,,,,cart,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.205502485977425,2.205502485977425,2.205502485977425,2.205502485977425,0.018717341228002445,0.04068550337278861,0.006286187021582187,25.0,False,False
M1,checkout,checkout,,,,,checkout,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.4197128440901343,3.4197128440901343,3.4197128440901343,3.4197128440901343,0.02889590233162251,0.042068,0.017268635008363026,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.969009155257006,2.969009155257006,0.0,2.969009155257006,0.024743745678718863,0.025794650811820447,0.023540018181814625,25.0,False,False
M1,currency,currency,,,,,currency,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.14232830054090978,0.14232830054090978,0.14232830054090978,0.14232830054090978,0.001200591364047207,0.0016392298041782577,0.0006424987273652824,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,21.798452487885033,21.798452487885033,0.0,21.798452487885033,0.18179619529294425,0.18947939999998195,0.1730349435485992,25.0,False,False
M1,email,email,,,,,email,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.20780117845418364,0.20780117845418364,0.20780117845418364,0.20780117845418364,0.0017583603239439806,0.0028328454279324317,0.0009901825321794783,25.0,False,False
M1,flagd,flagd,,,,,flagd,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.14693728660115823,0.14693728660115823,0.14693728660115823,0.14693728660115823,0.0012290968635667505,0.0021940833136352895,0.0006522972309594368,25.0,False,False
M1,flagd-ui,flagd-ui,,,,,flagd-ui,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.5503560024144056,1.5503560024144056,0.0,1.5503560024144056,0.012918446442486574,0.013754700170915308,0.011726114070653262,25.0,False,False
M1,fraud-detection,fraud-detection,,,,,fraud-detection,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.852157780354094,1.852157780354094,1.852157780354094,1.852157780354094,0.01552447281294229,0.021557066749095438,0.012731867852142767,25.0,False,False
M1,frontend,frontend,,,,,frontend,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,27.940758244793606,27.940758244793606,27.940758244793606,27.940758244793606,0.22976876787972597,0.34005712311831865,0.013283786977945054,25.0,False,False
M1,frontend-proxy,frontend-proxy,,,,,frontend-proxy,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,5.394096427663777,5.394096427663777,5.394096427663777,5.394096427663777,0.04464530714917303,0.05836265454545455,0.017251622756777402,25.0,False,False
M1,image-provider,image-provider,,,,,image-provider,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.1128709138991752,0.1128709138991752,0.1128709138991752,0.1128709138991752,0.0009492727449120309,0.0013725454545454546,0.0006615093722160613,25.0,False,False
M1,kafka,kafka,,,,,kafka,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,4.4202576592055545,4.4202576592055545,4.4202576592055545,4.4202576592055545,0.03687361210028096,0.04443133511518392,0.03162635004909264,25.0,False,False
M1,kepler,kepler,,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,20.650096244037275,20.650096244037275,0.0,20.650096244037275,0.17150960346139157,0.18403909161972648,0.15194440101097267,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,llm,llm,,,,,llm,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.200792643971123,2.200792643971123,2.200792643971123,2.200792643971123,0.01835143934527002,0.019514627538682522,0.017629620202534415,25.0,False,False
M1,load-generator,load-generator,,,,,load-generator,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,66.2273132854875,66.2273132854875,66.2273132854875,66.2273132854875,0.5515741136488602,0.5882623597650779,0.516575309090909,25.0,False,False
M1,local-path-provisioner,local-path-provisioner,,,,,local-path-provisioner,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.007295115420689042,0.007295115420689042,0.0,0.007295115420689042,6.484528700188319e-05,0.0003242358674113103,0.0,25.0,False,False
M1,metrics-server,metrics-server,,,,,metrics-server,platform_observability,builtin_group,0.95,builtin_platform_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.5514664785950598,0.5514664785950598,0.0,0.5514664785950598,0.004591289030699735,0.005129815821534907,0.0041070077823839694,25.0,False,False
M1,opensearch,opensearch,,,,,opensearch,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,10.146135132551889,10.146135132551889,0.0,10.146135132551889,0.08468240144411796,0.11873002163754412,0.046979143937740886,25.0,False,False
M1,opentelemetry-collector,opentelemetry-collector,,,,,opentelemetry-collector,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,17.285667862368268,17.285667862368268,0.0,17.285667862368268,0.14454590926442384,0.262576449624525,0.056505063728431414,25.0,False,False
M1,payment,payment,,,,,payment,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.6047309428787386,0.6047309428787386,0.6047309428787386,0.6047309428787386,0.0050758261618742175,0.006558537427953231,0.0037128909090909093,25.0,False,False
M1,postgresql,postgresql,,,,,postgresql,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.5321217240147581,0.5321217240147581,0.5321217240147581,0.5321217240147581,0.004419627938980239,0.006572368779884736,0.001508209240168003,25.0,False,False
M1,product-catalog,product-catalog,,,,,product-catalog,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,25.116597751108362,25.116597751108362,25.116597751108362,25.116597751108362,0.2076491743951483,0.33123044893357817,0.01006227385952472,25.0,False,False
M1,product-reviews,product-reviews,,,,,product-reviews,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.8579591304878609,1.8579591304878609,1.8579591304878609,1.8579591304878609,0.015536618677651598,0.01790518009418353,0.01026354926094941,25.0,False,False
M1,quote,quote,,,,,quote,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.06372091239369398,0.06372091239369398,0.06372091239369398,0.06372091239369398,0.0005438856626107058,0.0012064658072258488,0.0,25.0,False,False
M1,recommendation,recommendation,,,,,recommendation,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.521498134687479,1.521498134687479,1.521498134687479,1.521498134687479,0.012653658745774793,0.013799909090909092,0.00842565454545454,25.0,False,False
M1,shipping,shipping,,,,,shipping,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.6462964564242176,0.6462964564242176,0.6462964564242176,0.6462964564242176,0.005398086017678086,0.005922197170806212,0.004963563636363634,25.0,False,False
