sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-01T15:00:14.294800+00:00,1780326014.2948,0.00017661997117102146,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.1,239.1,50.0,0.734,117028.568,0.0,51.5,124.7,
1,2026-06-01T15:00:15.295377+00:00,1780326015.295377,1.0007785740308464,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,239.2,50.0,0.718,117028.568,0.0,51.3,124.3,
2,2026-06-01T15:00:16.294886+00:00,1780326016.294886,2.0002764291130006,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,239.1,50.0,0.723,117028.784,0.0,51.3,124.3,
3,2026-06-01T15:00:17.295118+00:00,1780326017.295118,3.000511554069817,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.9,239.1,50.0,0.729,117028.784,0.0,51.3,124.3,
4,2026-06-01T15:00:18.295260+00:00,1780326018.29526,4.000653844093904,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,239.3,50.0,0.715,117028.784,0.0,51.5,124.7,
5,2026-06-01T15:00:19.295159+00:00,1780326019.295159,5.000556617975235,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,239.1,50.0,0.719,117028.784,0.0,51.3,124.3,
6,2026-06-01T15:00:20.295341+00:00,1780326020.295341,6.000741638010368,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,238.9,50.0,0.722,117028.784,0.0,51.6,124.8,
7,2026-06-01T15:00:21.295309+00:00,1780326021.295309,7.000705051003024,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.8,238.9,50.0,0.71,117029.0,0.0,51.3,124.3,
8,2026-06-01T15:00:22.295354+00:00,1780326022.295354,8.00075452006422,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,238.9,50.0,0.717,117029.0,0.0,51.3,124.4,
9,2026-06-01T15:00:23.294954+00:00,1780326023.294954,9.000345282023773,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.8,238.9,50.0,0.718,117029.0,0.0,51.5,124.7,
10,2026-06-01T15:00:24.294950+00:00,1780326024.29495,10.000342176994309,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.1,239.0,50.0,0.718,117029.0,0.0,51.3,124.4,
11,2026-06-01T15:00:25.294964+00:00,1780326025.294964,11.000354236923158,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,238.9,50.0,0.726,117029.0,0.0,51.3,124.3,
12,2026-06-01T15:00:26.295161+00:00,1780326026.295161,12.000555932987481,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,238.9,50.0,0.726,117029.0,0.0,51.3,124.3,
13,2026-06-01T15:00:27.295311+00:00,1780326027.295311,13.000711560016498,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,238.9,50.0,0.723,117029.217,0.0,51.3,124.3,
14,2026-06-01T15:00:28.295291+00:00,1780326028.295291,14.000689290929586,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.8,239.0,50.0,0.729,117029.217,0.0,51.3,124.3,
15,2026-06-01T15:00:29.295065+00:00,1780326029.295065,15.0004558051005,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,238.9,50.0,0.717,117029.217,0.0,51.3,124.3,
16,2026-06-01T15:00:30.295084+00:00,1780326030.295084,16.000477063003927,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,238.8,50.0,0.726,117029.217,0.0,51.6,124.8,
17,2026-06-01T15:00:31.295129+00:00,1780326031.295129,17.000533588929102,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.5,238.9,50.0,0.709,117029.217,0.0,51.3,124.3,
18,2026-06-01T15:00:32.295118+00:00,1780326032.295118,18.000523504102603,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.1,238.8,50.0,0.719,117029.433,0.0,51.3,124.3,
19,2026-06-01T15:00:33.295849+00:00,1780326033.295849,19.001252992078662,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.1,238.8,50.0,0.715,117029.433,0.0,51.3,124.3,
20,2026-06-01T15:00:34.295262+00:00,1780326034.295262,20.00066453614272,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,238.8,50.0,0.725,117029.433,0.0,51.6,124.8,
21,2026-06-01T15:00:35.295410+00:00,1780326035.29541,21.00081428606063,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.5,238.7,50.0,0.713,117029.433,0.0,51.5,124.7,
22,2026-06-01T15:00:36.294972+00:00,1780326036.294972,22.000370253110304,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.8,238.7,50.0,0.746,117029.649,0.0,51.6,124.8,
23,2026-06-01T15:00:37.295311+00:00,1780326037.295311,23.000708227045834,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.0,238.9,50.0,0.741,117029.649,0.0,51.3,124.3,
24,2026-06-01T15:00:38.295139+00:00,1780326038.295139,24.000542484922335,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.5,238.7,50.0,0.732,117029.649,0.0,51.5,124.7,
25,2026-06-01T15:00:39.295544+00:00,1780326039.295544,25.00094830803573,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.1,238.8,50.0,0.719,117029.649,0.0,51.3,124.4,
26,2026-06-01T15:00:40.294994+00:00,1780326040.294994,26.000411434099078,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.8,239.1,50.0,0.714,117029.649,0.0,51.3,124.3,
27,2026-06-01T15:00:41.295084+00:00,1780326041.295084,27.000486260978505,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,239.0,50.0,0.717,117029.866,0.0,51.3,124.3,
28,2026-06-01T15:00:42.295151+00:00,1780326042.295151,28.00055146194063,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,239.1,50.0,0.719,117029.866,0.0,51.6,124.8,
29,2026-06-01T15:00:43.348631+00:00,1780326043.348631,29.05401207692921,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,239.1,50.0,0.719,117029.866,0.0,51.6,124.8,
30,2026-06-01T15:00:44.294923+00:00,1780326044.294923,30.000321384053677,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,238.8,50.0,0.717,117029.866,0.0,51.3,124.3,
31,2026-06-01T15:00:45.294918+00:00,1780326045.294918,31.000314770033583,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.3,238.8,50.0,0.712,117029.866,0.0,51.6,124.8,
32,2026-06-01T15:00:46.295044+00:00,1780326046.295044,32.000435031950474,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,239.0,50.0,0.725,117030.082,0.0,51.4,124.4,
33,2026-06-01T15:00:47.295656+00:00,1780326047.295656,33.00105704111047,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.1,239.0,50.0,0.727,117030.082,0.0,51.3,124.3,
34,2026-06-01T15:00:48.294997+00:00,1780326048.294997,34.0003979569301,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.2,239.1,50.0,0.715,117030.082,0.0,51.5,124.7,
35,2026-06-01T15:00:49.295224+00:00,1780326049.295224,35.0006223290693,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,155.9,239.1,50.0,0.706,117030.082,0.0,51.3,124.3,
36,2026-06-01T15:00:50.295138+00:00,1780326050.295138,36.00053574400954,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,239.0,50.0,0.721,117030.082,0.0,51.3,124.3,
37,2026-06-01T15:00:51.295149+00:00,1780326051.295149,37.000547664938495,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.5,239.0,50.0,0.713,117030.298,0.0,51.5,124.7,
38,2026-06-01T15:00:52.295132+00:00,1780326052.295132,38.000531821046025,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,238.9,50.0,0.726,117030.298,0.0,51.6,124.8,
39,2026-06-01T15:00:53.295227+00:00,1780326053.295227,39.00062722014263,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.2,239.1,50.0,0.711,117030.298,0.0,51.3,124.3,
40,2026-06-01T15:00:54.295377+00:00,1780326054.295377,40.00077797006816,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.1,238.9,50.0,0.707,117030.298,0.0,51.5,124.7,
41,2026-06-01T15:00:55.295161+00:00,1780326055.295161,41.00055858795531,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.0,50.0,0.714,117030.514,0.0,51.3,124.3,
42,2026-06-01T15:00:56.295566+00:00,1780326056.295566,42.000961092999205,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.3,238.9,50.0,0.716,117030.514,0.0,51.6,124.8,
