model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,accounting,primary_application,1,1,1.4797687831989987,1.4797687831989987,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00018769264119723476,0.00018769264119723476,0.004881487157487081
M1,ad,primary_application,1,1,0.5432506247095377,0.5432506247095377,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,6.890545721835841e-05,6.890545721835841e-05,0.0017920846675002601
M1,cart,primary_application,1,1,3.6418497124529026,3.6418497124529026,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00046192918727205764,0.00046192918727205764,0.01201379756261971
M1,checkout,primary_application,1,1,3.794788137549035,3.794788137549035,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.0004813277698565493,0.0004813277698565493,0.0125183135156993
M1,currency,primary_application,1,1,0.16287094069746894,0.16287094069746894,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,2.065841459886719e-05,2.065841459886719e-05,0.0005372815093610582
M1,email,primary_application,1,1,0.24046484020308637,0.24046484020308637,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,3.0500360248996242e-05,3.0500360248996242e-05,0.0007932496229180783
M1,flagd,primary_application,1,1,0.14336055433444544,0.14336055433444544,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,1.8183733426489783e-05,1.8183733426489783e-05,0.0004729203054013296
M1,fraud-detection,primary_application,1,1,2.053545135605172,2.053545135605172,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00026046995631724657,0.00026046995631724657,0.006774270629703264
M1,frontend,primary_application,1,1,53.3631265491254,53.3631265491254,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.006768534569904287,0.006768534569904287,0.17603521569753425
M1,frontend-proxy,primary_application,1,1,8.67574657050741,8.67574657050741,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.001100424476218596,0.001100424476218596,0.028619704609520222
M1,image-provider,primary_application,1,1,0.10556200077609326,0.10556200077609326,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,1.3389396343999653e-05,1.3389396343999653e-05,0.00034822977546069997
M1,kafka,primary_application,1,1,4.516892917873459,4.516892917873459,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.0005729189393548274,0.0005729189393548274,0.014900405401631235
M1,llm,primary_application,1,1,2.2336364594558504,2.2336364594558504,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00028331258998678976,0.00028331258998678976,0.007368359040361209
M1,load-generator,primary_application,1,1,69.7515442882883,69.7515442882883,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00884722783971186,0.00884722783971186,0.2300976149274407
M1,payment,primary_application,1,1,0.6634494090295883,0.6634494090295883,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,8.415137100831916e-05,8.415137100831916e-05,0.0021885985206546964
M1,postgresql,primary_application,1,1,0.8704842700542559,0.8704842700542559,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00011041150051423844,0.00011041150051423844,0.0028715687432452936
M1,product-catalog,primary_application,1,1,56.35911386969474,56.35911386969474,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.007148543108789287,0.007148543108789287,0.18591843109942763
M1,product-reviews,primary_application,1,1,2.4450809701877074,2.4450809701877074,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00031013203579245403,0.00031013203579245403,0.00806587589257331
M1,quote,primary_application,1,1,0.08241764129837582,0.08241764129837582,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,1.0453785045456091e-05,1.0453785045456091e-05,0.0002718807573968767
M1,recommendation,primary_application,1,1,2.0324697615449865,2.0324697615449865,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00025779677340753254,0.00025779677340753254,0.006704746816941364
M1,shipping,primary_application,1,1,0.6775277975073297,0.6775277975073297,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,8.59370620887024e-05,8.59370620887024e-05,0.0022350405549322683
M1,valkey-cart,primary_application,1,1,0.25983880272942134,0.25983880272942134,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,3.295773753544157e-05,3.295773753544157e-05,0.0008571607895379663
M2,accounting,primary_application,2,2,0.0,1.562542425630231,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.00019819158113016627,0.00019819158113016627,0.005154542297650928
M2,ad,primary_application,2,2,0.0,0.5441147713435157,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,6.901506485838607e-05,6.901506485838607e-05,0.0017949353295387107
M2,cart,primary_application,2,2,0.0,3.76186889024796,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.0004771523199198326,0.0004771523199198326,0.012409718926626442
M2,checkout,primary_application,2,2,0.0,3.9375842296142127,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.0004994399073584744,0.0004994399073584744,0.012989371763088864
M2,currency,primary_application,2,2,0.0,0.16808429295745683,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,2.131967186167641e-05,2.131967186167641e-05,0.0005544794070282675
M2,email,primary_application,2,2,0.0,0.24875025417970476,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,3.1551275263788024e-05,3.1551275263788024e-05,0.0008205816915361846
M2,flagd,primary_application,3,3,0.0,1.5932003232506293,True,medium,medium,150,121.07242798805237,7884.0,7884.0,66.02766081958232,0.0,31.0,0.0002020802033549758,0.0002020802033549758,0.00525567710682429
