sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-01T14:08:04.352262+00:00,1780322884.352262,0.0001597958616912365,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,239.4,49.9,0.728,116894.257,0.0,51.6,124.8,
1,2026-06-01T14:08:05.352557+00:00,1780322885.352557,1.0004690908826888,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,239.4,49.8,0.72,116894.257,0.0,51.6,124.8,
2,2026-06-01T14:08:06.352453+00:00,1780322886.352453,2.000365971820429,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.4,49.9,0.712,116894.257,0.0,51.6,124.8,
3,2026-06-01T14:08:07.352294+00:00,1780322887.352294,3.000211942009628,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.6,239.5,49.9,0.727,116894.257,0.0,51.6,124.9,
4,2026-06-01T14:08:08.352726+00:00,1780322888.352726,4.000649845926091,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.3,239.5,49.9,0.731,116894.257,0.0,51.6,124.8,
5,2026-06-01T14:08:09.352642+00:00,1780322889.352642,5.000567379873246,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.4,239.6,49.9,0.727,116894.474,0.0,51.6,124.9,
6,2026-06-01T14:08:10.352543+00:00,1780322890.352543,6.000463371863589,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.3,239.5,49.9,0.714,116894.474,0.0,51.6,124.8,
7,2026-06-01T14:08:11.352800+00:00,1780322891.3528,7.000723437871784,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,155.7,239.4,49.9,0.704,116894.474,0.0,51.6,124.8,
8,2026-06-01T14:08:12.352335+00:00,1780322892.352335,8.000254811020568,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.3,239.4,49.8,0.735,116894.474,0.0,51.6,124.8,
9,2026-06-01T14:08:13.352384+00:00,1780322893.352384,9.000306983944029,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.7,239.3,49.9,0.73,116894.474,0.0,51.6,124.8,
10,2026-06-01T14:08:14.352262+00:00,1780322894.352262,10.000177613925189,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.3,239.3,49.9,0.715,116894.69,0.0,51.6,124.9,
11,2026-06-01T14:08:15.352667+00:00,1780322895.352667,11.000594428973272,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,239.4,49.8,0.715,116894.69,0.0,51.6,124.9,
12,2026-06-01T14:08:16.352728+00:00,1780322896.352728,12.0006519688759,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,239.3,49.8,0.725,116894.69,0.0,51.6,124.9,
13,2026-06-01T14:08:17.352607+00:00,1780322897.352607,13.000531273894012,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.6,239.2,49.9,0.737,116894.69,0.0,51.6,124.8,
14,2026-06-01T14:08:18.352595+00:00,1780322898.352595,14.000520254019648,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,239.2,49.9,0.719,116894.69,0.0,51.6,124.9,
15,2026-06-01T14:08:19.352645+00:00,1780322899.352645,15.000569085823372,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.3,239.2,49.8,0.711,116894.906,0.0,51.6,124.8,
16,2026-06-01T14:08:20.352587+00:00,1780322900.352587,16.00051003997214,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,239.3,49.8,0.723,116894.906,0.0,51.6,124.8,
17,2026-06-01T14:08:21.352688+00:00,1780322901.352688,17.000613813987002,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,239.2,49.8,0.722,116894.906,0.0,51.3,124.4,
18,2026-06-01T14:08:22.352601+00:00,1780322902.352601,18.000524404924363,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,239.3,49.8,0.722,116894.906,0.0,51.6,124.9,
19,2026-06-01T14:08:23.352581+00:00,1780322903.352581,19.000504469964653,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,239.3,49.8,0.727,116895.122,0.0,51.6,124.9,
20,2026-06-01T14:08:24.353151+00:00,1780322904.353151,20.001072473824024,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.4,49.8,0.713,116895.122,0.0,51.6,124.8,
21,2026-06-01T14:08:25.353083+00:00,1780322905.353083,21.001003433950245,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.4,49.8,0.713,116895.122,0.0,51.6,124.8,
22,2026-06-01T14:08:26.352544+00:00,1780322906.352544,22.00046130386181,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.8,239.4,49.8,0.733,116895.122,0.0,51.6,124.9,
23,2026-06-01T14:08:27.352327+00:00,1780322907.352327,23.00023769494146,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.1,239.4,49.8,0.71,116895.122,0.0,51.6,124.8,
24,2026-06-01T14:08:28.353060+00:00,1780322908.35306,24.00098394183442,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.1,239.5,49.9,0.73,116895.122,0.0,51.6,124.8,
25,2026-06-01T14:08:29.353458+00:00,1780322909.353458,25.00137768802233,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.4,239.6,49.9,0.711,116895.339,0.0,51.6,124.8,
26,2026-06-01T14:08:30.352577+00:00,1780322910.352577,26.000501381931826,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.5,239.7,49.9,0.725,116895.339,0.0,51.6,124.8,
27,2026-06-01T14:08:31.352755+00:00,1780322911.352755,27.00067496788688,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,239.8,49.9,0.719,116895.339,0.0,51.6,124.8,
28,2026-06-01T14:08:32.352713+00:00,1780322912.352713,28.00063885585405,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.1,239.7,49.9,0.734,116895.339,0.0,51.6,124.8,
29,2026-06-01T14:08:33.352244+00:00,1780322913.352244,29.000155160902068,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,239.7,49.9,0.719,116895.339,0.0,51.6,124.8,
30,2026-06-01T14:08:34.353125+00:00,1780322914.353125,30.001049669925123,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,239.7,49.9,0.721,116895.555,0.0,51.6,124.8,
31,2026-06-01T14:08:35.352632+00:00,1780322915.352632,31.000556722981855,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,155.8,239.8,49.9,0.704,116895.555,0.0,51.6,124.8,
32,2026-06-01T14:08:36.352456+00:00,1780322916.352456,32.00037834397517,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,239.6,49.9,0.725,116895.555,0.0,51.6,124.8,
33,2026-06-01T14:08:37.352693+00:00,1780322917.352693,33.00061546289362,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,239.6,49.9,0.715,116895.555,0.0,51.6,124.9,
34,2026-06-01T14:08:38.352908+00:00,1780322918.352908,34.00083063589409,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.3,239.5,49.9,0.711,116895.555,0.0,51.6,124.9,
35,2026-06-01T14:08:39.352604+00:00,1780322919.352604,35.000526858028024,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.2,239.5,49.9,0.706,116895.771,0.0,51.6,124.8,
36,2026-06-01T14:08:40.352487+00:00,1780322920.352487,36.000413451809436,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,239.5,49.9,0.725,116895.771,0.0,51.6,124.8,
37,2026-06-01T14:08:41.352986+00:00,1780322921.352986,37.000907897017896,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.7,239.5,49.9,0.708,116895.771,0.0,51.5,124.7,
38,2026-06-01T14:08:42.352507+00:00,1780322922.352507,38.00042587099597,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,239.4,49.9,0.716,116895.771,0.0,51.6,124.8,
39,2026-06-01T14:08:43.352748+00:00,1780322923.352748,39.000672712922096,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.7,239.3,49.9,0.709,116895.988,0.0,51.6,124.8,
40,2026-06-01T14:08:44.352565+00:00,1780322924.352565,40.00049041886814,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,239.3,49.9,0.723,116895.988,0.0,51.6,124.8,
41,2026-06-01T14:08:45.352616+00:00,1780322925.352616,41.00053950003348,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,172.8,239.1,49.9,0.773,116895.988,0.0,51.6,124.9,
42,2026-06-01T14:08:46.352511+00:00,1780322926.352511,42.00043207593262,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.3,239.2,49.9,0.734,116895.988,0.0,51.3,124.3,
43,2026-06-01T14:08:47.352914+00:00,1780322927.352914,43.00083648599684,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,239.2,49.9,0.725,116895.988,0.0,51.6,124.8,
44,2026-06-01T14:08:48.352352+00:00,1780322928.352352,44.00027423701249,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.5,239.3,49.9,0.732,116896.204,0.0,51.6,124.8,
45,2026-06-01T14:08:49.352961+00:00,1780322929.352961,45.00087585300207,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,239.3,49.9,0.717,116896.204,0.0,51.6,124.8,
46,2026-06-01T14:08:50.352644+00:00,1780322930.352644,46.00055806688033,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,239.3,49.9,0.719,116896.204,0.0,51.6,124.8,
47,2026-06-01T14:08:51.352738+00:00,1780322931.352738,47.000653160968795,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.8,239.4,49.9,0.709,116896.204,0.0,51.6,124.8,
48,2026-06-01T14:08:52.352417+00:00,1780322932.352417,48.00033188983798,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,239.4,49.9,0.726,116896.204,0.0,51.3,124.3,
