model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,accounting,primary_application,1,1,2.539108538498888,2.539108538498888,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0007452622654825031,0.0007452622654825031,0.010886526138888181
M1,ad,primary_application,1,1,0.48466533235666354,0.48466533235666354,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.00014225574768320033,0.00014225574768320033,0.0020780213721911583
M1,cart,primary_application,1,1,2.4329824428601303,2.4329824428601303,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0007141128391136279,0.0007141128391136279,0.010431506396064381
M1,checkout,primary_application,1,1,2.2767693990128315,2.2767693990128315,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0006682622245414827,0.0006682622245414827,0.009761736924104626
M1,currency,primary_application,1,1,0.1194715700136791,0.1194715700136791,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,3.50665013248251e-05,3.50665013248251e-05,0.0005122389807632466
M1,email,primary_application,1,1,0.19611552105158547,0.19611552105158547,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,5.7562524523506154e-05,5.7562524523506154e-05,0.0008408528874594605
M1,flagd,primary_application,1,1,0.13214321382386274,0.13214321382386274,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,3.878579801111322e-05,3.878579801111322e-05,0.0005665691440747372
M1,fraud-detection,primary_application,1,1,2.992764066338701,2.992764066338701,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0008784162214084828,0.0008784162214084828,0.012831591773931495
M1,frontend,primary_application,1,1,28.884901884685497,28.884901884685497,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.008478104456907982,0.008478104456907982,0.12384513486483512
M1,frontend-proxy,primary_application,1,1,5.532928408648449,5.532928408648449,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.001623988379409583,0.001623988379409583,0.02372264471252524
M1,image-provider,primary_application,1,1,0.11002703957181598,0.11002703957181598,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,3.229440550977868e-05,3.229440550977868e-05,0.00047174519092878215
M1,kafka,primary_application,1,1,4.708498770194468,4.708498770194468,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0013820072703828788,0.0013820072703828788,0.02018787072684541
M1,llm,primary_application,1,1,2.2959380568382666,2.2959380568382666,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0006738884816079444,0.0006738884816079444,0.009843923286483357
M1,load-generator,primary_application,1,1,67.51935734557004,67.51935734557004,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.019817833092330508,0.019817833092330508,0.28949185805898625
M1,payment,primary_application,1,1,0.5820134762255118,0.5820134762255118,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.00017082872797931077,0.00017082872797931077,0.0024954053070374424
M1,postgresql,primary_application,1,1,0.5596819530889474,0.5596819530889474,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.00016427412770441663,0.00016427412770441663,0.0023996580372137107
M1,product-catalog,primary_application,1,1,21.8104043511465,21.8104043511465,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.006401644951906809,0.006401644951906809,0.09351295286055408
M1,product-reviews,primary_application,1,1,2.3047671226882636,2.3047671226882636,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0006764799303458361,0.0006764799303458361,0.009881778248057698
M1,quote,primary_application,1,1,0.06546101245113027,0.06546101245113027,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,1.9213681376909384e-05,1.9213681376909384e-05,0.00028066662465269263
M1,recommendation,primary_application,1,1,1.581673150388324,1.581673150388324,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.000464242192658739,0.000464242192658739,0.006781484853365061
M1,shipping,primary_application,1,1,0.642975443862373,0.642975443862373,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.00018872187961912915,0.00018872187961912915,0.0027567821029065554
M1,valkey-cart,primary_application,1,1,0.25802475564656807,0.25802475564656807,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,7.573371166614854e-05,7.573371166614854e-05,0.001106291127076933
M2,accounting,primary_application,2,2,0.0,3.8060881740099313,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.001117137708837667,0.001117137708837667,0.01631875036652375
M2,ad,primary_application,2,2,0.0,0.49290879018408285,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0001446753126457537,0.0001446753126457537,0.002113365516701845
M2,cart,primary_application,2,2,0.0,2.6565524183872586,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0007797336126760372,0.0007797336126760372,0.011390071319754325
M2,checkout,primary_application,2,2,0.0,2.481607942480968,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0007283850726389692,0.0007283850726389692,0.010639990107812955
M2,currency,primary_application,2,2,0.0,0.13172778156192902,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,3.8663863094196955e-05,3.8663863094196955e-05,0.0005647879621717561
M2,email,primary_application,2,2,0.0,0.28541152185498303,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,8.377209329468243e-05,8.377209329468243e-05,0.0012237129472421288
M2,flagd,primary_application,3,3,0.0,1.6893646228522425,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0004958510780311836,0.0004958510780311836,0.0072432162099170415
M2,fraud-detection,primary_application,2,2,0.0,4.299932017944265,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.001262087472246629,0.001262087472246629,0.018436124962372475
M2,frontend,primary_application,2,2,0.0,29.263894477456457,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.008589343844278384,0.008589343844278384,0.1254700802758278
M2,frontend-proxy,primary_application,2,2,0.0,5.566505844257299,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.001633843805182653,0.001633843805182653,0.023866609267364114
M2,image-provider,primary_application,2,2,0.0,0.12024078173912305,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,3.529227523895599e-05,3.529227523895599e-05,0.0005155370058096022
M2,kafka,primary_application,6,6,0.0,37.61721994998796,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.011041156427938938,0.011041156427938938,0.16128528656752783
M2,llm,primary_application,2,2,0.0,2.3296982635556054,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0006837975531422382,0.0006837975531422382,0.009988671479524314
M2,load-generator,primary_application,2,2,0.0,113.54722019604354,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.033327625534500596,0.033327625534500596,0.4868381016091256
M2,payment,primary_application,2,2,0.0,0.6218698677866507,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0001825271111789406,0.0001825271111789406,0.002666291128558337
M2,postgresql,primary_application,2,2,0.0,0.9766786483128616,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.000286668226684139,0.000286668226684139,0.004187547508480249
M2,product-catalog,primary_application,2,2,0.0,22.178874951217836,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.006509795993900157,0.006509795993900157,0.09509278482057731
M2,product-reviews,primary_application,2,2,0.0,2.441405486055236,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0007165851147799343,0.0007165851147799343,0.010467620519790149
M2,quote,primary_application,2,2,0.0,0.09839834812996329,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,2.8881229272076103e-05,2.8881229272076103e-05,0.0004218867262655749
M2,recommendation,primary_application,2,2,0.0,1.680109784371401,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.0004931346593400062,0.0004931346593400062,0.007203535731707774
M2,shipping,primary_application,2,2,0.0,0.6861921501473232,True,low,low,60,121.12237000465393,3407.0,3407.0,28.541471596324907,0.0,31.0,0.00020140656006672239,0.00020140656006672239,0.002942075403871905
