sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-01T13:46:32.108077+00:00,1780321592.108077,0.00018421211279928684,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.4,239.8,49.9,0.74,116837.592,0.0,51.6,124.8,
1,2026-06-01T13:46:33.108127+00:00,1780321593.108127,1.000248075230047,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.5,239.9,49.9,0.723,116837.592,0.0,51.6,124.9,
2,2026-06-01T13:46:34.108105+00:00,1780321594.108105,2.000229623168707,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,167.0,239.9,49.9,0.747,116837.592,0.0,51.6,124.8,
3,2026-06-01T13:46:35.108206+00:00,1780321595.108206,3.0003288520965725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.8,239.8,49.9,0.742,116837.592,0.0,51.6,124.9,
4,2026-06-01T13:46:36.108315+00:00,1780321596.108315,4.0004362121690065,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.7,239.8,49.9,0.731,116837.592,0.0,51.6,124.8,
5,2026-06-01T13:46:37.108062+00:00,1780321597.108062,5.0001801361795515,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,169.1,239.7,49.9,0.756,116837.808,0.0,51.6,124.9,
6,2026-06-01T13:46:38.108463+00:00,1780321598.108463,6.000596130033955,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.8,239.6,49.9,0.732,116837.808,0.0,51.6,124.8,
7,2026-06-01T13:46:39.108939+00:00,1780321599.108939,7.001072163227946,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.1,239.6,49.9,0.742,116837.808,0.0,51.3,124.3,
8,2026-06-01T13:46:40.108295+00:00,1780321600.108295,8.000429233070463,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.6,49.9,0.712,116837.808,0.0,51.6,124.9,
9,2026-06-01T13:46:41.108513+00:00,1780321601.108513,9.000644610030577,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,239.6,49.9,0.717,116838.024,0.0,51.6,124.9,
10,2026-06-01T13:46:42.108444+00:00,1780321602.108444,10.000571678159758,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,239.7,49.9,0.722,116838.024,0.0,51.4,124.4,
11,2026-06-01T13:46:43.108429+00:00,1780321603.108429,11.000560470158234,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.4,239.7,49.9,0.735,116838.024,0.0,51.3,124.4,
12,2026-06-01T13:46:44.108303+00:00,1780321604.108303,12.000437069218606,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,239.7,49.9,0.724,116838.024,0.0,51.6,124.8,
13,2026-06-01T13:46:45.108412+00:00,1780321605.108412,13.000542542198673,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,239.7,49.9,0.723,116838.024,0.0,51.6,124.8,
14,2026-06-01T13:46:46.108327+00:00,1780321606.108327,14.00045398902148,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,239.9,49.9,0.712,116838.241,0.0,51.6,124.8,
15,2026-06-01T13:46:47.108409+00:00,1780321607.108409,15.00054023321718,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.2,239.9,49.9,0.738,116838.241,0.0,51.6,124.8,
16,2026-06-01T13:46:48.108462+00:00,1780321608.108462,16.000594954006374,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,239.8,49.9,0.72,116838.241,0.0,51.3,124.3,
17,2026-06-01T13:46:49.108394+00:00,1780321609.108394,17.00052533717826,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,239.7,49.9,0.719,116838.241,0.0,51.5,124.7,
18,2026-06-01T13:46:50.108501+00:00,1780321610.108501,18.00063444999978,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,239.7,49.9,0.719,116838.241,0.0,51.6,124.9,
19,2026-06-01T13:46:51.108416+00:00,1780321611.108416,19.000548016047105,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.9,239.9,49.9,0.708,116838.241,0.0,51.5,124.7,
20,2026-06-01T13:46:52.108464+00:00,1780321612.108464,20.000596167054027,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,239.9,49.9,0.722,116838.457,0.0,51.5,124.7,
21,2026-06-01T13:46:53.108382+00:00,1780321613.108382,21.000514566199854,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,240.0,49.9,0.72,116838.457,0.0,51.6,124.8,
22,2026-06-01T13:46:54.108245+00:00,1780321614.108245,22.000371191184968,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.0,240.0,49.9,0.717,116838.457,0.0,51.6,124.9,
23,2026-06-01T13:46:55.108972+00:00,1780321615.108972,23.00110153714195,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,240.0,49.9,0.711,116838.457,0.0,51.6,124.8,
24,2026-06-01T13:46:56.108416+00:00,1780321616.108416,24.00054732314311,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.3,240.1,49.9,0.734,116838.457,0.0,51.6,124.8,
25,2026-06-01T13:46:57.108426+00:00,1780321617.108426,25.00055996607989,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.2,240.1,49.9,0.709,116838.673,0.0,51.6,124.9,
26,2026-06-01T13:46:58.108394+00:00,1780321618.108394,26.000527708092704,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,240.1,49.9,0.719,116838.673,0.0,51.6,124.9,
27,2026-06-01T13:46:59.108374+00:00,1780321619.108374,27.00050586508587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,240.0,49.9,0.716,116838.673,0.0,51.6,124.8,
28,2026-06-01T13:47:00.108245+00:00,1780321620.108245,28.00036476412788,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,240.1,49.9,0.72,116838.673,0.0,51.6,124.8,
29,2026-06-01T13:47:01.108659+00:00,1780321621.108659,29.000790703110397,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,240.1,49.9,0.717,116838.889,0.0,51.6,124.8,
30,2026-06-01T13:47:02.108589+00:00,1780321622.108589,30.00071167317219,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,240.0,49.9,0.719,116838.889,0.0,51.3,124.3,
31,2026-06-01T13:47:03.108672+00:00,1780321623.108672,31.000802523223683,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,240.2,49.9,0.715,116838.889,0.0,51.6,124.9,
32,2026-06-01T13:47:04.108620+00:00,1780321624.10862,32.00074266921729,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,240.1,49.9,0.72,116838.889,0.0,51.6,124.8,
33,2026-06-01T13:47:05.108483+00:00,1780321625.108483,33.00060620903969,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.4,240.2,49.9,0.718,116838.889,0.0,51.6,124.8,
34,2026-06-01T13:47:06.108562+00:00,1780321626.108562,34.000685633160174,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,240.2,49.9,0.714,116839.106,0.0,51.3,124.4,
35,2026-06-01T13:47:07.108444+00:00,1780321627.108444,35.00056546903215,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.8,240.1,49.9,0.715,116839.106,0.0,51.6,124.8,
36,2026-06-01T13:47:08.108517+00:00,1780321628.108517,36.00064179813489,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,240.1,49.9,0.714,116839.106,0.0,51.6,124.9,
37,2026-06-01T13:47:09.108338+00:00,1780321629.108338,37.00045838113874,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.2,240.1,49.9,0.714,116839.106,0.0,51.6,124.8,
38,2026-06-01T13:47:10.108199+00:00,1780321630.108199,38.00032464810647,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,240.1,49.9,0.723,116839.106,0.0,51.6,124.8,
39,2026-06-01T13:47:11.108448+00:00,1780321631.108448,39.00056984019466,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.4,240.1,49.9,0.706,116839.322,0.0,51.3,124.4,
40,2026-06-01T13:47:12.108187+00:00,1780321632.108187,40.00031173718162,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,240.0,49.9,0.724,116839.322,0.0,51.6,124.8,
41,2026-06-01T13:47:13.108269+00:00,1780321633.108269,41.00039204210043,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.8,240.0,49.9,0.717,116839.322,0.0,51.6,124.9,
