model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,accounting,primary_application,1,1,728.2272727272727,728.2272727272727,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.05393876547865142,0.05393876547865142,0.003012606025486629
M1,ad,primary_application,1,1,363.04545454545456,363.04545454545456,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.026890264020846943,0.026890264020846943,0.0015018840475352166
M1,cart,primary_application,1,1,1172.181818181818,1172.181818181818,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.08682185158001762,0.08682185158001762,0.004849203182401171
M1,checkout,primary_application,1,1,153.31818181818184,153.31818181818184,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.01135606116718627,0.01135606116718627,0.0006342625381665564
M1,currency,primary_application,1,1,135.9090909090909,135.9090909090909,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.010066594393681277,0.010066594393681277,0.0005622428073281955
M1,email,primary_application,1,1,161.68181818181816,161.68181818181816,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.011975543899105115,0.011975543899105115,0.000668862095540599
M1,flagd,primary_application,1,1,68.31818181818181,68.31818181818181,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.005060231228663196,0.005060231228663196,0.00028262573224557786
M1,fraud-detection,primary_application,1,1,1387.0454545454543,1387.0454545454543,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.10273649763317193,0.10273649763317193,0.005738073332983238
M1,frontend,primary_application,1,1,42331.36363636364,42331.36363636364,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,3.135424312003825,3.135424312003825,0.17512077058082784
M1,frontend-proxy,primary_application,1,1,9156.954545454544,9156.954545454544,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.6782426890937371,0.6782426890937371,0.03788143821561436
M1,image-provider,primary_application,1,1,63.90909090909091,63.90909090909091,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.004733656092814674,0.004733656092814674,0.0002643857481951314
M1,kafka,primary_application,1,1,2811.7727272727275,2811.7727272727275,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.20826403431395657,0.20826403431395657,0.011632032715222358
M1,llm,primary_application,1,1,1650.318181818182,1650.318181818182,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,0.12223673667270439,0.12223673667270439,0.006827207225974848
M1,load-generator,primary_application,1,1,60086.68181818181,60086.68181818181,True,high,high,300,120.38893699645996,13501.0,13501.0,113.02164114817431,0.0,37.0,4.45053565055787,4.45053565055787,0.24857281026983036
