sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T14:31:15.598191+00:00,1779978675.598191,0.0001605249708518386,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,235.0,50.0,0.732,102778.458,0.0,50.7,123.3,
1,2026-05-28T14:31:16.598343+00:00,1779978676.598343,1.0003305409336463,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,235.0,49.9,0.735,102778.458,0.0,50.7,123.3,
2,2026-05-28T14:31:17.598980+00:00,1779978677.59898,2.0009743409464136,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,235.1,49.9,0.729,102778.458,0.0,50.8,123.4,
3,2026-05-28T14:31:18.598541+00:00,1779978678.598541,3.000535027938895,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,235.1,49.9,0.729,102778.458,0.0,50.8,123.4,
4,2026-05-28T14:31:19.598712+00:00,1779978679.598712,4.000707243918441,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,235.1,49.9,0.735,102778.458,0.0,51.1,123.9,
5,2026-05-28T14:31:20.598552+00:00,1779978680.598552,5.00054794899188,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,234.9,49.9,0.735,102778.674,0.0,50.8,123.4,
6,2026-05-28T14:31:21.598589+00:00,1779978681.598589,6.000581873930059,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,235.0,49.9,0.734,102778.674,0.0,50.8,123.4,
7,2026-05-28T14:31:22.599028+00:00,1779978682.599028,7.001021999982186,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.3,235.0,49.9,0.716,102778.674,0.0,50.7,123.3,
8,2026-05-28T14:31:23.598502+00:00,1779978683.598502,8.0004949279828,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.7,235.0,49.9,0.743,102778.674,0.0,50.8,123.4,
9,2026-05-28T14:31:24.598755+00:00,1779978684.598755,9.000749431899749,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.8,235.2,49.9,0.721,102778.89,0.0,50.8,123.4,
10,2026-05-28T14:31:25.598659+00:00,1779978685.598659,10.000653755967505,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,235.1,49.9,0.728,102778.89,0.0,50.8,123.4,
11,2026-05-28T14:31:26.598760+00:00,1779978686.59876,11.00075060990639,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.1,235.1,49.9,0.719,102778.89,0.0,50.7,123.3,
12,2026-05-28T14:31:27.598559+00:00,1779978687.598559,12.000554012949578,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,235.3,49.9,0.734,102778.89,0.0,50.7,123.3,
13,2026-05-28T14:31:28.598238+00:00,1779978688.598238,13.000228415010497,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,170.5,235.3,49.9,0.771,102778.89,0.0,50.7,123.3,
14,2026-05-28T14:31:29.598660+00:00,1779978689.59866,14.000654298928566,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,235.1,49.9,0.734,102779.107,0.0,50.8,123.4,
15,2026-05-28T14:31:30.598412+00:00,1779978690.598412,15.000406724982895,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.6,235.1,49.9,0.724,102779.107,0.0,50.7,123.3,
16,2026-05-28T14:31:31.598541+00:00,1779978691.598541,16.000537003972568,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,235.0,49.9,0.732,102779.107,0.0,50.8,123.4,
17,2026-05-28T14:31:32.598410+00:00,1779978692.59841,17.000403884914704,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,235.1,49.9,0.735,102779.107,0.0,50.8,123.4,
18,2026-05-28T14:31:33.598555+00:00,1779978693.598555,18.000550306984223,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.2,235.1,49.9,0.723,102779.107,0.0,51.1,123.9,
19,2026-05-28T14:31:34.598993+00:00,1779978694.598993,19.000987342908047,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.2,235.0,49.9,0.719,102779.323,0.0,50.8,123.4,
20,2026-05-28T14:31:35.599061+00:00,1779978695.599061,20.001053482992575,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.9,234.9,49.9,0.744,102779.323,0.0,50.8,123.4,
21,2026-05-28T14:31:36.598567+00:00,1779978696.598567,21.000561393913813,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.5,234.9,49.9,0.733,102779.323,0.0,50.8,123.4,
22,2026-05-28T14:31:37.598546+00:00,1779978697.598546,22.00054005999118,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.5,234.8,49.9,0.746,102779.323,0.0,50.8,123.4,
23,2026-05-28T14:31:38.598872+00:00,1779978698.598872,23.000860421918333,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,234.7,49.9,0.725,102779.539,0.0,50.6,123.2,
24,2026-05-28T14:31:39.598707+00:00,1779978699.598707,24.00070049893111,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.5,235.0,49.9,0.741,102779.539,0.0,50.8,123.4,
25,2026-05-28T14:31:40.599065+00:00,1779978700.599065,25.001058886991814,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,235.0,49.9,0.73,102779.539,0.0,50.8,123.4,
26,2026-05-28T14:31:41.598948+00:00,1779978701.598948,26.000938756973483,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,235.1,49.9,0.725,102779.539,0.0,51.1,123.9,
27,2026-05-28T14:31:42.598573+00:00,1779978702.598573,27.00056831992697,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.6,235.1,49.9,0.717,102779.539,0.0,50.8,123.4,
28,2026-05-28T14:31:43.598486+00:00,1779978703.598486,28.000474878004752,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,234.9,49.9,0.721,102779.756,0.0,51.1,123.9,
29,2026-05-28T14:31:44.598480+00:00,1779978704.59848,29.00047694297973,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,234.7,49.9,0.735,102779.756,0.0,50.9,123.5,
30,2026-05-28T14:31:45.598443+00:00,1779978705.598443,30.000427949940786,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,234.7,49.9,0.729,102779.756,0.0,50.8,123.4,
31,2026-05-28T14:31:46.598553+00:00,1779978706.598553,31.00054758496117,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.3,234.7,49.9,0.738,102779.756,0.0,51.1,123.9,
32,2026-05-28T14:31:47.598195+00:00,1779978707.598195,32.00018085294869,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,234.7,49.9,0.722,102779.756,0.0,50.8,123.4,
33,2026-05-28T14:31:48.598688+00:00,1779978708.598688,33.000681413919665,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.1,234.8,49.9,0.724,102779.972,0.0,50.8,123.4,
34,2026-05-28T14:31:49.598651+00:00,1779978709.598651,34.00064502796158,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,235.0,49.9,0.732,102779.972,0.0,50.7,123.3,
35,2026-05-28T14:31:50.598557+00:00,1779978710.598557,35.00055123399943,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.9,235.5,49.9,0.731,102779.972,0.0,51.1,124.0,
36,2026-05-28T14:31:51.598539+00:00,1779978711.598539,36.00053251697682,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.2,235.6,49.9,0.718,102779.972,0.0,50.8,123.4,
