model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,2.3883239672269756,2.3883239672269756,0.0,2.3883239672269756,0.019865407652153017,0.022749854556084782,0.0171293431028902,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.4621018121747917,1.4621018121747917,0.0,1.4621018121747917,0.012210163050171353,0.01353682526406964,0.0115523392184662,25.0,False,False
M1,accounting,accounting,,,,,accounting,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.3282702089591227,1.3282702089591227,1.3282702089591227,1.3282702089591227,0.011044442692057312,0.013383809731616835,0.005138436363636368,25.0,False,False
M1,ad,ad,,,,,ad,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.40364950244719955,0.40364950244719955,0.40364950244719955,0.40364950244719955,0.003426564356428852,0.006382897870870365,0.0015118731590239576,25.0,False,False
M1,cart,cart,,,,,cart,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.7889505257370484,2.7889505257370484,2.7889505257370484,2.7889505257370484,0.023008786601799856,0.041834193876808944,0.010446769823808565,25.0,False,False
M1,checkout,checkout,,,,,checkout,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.3001449055154235,3.3001449055154235,3.3001449055154235,3.3001449055154235,0.027601040473724837,0.033173372361507567,0.01951196363636364,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.9777686540717125,2.9777686540717125,0.0,2.9777686540717125,0.024859934640401104,0.027004436121655557,0.023402672727260408,25.0,False,False
M1,currency,currency,,,,,currency,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.15750939333221692,0.15750939333221692,0.15750939333221692,0.15750939333221692,0.0013151397137396578,0.0017612857480501065,0.0008584830194167698,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,22.125824113668717,22.125824113668717,0.0,22.125824113668717,0.18482844103407906,0.2009373488719804,0.17257735876486152,25.0,False,False
M1,email,email,,,,,email,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.19703545574348197,0.19703545574348197,0.19703545574348197,0.19703545574348197,0.0016491039131177967,0.0021644393534427904,0.000885836363636364,25.0,False,False
