sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T13:33:07.904431+00:00,1779975187.904431,0.0002388330176472664,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,236.9,49.9,0.724,102625.547,0.0,50.9,123.5,
1,2026-05-28T13:33:08.904635+00:00,1779975188.904635,1.0004711409565061,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.7,236.8,50.0,0.713,102625.547,0.0,50.8,123.4,
2,2026-05-28T13:33:09.904352+00:00,1779975189.904352,2.0001760340528563,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.0,236.7,49.9,0.738,102625.547,0.0,50.8,123.4,
3,2026-05-28T13:33:10.904742+00:00,1779975190.904742,3.0005710689583793,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,174.1,236.7,50.0,0.782,102625.547,0.0,50.9,123.5,
4,2026-05-28T13:33:11.904392+00:00,1779975191.904392,4.000220963032916,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.4,236.7,50.0,0.736,102625.547,0.0,50.8,123.4,
5,2026-05-28T13:33:12.904432+00:00,1779975192.904432,5.000255075050518,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.0,236.8,50.0,0.738,102625.763,0.0,50.8,123.4,
6,2026-05-28T13:33:13.904430+00:00,1779975193.90443,6.000255736988038,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.7,236.8,49.9,0.734,102625.763,0.0,50.8,123.4,
7,2026-05-28T13:33:14.905193+00:00,1779975194.905193,7.001024762052111,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.0,236.8,50.0,0.738,102625.763,0.0,51.1,123.9,
8,2026-05-28T13:33:15.904608+00:00,1779975195.904608,8.000437682960182,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,236.8,50.0,0.727,102625.763,0.0,50.8,123.4,
9,2026-05-28T13:33:16.904675+00:00,1779975196.904675,9.000506923999637,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.4,236.8,50.0,0.724,102625.763,0.0,50.8,123.4,
10,2026-05-28T13:33:17.905008+00:00,1779975197.905008,10.000842106062919,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.6,236.9,50.0,0.721,102625.98,0.0,50.8,123.4,
11,2026-05-28T13:33:18.904680+00:00,1779975198.90468,11.000513836974278,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,236.9,50.0,0.72,102625.98,0.0,51.1,124.0,
12,2026-05-28T13:33:19.904829+00:00,1779975199.904829,12.00066237396095,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,236.8,50.0,0.73,102625.98,0.0,50.8,123.4,
13,2026-05-28T13:33:20.904498+00:00,1779975200.904498,13.000327154062688,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,236.7,50.0,0.717,102625.98,0.0,50.7,123.3,
14,2026-05-28T13:33:21.904713+00:00,1779975201.904713,14.000544756068848,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,237.0,49.9,0.724,102626.196,0.0,50.8,123.4,
15,2026-05-28T13:33:22.904905+00:00,1779975202.904905,15.000739153008908,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,237.0,49.9,0.724,102626.196,0.0,51.1,123.9,
16,2026-05-28T13:33:23.904883+00:00,1779975203.904883,16.000721266958863,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,236.8,50.0,0.73,102626.196,0.0,50.8,123.4,
17,2026-05-28T13:33:24.904824+00:00,1779975204.904824,17.00065903295763,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.0,236.1,50.0,0.724,102626.196,0.0,51.1,123.9,
18,2026-05-28T13:33:25.905033+00:00,1779975205.905033,18.00086814898532,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.3,236.5,50.0,0.736,102626.196,0.0,50.8,123.4,
19,2026-05-28T13:33:26.904811+00:00,1779975206.904811,19.000645212014206,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,236.5,50.0,0.725,102626.196,0.0,51.1,124.0,
20,2026-05-28T13:33:27.904799+00:00,1779975207.904799,20.000632398063317,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.3,236.5,49.9,0.728,102626.412,0.0,50.8,123.4,
21,2026-05-28T13:33:28.904800+00:00,1779975208.9048,21.000631819013506,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.1,236.5,49.9,0.731,102626.412,0.0,50.8,123.4,
22,2026-05-28T13:33:29.904848+00:00,1779975209.904848,22.000684780068696,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.9,236.5,49.9,0.735,102626.412,0.0,50.8,123.4,
23,2026-05-28T13:33:30.905551+00:00,1779975210.905551,23.00138113705907,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,236.6,49.9,0.724,102626.412,0.0,50.8,123.4,
