model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,2.3409744415844735,2.3409744415844735,0.0,2.3409744415844735,0.019482875456221127,0.023085259195923646,0.01669401668999697,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.466132290947812,1.466132290947812,0.0,1.466132290947812,0.012241938736854408,0.013347091659541382,0.011214072727332014,25.0,False,False
M1,accounting,accounting,,,,,accounting,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.2029575574376492,1.2029575574376492,1.2029575574376492,1.2029575574376492,0.010061795716475187,0.017136558670593792,0.004770204178105849,25.0,False,False
M1,ad,ad,,,,,ad,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.6426703435838362,0.6426703435838362,0.6426703435838362,0.6426703435838362,0.005368754440041316,0.007382381818181811,0.003410771104929175,25.0,False,False
M1,cart,cart,,,,,cart,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.545479027455099,2.545479027455099,2.545479027455099,2.545479027455099,0.021314463651102785,0.039230176191428594,0.009499663642479225,25.0,False,False
M1,checkout,checkout,,,,,checkout,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.0591326195168875,3.0591326195168875,3.0591326195168875,3.0591326195168875,0.02558296168902081,0.03164625343200539,0.022000818211571335,25.0,False,False
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.0149150447418296,3.0149150447418296,0.0,3.0149150447418296,0.025181380745554365,0.02683102432636813,0.02356632727273377,25.0,False,False
M1,currency,currency,,,,,currency,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.16077875738185865,0.16077875738185865,0.16077875738185865,0.16077875738185865,0.0013455800073655564,0.0016746481946111047,0.000883854545454546,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,22.223617799315488,22.223617799315488,0.0,22.223617799315488,0.1856086553873385,0.20177607869498881,0.17274894545460648,25.0,False,False
M1,email,email,,,,,email,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.19730000893178146,0.19730000893178146,0.19730000893178146,0.19730000893178146,0.0016597965078394433,0.0027301189047671,0.0012523362786807757,25.0,False,False
M1,flagd,flagd,,,,,flagd,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.1322970140556215,0.1322970140556215,0.1322970140556215,0.1322970140556215,0.0011001869601562138,0.0018236085604669348,0.0006500181818181813,25.0,False,False
M1,flagd-ui,flagd-ui,,,,,flagd-ui,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.4765993779455238,1.4765993779455238,0.0,1.4765993779455238,0.012336359629075914,0.014156612486818675,0.011374254545454533,25.0,False,False
M1,fraud-detection,fraud-detection,,,,,fraud-detection,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,1.858917266726388,1.858917266726388,1.858917266726388,1.858917266726388,0.015569906100471723,0.023213029801625568,0.012233263027746442,25.0,False,False
M1,frontend,frontend,,,,,frontend,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,53.989154862641804,53.989154862641804,53.989154862641804,53.989154862641804,0.4450692455495083,0.6675651272727272,0.015916639394931098,25.0,False,False
M1,frontend-proxy,frontend-proxy,,,,,frontend-proxy,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,8.72058774672148,8.72058774672148,8.72058774672148,8.72058774672148,0.07220726108429801,0.10543504427353226,0.018318097523726415,25.0,False,False
M1,image-provider,image-provider,,,,,image-provider,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.14030219502484106,0.14030219502484106,0.14030219502484106,0.14030219502484106,0.0011714489340847601,0.0016429805262105205,0.0008479818181818183,25.0,False,False
M1,kafka,kafka,,,,,kafka,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,4.412883258589765,4.412883258589765,4.412883258589765,4.412883258589765,0.03676632942082402,0.0456185411439584,0.027544626461337145,25.0,False,False
M1,kepler,kepler,,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,19.642436170850154,19.642436170850154,0.0,19.642436170850154,0.1640251325132621,0.1783625834137848,0.15305974545457998,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,llm,llm,,,,,llm,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,2.29447004476641,2.29447004476641,2.29447004476641,2.29447004476641,0.01915125867220308,0.020055512118842846,0.017782581818181813,25.0,False,False
