sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-28T14:16:29.906783+00:00,1779977789.906783,0.0001629950711503625,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.1,236.4,50.0,0.747,102739.527,0.0,51.1,123.9,
1,2026-05-28T14:16:30.906951+00:00,1779977790.906951,1.0003447320777923,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.1,236.4,50.0,0.723,102739.527,0.0,51.1,123.9,
2,2026-05-28T14:16:31.906786+00:00,1779977791.906786,2.000180621049367,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.8,236.4,50.0,0.734,102739.527,0.0,51.1,123.9,
3,2026-05-28T14:16:32.907143+00:00,1779977792.907143,3.0005389240104705,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,170.5,236.5,50.0,0.768,102739.744,0.0,51.1,123.9,
4,2026-05-28T14:16:33.907293+00:00,1779977793.907293,4.000690230051987,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.4,236.5,50.0,0.741,102739.744,0.0,50.8,123.4,
5,2026-05-28T14:16:34.906868+00:00,1779977794.906868,5.000261684996076,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.2,236.5,50.0,0.736,102739.744,0.0,50.8,123.4,
6,2026-05-28T14:16:35.907170+00:00,1779977795.90717,6.00056813005358,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.3,236.5,50.0,0.736,102739.744,0.0,51.1,124.0,
7,2026-05-28T14:16:36.907144+00:00,1779977796.907144,7.000540731009096,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.9,236.4,50.0,0.726,102739.744,0.0,51.1,124.0,
8,2026-05-28T14:16:37.907276+00:00,1779977797.907276,8.000671336078085,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.9,236.3,50.0,0.738,102739.96,0.0,50.8,123.4,
9,2026-05-28T14:16:38.906886+00:00,1779977798.906886,9.00028167606797,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.0,236.4,50.0,0.724,102739.96,0.0,50.8,123.4,
10,2026-05-28T14:16:39.906862+00:00,1779977799.906862,10.000257673091255,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.6,236.2,50.0,0.734,102739.96,0.0,50.7,123.3,
11,2026-05-28T14:16:40.907352+00:00,1779977800.907352,11.000749177997932,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,156.8,236.1,50.0,0.715,102739.96,0.0,50.7,123.3,
12,2026-05-28T14:16:41.907385+00:00,1779977801.907385,12.000791794038378,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,236.2,50.0,0.727,102740.176,0.0,50.8,123.4,
13,2026-05-28T14:16:42.907051+00:00,1779977802.907051,13.00045252207201,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,236.3,50.0,0.73,102740.176,0.0,50.8,123.4,
14,2026-05-28T14:16:43.907270+00:00,1779977803.90727,14.00067591201514,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,236.2,50.0,0.731,102740.176,0.0,50.8,123.4,
15,2026-05-28T14:16:44.907141+00:00,1779977804.907141,15.00055231503211,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,236.3,50.0,0.732,102740.176,0.0,50.7,123.2,
16,2026-05-28T14:16:45.907121+00:00,1779977805.907121,16.000527808093466,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.9,236.3,50.0,0.735,102740.176,0.0,50.8,123.4,
17,2026-05-28T14:16:46.907210+00:00,1779977806.90721,17.00061077508144,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.1,236.4,50.0,0.731,102740.392,0.0,50.8,123.4,
18,2026-05-28T14:16:47.907240+00:00,1779977807.90724,18.00064679409843,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.3,236.4,50.0,0.736,102740.392,0.0,50.7,123.3,
19,2026-05-28T14:16:48.907022+00:00,1779977808.907022,19.00042245804798,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.6,236.5,50.0,0.717,102740.392,0.0,50.8,123.4,
20,2026-05-28T14:16:49.907367+00:00,1779977809.907367,20.00076748302672,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.6,236.5,50.0,0.717,102740.392,0.0,50.8,123.4,
21,2026-05-28T14:16:50.907416+00:00,1779977810.907416,21.000820262008347,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.2,236.5,50.0,0.743,102740.392,0.0,50.8,123.4,
22,2026-05-28T14:16:51.907139+00:00,1779977811.907139,22.000545043032616,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,236.5,50.0,0.727,102740.392,0.0,50.8,123.4,
23,2026-05-28T14:16:52.906986+00:00,1779977812.906986,23.000384962069802,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.5,236.5,50.0,0.733,102740.609,0.0,50.7,123.3,
24,2026-05-28T14:16:53.907089+00:00,1779977813.907089,24.000495700049214,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,236.4,50.0,0.73,102740.609,0.0,50.8,123.4,
25,2026-05-28T14:16:54.907202+00:00,1779977814.907202,25.000608547008596,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.5,236.1,50.0,0.733,102740.609,0.0,50.9,123.5,
26,2026-05-28T14:16:55.907246+00:00,1779977815.907246,26.000650829053484,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,235.9,50.0,0.73,102740.609,0.0,51.1,123.9,
27,2026-05-28T14:16:56.907204+00:00,1779977816.907204,27.00060874898918,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.5,236.0,50.0,0.746,102740.825,0.0,51.1,123.9,
28,2026-05-28T14:16:57.907087+00:00,1779977817.907087,28.000492410035804,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,236.3,50.0,0.728,102740.825,0.0,51.1,123.9,
29,2026-05-28T14:16:58.907207+00:00,1779977818.907207,29.00061201408971,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,236.3,50.0,0.73,102740.825,0.0,50.8,123.4,
30,2026-05-28T14:16:59.907159+00:00,1779977819.907159,30.000560599029996,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,236.4,50.0,0.727,102740.825,0.0,51.1,123.9,
31,2026-05-28T14:17:00.906835+00:00,1779977820.906835,31.000232138088904,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,236.2,50.0,0.732,102740.825,0.0,51.1,123.9,
32,2026-05-28T14:17:01.906983+00:00,1779977821.906983,32.000376272015274,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.9,236.2,50.0,0.727,102741.041,0.0,50.8,123.4,
33,2026-05-28T14:17:02.907043+00:00,1779977822.907043,33.00043644499965,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,236.3,49.9,0.718,102741.041,0.0,50.8,123.4,
34,2026-05-28T14:17:03.907009+00:00,1779977823.907009,34.00040197302587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,236.3,50.0,0.724,102741.041,0.0,50.8,123.4,
35,2026-05-28T14:17:04.906943+00:00,1779977824.906943,35.00033579708543,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,236.3,50.0,0.732,102741.041,0.0,51.1,124.0,
36,2026-05-28T14:17:05.906967+00:00,1779977825.906967,36.00036158307921,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,236.4,50.0,0.728,102741.041,0.0,50.7,123.2,
37,2026-05-28T14:17:06.907040+00:00,1779977826.90704,37.00043452903628,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.3,236.3,50.0,0.717,102741.258,0.0,50.8,123.4,
38,2026-05-28T14:17:07.907054+00:00,1779977827.907054,38.00044944009278,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.0,236.2,50.0,0.724,102741.258,0.0,50.7,123.3,
39,2026-05-28T14:17:08.906822+00:00,1779977828.906822,39.00021574809216,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.7,236.5,50.0,0.722,102741.258,0.0,51.1,123.9,
40,2026-05-28T14:17:09.906796+00:00,1779977829.906796,40.00019617099315,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,236.4,50.0,0.727,102741.258,0.0,50.7,123.3,
41,2026-05-28T14:17:10.906901+00:00,1779977830.906901,41.00029664405156,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,236.5,50.0,0.723,102741.258,0.0,51.1,124.0,
42,2026-05-28T14:17:11.906957+00:00,1779977831.906957,42.00035361200571,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.5,236.5,50.0,0.721,102741.474,0.0,51.1,123.9,
43,2026-05-28T14:17:12.907093+00:00,1779977832.907093,43.00049447303172,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,236.4,50.0,0.727,102741.474,0.0,51.1,123.9,
44,2026-05-28T14:17:13.907470+00:00,1779977833.90747,44.00087430002168,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,236.5,50.0,0.726,102741.474,0.0,50.8,123.4,
45,2026-05-28T14:17:14.907141+00:00,1779977834.907141,45.00054521905258,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,236.4,50.0,0.731,102741.474,0.0,50.7,123.3,
46,2026-05-28T14:17:15.907115+00:00,1779977835.907115,46.000520430039614,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.7,236.3,50.0,0.738,102741.69,0.0,50.8,123.4,
47,2026-05-28T14:17:16.907130+00:00,1779977836.90713,47.00053451501299,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,236.3,50.0,0.718,102741.69,0.0,50.8,123.4,
48,2026-05-28T14:17:17.907247+00:00,1779977837.907247,48.000652817077935,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,236.2,50.0,0.729,102741.69,0.0,51.1,123.9,
49,2026-05-28T14:17:18.907084+00:00,1779977838.907084,49.00049500307068,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,236.3,50.0,0.728,102741.69,0.0,50.8,123.4,
