model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,accounting,primary_application,1,1,551.8636363636364,551.8636363636364,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.0405931325019225,0.040596118608477005,0.0023568440924741103
M1,ad,primary_application,1,1,333.6363636363636,333.6363636363636,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.024541108027683976,0.024542913317372638,0.001424860854852151
M1,cart,primary_application,1,1,1014.7272727272729,1014.7272727272729,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.07463974054632386,0.07464523118488103,0.004333595875166135
M1,checkout,primary_application,1,1,103.99999999999999,103.99999999999999,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.007649871276204486,0.0076504340150066194,0.00044415281143075225
M1,currency,primary_application,1,1,94.0909090909091,94.0909090909091,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.0069209936808318565,0.006921502802038333,0.0004018340557961789
M1,email,primary_application,1,1,121.27272727272728,121.27272727272728,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.008920391855294394,0.008921048055960518,0.0005179194496928528
M1,flagd,primary_application,1,1,59.590909090909086,59.590909090909086,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.004383295997860175,0.004383618441290944,0.0002544949020042466
M1,fraud-detection,primary_application,1,1,1218.909090909091,1218.909090909091,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.0896586311812498,0.08966522663742026,0.0052055951885170695
M1,frontend,primary_application,1,1,40809.5909090909,40809.5909090909,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,3.0018088200875983,3.002029638744365,0.1742855243808807
M1,frontend-proxy,primary_application,1,1,8818.545454545454,8818.545454545454,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.6486609381791434,0.6487086548878516,0.03766136304198312
M1,image-provider,primary_application,1,1,69.81818181818183,69.81818181818183,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.005135577919689726,0.005135955702382068,0.0002981725167647009
M1,kafka,primary_application,1,1,2857.545454545454,2857.545454545454,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.21019091243438426,0.21020637447002016,0.012203719686803177
M1,llm,primary_application,1,1,1630.9545454545455,1630.9545454545455,True,high,high,300,120.34867095947266,13595.0,13594.0,113.93807849764369,7.35564545788893e-05,29.0,0.11996723394296031,0.11997605895649151,0.006965317756532703
