model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,compose-post-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,home-timeline-redis,primary_application,1,1,0.09081595454545453,0.09081595454545453,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,6.689448625917394e-06,6.689448625917394e-06,0.0025795973176908514
M1,home-timeline-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,media-frontend,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,media-memcached,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,media-mongodb,primary_application,1,1,0.3566874545454545,0.3566874545454545,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,2.6273383511008728e-05,2.6273383511008728e-05,0.010131589824769227
M1,media-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,nginx-thrift,primary_application,1,1,1.0918391515636365,1.0918391515636365,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,8.042421564257782e-05,8.042421564257782e-05,0.031013331972563424
M1,post-storage-memcached,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,post-storage-mongodb,primary_application,1,1,0.36510904545454537,0.36510904545454537,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,2.6893712835485075e-05,2.6893712835485075e-05,0.010370802344513291
M1,post-storage-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,social-graph-mongodb,primary_application,1,1,0.3675673636363636,0.3675673636363636,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,2.707479107515937e-05,2.707479107515937e-05,0.01044063006387812
M1,social-graph-redis,primary_application,1,1,0.08193772727272726,0.08193772727272726,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,6.03548374136176e-06,6.03548374136176e-06,0.002327414192234474
M1,social-graph-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,text-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
M1,unique-id-service,primary_application,1,1,0.0,0.0,True,high,high,300,121.07784295082092,13576.0,13576.0,113.83325442766322,0.0,19.0,0.0,0.0,0.0
