sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-08T14:35:41.352969+00:00,1780929341.352969,0.00023724697530269623,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,235.1,49.9,0.689,128689.071,0.0,51.2,124.1,
1,2026-06-08T14:35:42.353501+00:00,1780929342.353501,1.0007901869830675,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,235.0,49.9,0.689,128689.287,0.0,51.3,124.3,
2,2026-06-08T14:35:43.353279+00:00,1780929343.353279,2.0005717590101995,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,155.4,235.0,49.9,0.713,128689.287,0.0,51.2,124.1,
3,2026-06-08T14:35:44.353377+00:00,1780929344.353377,3.0006704549887218,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.5,235.0,49.9,0.701,128689.287,0.0,51.2,124.2,
4,2026-06-08T14:35:45.353237+00:00,1780929345.353237,4.000530748977326,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.6,235.0,49.9,0.697,128689.287,0.0,51.3,124.3,
5,2026-06-08T14:35:46.353361+00:00,1780929346.353361,5.000651495996863,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,235.1,49.9,0.692,128689.287,0.0,51.2,124.1,
6,2026-06-08T14:35:47.353132+00:00,1780929347.353132,6.00042407901492,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.0,49.9,0.687,128689.503,0.0,51.1,124.1,
7,2026-06-08T14:35:48.353093+00:00,1780929348.353093,7.000379075994715,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.6,235.0,49.9,0.705,128689.503,0.0,51.3,124.3,
8,2026-06-08T14:35:49.353091+00:00,1780929349.353091,8.000417687988374,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,235.0,49.9,0.702,128689.503,0.0,51.3,124.3,
9,2026-06-08T14:35:50.353230+00:00,1780929350.35323,9.00051927001914,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,235.0,49.9,0.689,128689.503,0.0,51.1,124.1,
10,2026-06-08T14:35:51.353658+00:00,1780929351.353658,10.000947418971919,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,234.9,49.9,0.691,128689.503,0.0,51.3,124.3,
11,2026-06-08T14:35:52.353230+00:00,1780929352.35323,11.0005223529879,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,235.0,49.9,0.695,128689.719,0.0,51.2,124.2,
12,2026-06-08T14:35:53.353351+00:00,1780929353.353351,12.000640472979285,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.9,234.5,49.9,0.703,128689.719,0.0,51.3,124.3,
13,2026-06-08T14:35:54.352968+00:00,1780929354.352968,13.000256297003943,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,234.5,49.9,0.693,128689.719,0.0,51.1,124.1,
14,2026-06-08T14:35:55.353224+00:00,1780929355.353224,14.000515202991664,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.0,234.6,49.9,0.704,128689.719,0.0,51.2,124.1,
15,2026-06-08T14:35:56.353095+00:00,1780929356.353095,15.000374891969841,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,234.6,49.9,0.691,128689.719,0.0,51.3,124.3,
16,2026-06-08T14:35:57.353546+00:00,1780929357.353546,16.000836898980197,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,234.7,49.9,0.692,128689.936,0.0,51.2,124.2,
17,2026-06-08T14:35:58.353779+00:00,1780929358.353779,17.001071401988156,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,235.1,49.9,0.707,128689.936,0.0,51.2,124.2,
18,2026-06-08T14:35:59.353728+00:00,1780929359.353728,18.001019675983116,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,235.0,49.9,0.69,128689.936,0.0,51.2,124.1,
19,2026-06-08T14:36:00.353085+00:00,1780929360.353085,19.000364555977285,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,235.1,49.9,0.693,128689.936,0.0,51.2,124.2,
20,2026-06-08T14:36:01.353068+00:00,1780929361.353068,20.00035490200389,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,235.1,49.9,0.686,128689.936,0.0,51.2,124.2,
21,2026-06-08T14:36:02.353038+00:00,1780929362.353038,21.0003234220203,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,235.2,49.9,0.689,128690.152,0.0,51.3,124.3,
22,2026-06-08T14:36:03.353059+00:00,1780929363.353059,22.000344589992892,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.1,235.0,49.9,0.696,128690.152,0.0,51.3,124.3,
23,2026-06-08T14:36:04.353001+00:00,1780929364.353001,23.000280370004475,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,235.2,50.0,0.69,128690.152,0.0,51.2,124.2,
24,2026-06-08T14:36:05.352983+00:00,1780929365.352983,24.000263807014562,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.3,235.2,49.9,0.7,128690.152,0.0,51.2,124.1,
25,2026-06-08T14:36:06.353067+00:00,1780929366.353067,25.000351961003616,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,235.2,49.9,0.691,128690.152,0.0,51.2,124.2,
26,2026-06-08T14:36:07.352969+00:00,1780929367.352969,26.000254026963376,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.9,235.2,50.0,0.702,128690.368,0.0,51.2,124.1,
27,2026-06-08T14:36:08.352999+00:00,1780929368.352999,27.000284266017843,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.4,235.3,49.9,0.696,128690.368,0.0,51.2,124.1,
28,2026-06-08T14:36:09.352954+00:00,1780929369.352954,28.000238139007706,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,235.2,50.0,0.691,128690.368,0.0,51.3,124.3,
29,2026-06-08T14:36:10.352948+00:00,1780929370.352948,29.000227232987527,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,235.1,50.0,0.695,128690.368,0.0,51.2,124.1,
30,2026-06-08T14:36:11.352938+00:00,1780929371.352938,30.00021852296777,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.2,50.0,0.687,128690.368,0.0,51.2,124.2,
31,2026-06-08T14:36:12.352972+00:00,1780929372.352972,31.00025177100906,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.2,50.0,0.687,128690.368,0.0,51.2,124.2,
32,2026-06-08T14:36:13.352905+00:00,1780929373.352905,32.000182423973456,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.0,235.1,50.0,0.698,128690.585,0.0,51.2,124.1,
33,2026-06-08T14:36:14.353069+00:00,1780929374.353069,33.00034907297231,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.1,235.1,50.0,0.703,128690.585,0.0,51.2,124.1,
34,2026-06-08T14:36:15.353087+00:00,1780929375.353087,34.00036928302143,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,234.9,50.0,0.688,128690.585,0.0,51.2,124.1,
35,2026-06-08T14:36:16.352926+00:00,1780929376.352926,35.00020638498245,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.7,235.0,49.9,0.698,128690.585,0.0,51.3,124.3,
36,2026-06-08T14:36:17.353121+00:00,1780929377.353121,36.00040194898611,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,235.0,49.9,0.691,128690.585,0.0,51.3,124.3,
37,2026-06-08T14:36:18.352994+00:00,1780929378.352994,37.0002747339895,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,234.9,49.9,0.707,128690.801,0.0,51.3,124.3,
38,2026-06-08T14:36:19.353443+00:00,1780929379.353443,38.00072457699571,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,234.9,49.9,0.692,128690.801,0.0,51.2,124.2,
39,2026-06-08T14:36:20.353003+00:00,1780929380.353003,39.00028503400972,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,234.6,49.9,0.688,128690.801,0.0,51.2,124.2,
40,2026-06-08T14:36:21.353425+00:00,1780929381.353425,40.00070719100768,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.9,234.9,49.9,0.707,128690.801,0.0,51.2,124.2,
41,2026-06-08T14:36:22.353313+00:00,1780929382.353313,41.0005948219914,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,235.1,49.9,0.691,128690.801,0.0,51.3,124.3,
42,2026-06-08T14:36:23.353336+00:00,1780929383.353336,42.00061956397258,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.5,235.2,49.9,0.709,128691.017,0.0,51.2,124.2,
43,2026-06-08T14:36:24.353291+00:00,1780929384.353291,43.000575346988626,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.7,235.1,49.9,0.694,128691.017,0.0,51.3,124.3,
44,2026-06-08T14:36:25.353499+00:00,1780929385.353499,44.00078422197839,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.1,49.9,0.687,128691.017,0.0,51.2,124.2,
45,2026-06-08T14:36:26.353251+00:00,1780929386.353251,45.00053462898359,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.1,235.2,49.9,0.699,128691.017,0.0,51.3,124.3,
46,2026-06-08T14:36:27.353618+00:00,1780929387.353618,46.00090020097559,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,235.2,49.9,0.689,128691.017,0.0,51.3,124.3,
47,2026-06-08T14:36:28.353023+00:00,1780929388.353023,47.00031263101846,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.2,235.0,49.9,0.699,128691.233,0.0,51.3,124.3,
48,2026-06-08T14:36:29.353381+00:00,1780929389.353381,48.00066208501812,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,235.2,49.9,0.687,128691.233,0.0,51.5,124.7,
49,2026-06-08T14:36:30.353465+00:00,1780929390.353465,49.00074623798719,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,235.3,49.9,0.688,128691.233,0.0,51.3,124.3,
50,2026-06-08T14:36:31.353361+00:00,1780929391.353361,50.000642566999886,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.3,49.9,0.687,128691.233,0.0,51.2,124.2,
51,2026-06-08T14:36:32.353430+00:00,1780929392.35343,51.00071360002039,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.5,235.2,49.9,0.7,128691.233,0.0,51.3,124.3,
52,2026-06-08T14:36:33.353252+00:00,1780929393.353252,52.00053165201098,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.4,235.2,49.9,0.704,128691.45,0.0,51.2,124.1,
53,2026-06-08T14:36:34.353404+00:00,1780929394.353404,53.00068656500662,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,235.2,49.9,0.69,128691.45,0.0,51.1,124.1,
54,2026-06-08T14:36:35.353538+00:00,1780929395.353538,54.000819901004434,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,235.2,49.9,0.688,128691.45,0.0,51.2,124.1,
55,2026-06-08T14:36:36.353363+00:00,1780929396.353363,55.00064460799331,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.8,235.1,49.9,0.698,128691.45,0.0,51.2,124.2,
56,2026-06-08T14:36:37.353263+00:00,1780929397.353263,56.00054391997401,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.9,234.5,49.9,0.7,128691.45,0.0,51.3,124.3,
57,2026-06-08T14:36:38.353427+00:00,1780929398.353427,57.00071006099461,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.6,235.0,49.9,0.709,128691.666,0.0,51.3,124.3,
58,2026-06-08T14:36:39.353339+00:00,1780929399.353339,58.000618493999355,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,235.1,49.9,0.688,128691.666,0.0,51.3,124.3,
59,2026-06-08T14:36:40.353244+00:00,1780929400.353244,59.0005260379985,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,235.1,49.9,0.687,128691.666,0.0,51.3,124.3,
60,2026-06-08T14:36:41.352981+00:00,1780929401.352981,60.00026791600976,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,235.1,49.9,0.687,128691.666,0.0,51.3,124.3,
61,2026-06-08T14:36:42.352904+00:00,1780929402.352904,61.00018770998577,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,235.1,49.9,0.695,128691.666,0.0,51.3,124.3,
62,2026-06-08T14:36:43.353454+00:00,1780929403.353454,62.000737615977414,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.2,235.1,49.9,0.696,128691.882,0.0,51.3,124.3,
63,2026-06-08T14:36:44.352887+00:00,1780929404.352887,63.00021993601695,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,234.7,49.9,0.689,128691.882,0.0,51.3,124.3,
