model_variant,entity_name,raw_entity_name,container_id,pod_name,pod_namespace,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.794418545454544,1.794418545454544,0.0,1.794418545454544,0.014933691636363624,0.01661149090909089,0.0134213636363637,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.151360727272727,1.151360727272727,0.0,1.151360727272727,0.009593536727272726,0.010354581818181777,0.00877052727272731,25.0,False,False
M1,compose-post-service,compose-post-service,,,,,compose-post-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,coredns,coredns,,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.32476204545454557,0.32476204545454557,0.0,0.32476204545454557,0.0027083563636363626,0.0031830909090909223,0.0021775090909090635,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,14.732129181818182,14.732129181818182,0.0,14.732129181818182,0.12279674981818181,0.13053589090909115,0.11637621818181867,25.0,False,False
M1,home-timeline-redis,home-timeline-redis,,,,,home-timeline-redis,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.08058177272727272,0.08058177272727272,0.08058177272727272,0.08058177272727272,0.0006744596363636362,0.0009651272727272726,0.00041509090909090917,25.0,False,False
M1,home-timeline-service,home-timeline-service,,,,,home-timeline-service,primary_application,exact_primary,1.0,metadata.deployment.deployments|sut_containers,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,jaeger,jaeger,,,,,jaeger,unknown,ignored_pattern,0.6,ignore_pattern:(^|/)jaeger($|[-/]),source_label,0.9,raw_label,resolved,True,energy.json,kepler_container_cpu_joules_total,0.007768999999999999,0.007768999999999999,0.0,0.007768999999999999,6.215199999999998e-05,0.00014125454545454544,0.0,25.0,False,False
M1,kepler,kepler,,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,12.973091272727245,12.973091272727245,0.0,12.973091272727245,0.10810482399999972,0.11474345454545429,0.10065272727272723,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
