sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-09T11:27:33.155705+00:00,1781004453.155705,0.00018695206381380558,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,234.8,49.9,0.703,131781.457,0.0,49.3,120.7,
1,2026-06-09T11:27:34.156236+00:00,1781004454.156236,1.000734483008273,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,234.7,49.9,0.695,131781.457,0.0,49.5,121.1,
2,2026-06-09T11:27:35.156310+00:00,1781004455.15631,2.0008066950831562,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,234.7,49.9,0.69,131781.673,0.0,49.3,120.7,
3,2026-06-09T11:27:36.156327+00:00,1781004456.156327,3.000823646085337,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.3,234.8,49.9,0.705,131781.673,0.0,49.3,120.7,
4,2026-06-09T11:27:37.156194+00:00,1781004457.156194,4.000693448004313,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.9,234.8,49.9,0.7,131781.673,0.0,49.3,120.7,
5,2026-06-09T11:27:38.155799+00:00,1781004458.155799,5.000295064062811,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,234.8,49.9,0.691,131781.673,0.0,49.5,121.1,
6,2026-06-09T11:27:39.155996+00:00,1781004459.155996,6.000493256025948,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,234.8,49.9,0.691,131781.673,0.0,49.2,120.6,
7,2026-06-09T11:27:40.156132+00:00,1781004460.156132,7.000630960101262,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,234.8,49.9,0.69,131781.673,0.0,49.3,120.7,
8,2026-06-09T11:27:41.156081+00:00,1781004461.156081,8.000578744104132,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,234.6,49.9,0.691,131781.89,0.0,49.2,120.6,
9,2026-06-09T11:27:42.155971+00:00,1781004462.155971,9.000477189081721,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,234.6,49.9,0.689,131781.89,0.0,49.3,120.7,
10,2026-06-09T11:27:43.156224+00:00,1781004463.156224,10.000722421100363,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.1,234.6,49.9,0.708,131781.89,0.0,49.2,120.6,
11,2026-06-09T11:27:44.155738+00:00,1781004464.155738,11.000233783037402,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,234.6,49.9,0.698,131781.89,0.0,49.2,120.6,
12,2026-06-09T11:27:45.155982+00:00,1781004465.155982,12.000477588037029,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,234.3,49.9,0.689,131781.89,0.0,49.3,120.7,
