model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,compose-post-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,home-timeline-redis,primary_application,1,1,0.08260245454545453,0.08260245454545453,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,3.6165698137239286e-05,3.6165698137239286e-05,0.002461926463859164
M1,home-timeline-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,media-frontend,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,media-memcached,primary_application,1,1,0.024885272727272735,0.024885272727272735,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.0895478427002073e-05,1.0895478427002073e-05,0.0007416935952419201
M1,media-mongodb,primary_application,1,1,0.35662259090909093,0.35662259090909093,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0001561394881388314,0.0001561394881388314,0.010628964950260368
M1,media-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,nginx-thrift,primary_application,1,1,0.07837263636363637,0.07837263636363637,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,3.4313763731889825e-05,3.4313763731889825e-05,0.0023358587655512345
M1,post-storage-memcached,primary_application,1,1,0.0076935,0.0076935,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,3.368432574430823e-06,3.368432574430823e-06,0.00022930107045763032
M1,post-storage-mongodb,primary_application,1,1,0.35130645454545445,0.35130645454545445,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00015381193281324625,0.00015381193281324625,0.010470520060563796
M1,post-storage-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,social-graph-mongodb,primary_application,1,1,0.3547655909090909,0.3547655909090909,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00015532644085336728,0.00015532644085336728,0.010573617957625047
M1,social-graph-redis,primary_application,1,1,0.08150022727272728,0.08150022727272728,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,3.568311176564242e-05,3.568311176564242e-05,0.0024290751096609506
M1,social-graph-service,primary_application,1,1,0.003069818181818182,0.003069818181818182,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.3440534946664545e-06,1.3440534946664545e-06,9.149445573551771e-05
M1,text-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,unique-id-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,url-shorten-memcached,primary_application,1,1,0.019787136363636354,0.019787136363636354,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,8.663369686355672e-06,8.663369686355672e-06,0.0005897460907874074
M1,url-shorten-mongodb,primary_application,1,1,0.3694428636363637,0.3694428636363637,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0001617525672663589,0.0001617525672663589,0.011011067018229745
M1,url-shorten-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,user-memcached,primary_application,1,1,0.02045272727272727,0.02045272727272727,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,8.954784270020697e-06,8.954784270020697e-06,0.000609583707989125
M1,user-mention-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M1,user-mongodb,primary_application,1,1,0.34394468181818166,0.34394468181818166,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00015058873985034223,0.00015058873985034223,0.010251105962061236
M1,user-service,primary_application,1,1,0.022973999999999998,0.022973999999999998,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.0058669001751313e-05,1.0058669001751313e-05,0.0006847290300505101
M1,user-timeline-mongodb,primary_application,1,1,0.361932,0.361932,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00015846409807355514,0.00015846409807355514,0.01078720933682603
M1,user-timeline-redis,primary_application,1,1,0.0816965,0.0816965,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,3.576904553415062e-05,3.576904553415062e-05,0.0024349249239802168
M1,user-timeline-service,primary_application,1,1,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M2,compose-post-service,primary_application,2,2,0.0,0.004195877868299382,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.8370743731608501e-06,1.8370743731608501e-06,0.00012505612357321483
M2,home-timeline-redis,primary_application,2,2,0.0,1.0490637749552862,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00045930988395590465,0.00045930988395590465,0.03126684169436144
M2,home-timeline-service,primary_application,2,2,0.0,0.0038618012756286217,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.690806162709554e-06,1.690806162709554e-06,0.00011509913126617083
M2,jaeger,primary_application,2,2,0.0,0.1609251902449235,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,7.045761394261099e-05,7.045761394261099e-05,0.004796297964094205
M2,media-frontend,primary_application,2,2,0.0,0.0,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0,0.0,0.0
M2,media-memcached,primary_application,2,2,0.0,0.14168487199751403,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,6.203365674146849e-05,6.203365674146849e-05,0.0042228495244924025
M2,media-mongodb,primary_application,2,2,0.0,4.113683768612075,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0018010874643660576,0.0018010874643660576,0.12260636792967151
M2,media-service,primary_application,2,2,0.0,0.003967306058591779,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.7369991499964007e-06,1.7369991499964007e-06,0.00011824365062301128
M2,nginx-thrift,primary_application,2,2,0.0,4.685156075715793,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0020512942538160215,0.0020512942538160215,0.13963882542701006
M2,post-storage-memcached,primary_application,2,2,0.0,0.13982654178976298,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,6.122002705331129e-05,6.122002705331129e-05,0.004167462885654284
M2,post-storage-mongodb,primary_application,2,2,0.0,4.172343776090819,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.001826770479899658,0.001826770479899658,0.12435470126403539
M2,post-storage-service,primary_application,2,2,0.0,0.027786933432615145,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.2165907807624845e-05,1.2165907807624845e-05,0.0008281761981976434
M2,social-graph-mongodb,primary_application,2,2,0.0,4.1307873020028305,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0018085758765336386,0.0018085758765336386,0.12311613052343352
M2,social-graph-redis,primary_application,2,2,0.0,0.9923482202015542,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0004344782049919239,0.0004344782049919239,0.029576461839077226
M2,social-graph-service,primary_application,2,2,0.0,0.026202996924069355,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.1472415465879752e-05,1.1472415465879752e-05,0.0007809677317069082
M2,text-service,primary_application,2,2,0.0,0.0038853374862772372,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.7011109834839042e-06,1.7011109834839042e-06,0.00011580061671443804
M2,unique-id-service,primary_application,2,2,0.0,0.003888585251758212,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.7025329473547338e-06,1.7025329473547338e-06,0.00011589741480391395
M2,url-shorten-memcached,primary_application,2,2,0.0,0.13891611733218834,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,6.0821417395879306e-05,6.0821417395879306e-05,0.004140328122192573
M2,url-shorten-mongodb,primary_application,2,2,0.0,4.238385738234979,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0018556855246212693,0.0018556855246212693,0.12632305020986995
M2,url-shorten-service,primary_application,2,2,0.0,0.02739522618057925,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.1994407259448008e-05,1.1994407259448008e-05,0.0008165015517821177
M2,user-memcached,primary_application,2,2,0.0,0.13713237688006283,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,6.004044521894169e-05,6.004044521894169e-05,0.004087164595177436
M2,user-mention-service,primary_application,2,2,0.0,0.004540000704919363,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.9877411142378997e-06,1.9877411142378997e-06,0.000135312539353533
M2,user-mongodb,primary_application,2,2,0.0,4.097118966853006,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0017938349241913335,0.0017938349241913335,0.12211266197330925
M2,user-service,primary_application,2,2,0.0,0.02443167965651144,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.0696882511607461e-05,1.0696882511607461e-05,0.0007281744717379584
M2,user-timeline-mongodb,primary_application,2,2,0.0,4.202696034667803,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.0018400595598370418,0.0018400595598370418,0.12525933574541698
M2,user-timeline-redis,primary_application,2,2,0.0,0.9948848832834509,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,0.00043558882805755296,0.00043558882805755296,0.029652065863262484
M2,user-timeline-service,primary_application,2,2,0.0,0.02684911629874163,True,low,low,40,121.17893099784851,2284.0,2284.0,19.138258355600858,0.0,110.0,1.1755304859343971e-05,1.1755304859343971e-05,0.0008002250091821493
