sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-09T10:29:25.940849+00:00,1781000965.940849,0.0002192020183429122,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,236.6,49.9,0.703,131635.251,0.0,49.3,120.7,
1,2026-06-09T10:29:26.941305+00:00,1781000966.941305,1.0006890529766679,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.4,49.9,0.685,131635.251,0.0,49.2,120.6,
2,2026-06-09T10:29:27.941517+00:00,1781000967.941517,2.0009084660559893,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.4,49.9,0.685,131635.251,0.0,49.2,120.6,
3,2026-06-09T10:29:28.941421+00:00,1781000968.941421,3.000807329080999,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.8,236.5,49.9,0.695,131635.251,0.0,49.2,120.6,
4,2026-06-09T10:29:29.941338+00:00,1781000969.941338,4.000722981058061,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,236.5,49.9,0.684,131635.251,0.0,49.3,120.7,
5,2026-06-09T10:29:30.941264+00:00,1781000970.941264,5.00065311905928,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.3,49.9,0.686,131635.251,0.0,49.3,120.7,
6,2026-06-09T10:29:31.940854+00:00,1781000971.940854,6.0002387940185145,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,236.2,49.9,0.699,131635.467,0.0,49.3,120.7,
7,2026-06-09T10:29:32.941475+00:00,1781000972.941475,7.000864007975906,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.9,236.5,49.9,0.699,131635.467,0.0,49.2,120.6,
8,2026-06-09T10:29:33.940750+00:00,1781000973.94075,8.000127539038658,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.8,236.3,49.9,0.695,131635.467,0.0,49.2,120.6,
9,2026-06-09T10:29:34.941351+00:00,1781000974.941351,9.00073701608926,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,236.5,49.9,0.687,131635.467,0.0,49.2,120.6,
10,2026-06-09T10:29:35.941283+00:00,1781000975.941283,10.000668446999043,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,236.7,49.9,0.687,131635.467,0.0,49.3,120.7,
11,2026-06-09T10:29:36.941266+00:00,1781000976.941266,11.000650561996736,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.0,236.8,49.9,0.699,131635.684,0.0,49.3,120.7,
12,2026-06-09T10:29:37.941463+00:00,1781000977.941463,12.000848839990795,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.3,236.8,49.9,0.696,131635.684,0.0,49.2,120.6,
13,2026-06-09T10:29:38.941048+00:00,1781000978.941048,13.000430945074186,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,236.9,49.9,0.687,131635.684,0.0,49.6,121.2,
14,2026-06-09T10:29:39.941498+00:00,1781000979.941498,14.000889837974682,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,236.9,49.9,0.685,131635.684,0.0,49.3,120.7,
15,2026-06-09T10:29:40.941118+00:00,1781000980.941118,15.000502676004544,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,236.6,49.9,0.686,131635.684,0.0,49.3,120.8,
16,2026-06-09T10:29:41.940811+00:00,1781000981.940811,16.000195275060833,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.7,236.8,49.9,0.69,131635.9,0.0,49.2,120.6,
17,2026-06-09T10:29:42.941150+00:00,1781000982.94115,17.000543528003618,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.3,236.7,49.9,0.704,131635.9,0.0,49.3,120.7,
18,2026-06-09T10:29:43.941342+00:00,1781000983.941342,18.00073497905396,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,236.6,49.9,0.69,131635.9,0.0,49.5,121.1,
19,2026-06-09T10:29:44.941287+00:00,1781000984.941287,19.000681529054418,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,236.4,49.9,0.688,131635.9,0.0,49.2,120.6,
20,2026-06-09T10:29:45.941124+00:00,1781000985.941124,20.000512385973707,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,236.7,49.9,0.684,131635.9,0.0,49.3,120.7,
21,2026-06-09T10:29:46.941016+00:00,1781000986.941016,21.000410645036027,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,237.0,49.9,0.696,131636.116,0.0,49.3,120.7,
