sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-04T09:17:13.319465+00:00,1780564633.319465,0.00016464800864923745,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.9,237.2,49.9,0.702,126832.372,0.0,51.2,124.2,
1,2026-06-04T09:17:14.320024+00:00,1780564634.320024,1.0007441340130754,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,237.2,49.9,0.688,126832.588,0.0,51.5,124.7,
2,2026-06-04T09:17:15.319972+00:00,1780564635.319972,2.000687290012138,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.5,237.4,49.9,0.704,126832.588,0.0,51.3,124.3,
3,2026-06-04T09:17:16.319965+00:00,1780564636.319965,3.000687285006279,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,237.4,49.9,0.692,126832.588,0.0,51.3,124.3,
4,2026-06-04T09:17:17.319984+00:00,1780564637.319984,4.000699275013176,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.4,49.9,0.687,126832.588,0.0,51.3,124.3,
5,2026-06-04T09:17:18.320140+00:00,1780564638.32014,5.000862412009155,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,237.5,49.9,0.684,126832.588,0.0,51.3,124.3,
6,2026-06-04T09:17:19.319737+00:00,1780564639.319737,6.0004544380062725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.5,49.9,0.686,126832.804,0.0,51.3,124.3,
7,2026-06-04T09:17:20.320234+00:00,1780564640.320234,7.000951028006966,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.5,237.5,49.9,0.696,126832.804,0.0,51.3,124.3,
8,2026-06-04T09:17:21.319535+00:00,1780564641.319535,8.000248853000812,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.5,49.9,0.684,126832.804,0.0,51.5,124.7,
9,2026-06-04T09:17:22.319509+00:00,1780564642.319509,9.00021850700432,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.5,49.9,0.686,126832.804,0.0,51.3,124.3,
