sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-04T07:50:26.842009+00:00,1780559426.842009,0.000243192000198178,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,237.4,50.0,0.69,126613.712,0.0,49.8,121.6,
1,2026-06-04T07:50:27.842555+00:00,1780559427.842555,1.0008006650023162,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,237.6,50.0,0.688,126613.928,0.0,49.7,121.5,
2,2026-06-04T07:50:28.842543+00:00,1780559428.842543,2.0007899250049377,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.5,50.0,0.685,126613.928,0.0,49.9,121.8,
3,2026-06-04T07:50:29.842298+00:00,1780559429.842298,3.000544105001609,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.5,50.0,0.685,126613.928,0.0,49.9,121.7,
4,2026-06-04T07:50:30.842286+00:00,1780559430.842286,4.000533976999577,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,237.3,50.0,0.69,126613.928,0.0,49.7,121.5,
5,2026-06-04T07:50:31.842379+00:00,1780559431.842379,5.0006253580068005,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,237.4,50.0,0.69,126613.928,0.0,49.9,121.8,
6,2026-06-04T07:50:32.842076+00:00,1780559432.842076,6.000321871004417,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,237.4,50.0,0.683,126613.928,0.0,50.1,122.1,
7,2026-06-04T07:50:33.842282+00:00,1780559433.842282,7.00052771200717,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.4,50.0,0.684,126614.144,0.0,49.9,121.7,
8,2026-06-04T07:50:34.842076+00:00,1780559434.842076,8.000322513005813,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.3,50.0,0.686,126614.144,0.0,49.9,121.7,
9,2026-06-04T07:50:35.841986+00:00,1780559435.841986,9.00023439299548,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.9,237.3,50.0,0.702,126614.144,0.0,49.9,121.7,
10,2026-06-04T07:50:36.841970+00:00,1780559436.84197,10.000221523005166,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,237.4,50.0,0.689,126614.144,0.0,50.1,122.1,
11,2026-06-04T07:50:37.841986+00:00,1780559437.841986,11.000231910002185,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,237.4,50.0,0.687,126614.144,0.0,49.8,121.6,
12,2026-06-04T07:50:38.842000+00:00,1780559438.842,12.00024488499912,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.4,50.0,0.685,126614.361,0.0,50.1,122.2,
13,2026-06-04T07:50:39.841941+00:00,1780559439.841941,13.000183733005542,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,237.4,50.0,0.686,126614.361,0.0,49.9,121.8,
14,2026-06-04T07:50:40.841999+00:00,1780559440.841999,14.000243214002694,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.9,237.4,50.0,0.698,126614.361,0.0,49.9,121.7,
15,2026-06-04T07:50:41.841975+00:00,1780559441.841975,15.000217977998545,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.3,50.0,0.685,126614.361,0.0,49.9,121.7,
16,2026-06-04T07:50:42.841964+00:00,1780559442.841964,16.000205388001632,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,237.3,50.0,0.683,126614.361,0.0,49.9,121.7,
17,2026-06-04T07:50:43.841985+00:00,1780559443.841985,17.00022804099717,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.4,50.0,0.685,126614.577,0.0,49.9,121.7,
18,2026-06-04T07:50:44.841969+00:00,1780559444.841969,18.000213969004108,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,236.8,50.0,0.698,126614.577,0.0,49.9,121.8,
19,2026-06-04T07:50:45.841977+00:00,1780559445.841977,19.00022031800472,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,237.2,50.0,0.696,126614.577,0.0,50.1,122.1,
20,2026-06-04T07:50:46.842010+00:00,1780559446.84201,20.000255819002632,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.4,50.0,0.686,126614.577,0.0,49.9,121.7,
21,2026-06-04T07:50:47.841946+00:00,1780559447.841946,21.000196118999156,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,237.3,50.0,0.689,126614.577,0.0,50.1,122.1,
22,2026-06-04T07:50:48.841933+00:00,1780559448.841933,22.000175227993168,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.4,50.0,0.684,126614.793,0.0,49.9,121.7,
23,2026-06-04T07:50:49.841982+00:00,1780559449.841982,23.000226374002523,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,237.4,50.0,0.687,126614.793,0.0,49.9,121.7,
24,2026-06-04T07:50:50.842015+00:00,1780559450.842015,24.00025980400096,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.6,237.4,50.0,0.701,126614.793,0.0,50.1,122.1,
25,2026-06-04T07:50:51.842060+00:00,1780559451.84206,25.000310813993565,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,237.3,50.0,0.682,126614.793,0.0,49.8,121.6,
26,2026-06-04T07:50:52.842019+00:00,1780559452.842019,26.000289176998194,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.4,50.0,0.683,126614.793,0.0,49.9,121.8,
27,2026-06-04T07:50:53.842005+00:00,1780559453.842005,27.000251022996963,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.3,50.0,0.684,126615.009,0.0,49.9,121.7,
28,2026-06-04T07:50:54.842047+00:00,1780559454.842047,28.000290051000775,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.6,237.3,50.0,0.701,126615.009,0.0,49.9,121.7,
29,2026-06-04T07:50:55.842011+00:00,1780559455.842011,29.00025553299929,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,237.2,49.9,0.693,126615.009,0.0,49.9,121.7,
30,2026-06-04T07:50:56.841983+00:00,1780559456.841983,30.00022755500686,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.2,49.9,0.687,126615.009,0.0,49.9,121.8,
31,2026-06-04T07:50:57.842042+00:00,1780559457.842042,31.00029346899828,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.3,50.0,0.687,126615.009,0.0,49.9,121.7,
