model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,compose-post-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,home-timeline-redis,primary_application,1,1,0.08955600544770807,0.08955600544770807,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.1377970454543016e-05,1.1377970454543016e-05,0.002300594585192904
M1,home-timeline-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,media-frontend,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,media-memcached,primary_application,1,1,0.009087138342479416,0.009087138342479416,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.154508746344736e-06,1.154508746344736e-06,0.0002334385188474481
M1,media-mongodb,primary_application,1,1,0.417431900381929,0.417431900381929,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,5.303416343309986e-05,5.303416343309986e-05,0.010723363161459842
M1,media-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,nginx-thrift,primary_application,1,1,0.6484924004000512,0.6484924004000512,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,8.23900902553743e-05,8.23900902553743e-05,0.016659051477795537
M1,post-storage-memcached,primary_application,1,1,0.007679012699254426,0.007679012699254426,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,9.756082707730181e-07,9.756082707730181e-07,0.0001972653307526949
M1,post-storage-mongodb,primary_application,1,1,0.38776719291341544,0.38776719291341544,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.926530211071216e-05,4.926530211071216e-05,0.009961309684060796
M1,post-storage-service,primary_application,1,1,0.007679012699254432,0.007679012699254432,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,9.75608270773019e-07,9.75608270773019e-07,0.00019726533075269505
M1,social-graph-mongodb,primary_application,1,1,0.3714342474172432,0.3714342474172432,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.719022327750517e-05,4.719022327750517e-05,0.009541734405095443
M1,social-graph-redis,primary_application,1,1,0.1011672392329327,0.1011672392329327,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.2853162143683485e-05,1.2853162143683485e-05,0.00259887432020514
M1,social-graph-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,text-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,unique-id-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,url-shorten-memcached,primary_application,1,1,0.005267831210975059,0.005267831210975059,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,6.692708945464438e-07,6.692708945464438e-07,0.00013532474901145286
M1,url-shorten-mongodb,primary_application,1,1,0.3683545445804077,0.3683545445804077,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.679895116000606e-05,4.679895116000606e-05,0.009462620250382903
M1,url-shorten-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,user-memcached,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,user-mention-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,user-mongodb,primary_application,1,1,0.3577641174394616,0.3577641174394616,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.545345158676936e-05,4.545345158676936e-05,0.009190563907387941
M1,user-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M1,user-timeline-mongodb,primary_application,1,1,0.39803504879724416,0.39803504879724416,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,5.05698194380948e-05,5.05698194380948e-05,0.010225079528749442
M1,user-timeline-redis,primary_application,1,1,0.11685756650932855,0.11685756650932855,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.4846597193409802e-05,1.4846597193409802e-05,0.0030019414488865093
M1,user-timeline-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M2,compose-post-service,primary_application,2,2,0.0,0.0037096664235501237,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.7130814681109435e-07,4.7130814681109435e-07,9.529722148979296e-05
M2,home-timeline-redis,primary_application,2,2,0.0,0.9617187389903961,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.00012218507673617026,0.00012218507673617026,0.024705489177850284
M2,home-timeline-service,primary_application,2,2,0.0,0.003925606089192787,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.987429918933791e-07,4.987429918933791e-07,0.00010084447231928594
M2,jaeger,primary_application,2,2,0.0,0.14918966246272747,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.8954346647532394e-05,1.8954346647532394e-05,0.003832517181987506
M2,media-frontend,primary_application,2,2,0.0,0.0,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0,0.0,0.0
M2,media-memcached,primary_application,2,2,0.0,0.12978753831539266,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,1.6489332780509804e-05,1.6489332780509804e-05,0.0033340981029826677
M2,media-mongodb,primary_application,2,2,0.0,3.867666028866523,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,0.0004913817848896612,0.0004913817848896612,0.09935605634554999
M2,media-service,primary_application,2,2,0.0,0.0037430550388597,True,medium,medium,150,121.14645195007324,7871.0,7871.0,65.94274203370071,0.0,20.0,4.7555012563329945e-07,4.7555012563329945e-07,9.61549380349235e-05
