sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-06-04T08:45:45.773721+00:00,1780562745.773721,0.00016495399177074432,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,237.4,50.0,0.697,126753.213,0.0,51.1,123.9,
1,2026-06-04T08:45:46.774235+00:00,1780562746.774235,1.0006943859916646,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,237.5,50.0,0.685,126753.213,0.0,51.1,124.1,
2,2026-06-04T08:45:47.773852+00:00,1780562747.773852,2.0003098599991063,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,237.6,50.0,0.689,126753.213,0.0,51.1,124.1,
3,2026-06-04T08:45:48.774303+00:00,1780562748.774303,3.000757108995458,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,237.6,50.0,0.686,126753.213,0.0,51.1,124.1,
4,2026-06-04T08:45:49.773768+00:00,1780562749.773768,4.000222470000153,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.1,237.6,50.0,0.69,126753.213,0.0,51.1,124.0,
5,2026-06-04T08:45:50.773699+00:00,1780562750.773699,5.000152218999574,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.0,237.6,50.0,0.702,126753.429,0.0,51.1,124.1,
6,2026-06-04T08:45:51.774096+00:00,1780562751.774096,6.000553003003006,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,237.5,50.0,0.686,126753.429,0.0,51.1,124.1,
7,2026-06-04T08:45:52.774066+00:00,1780562752.774066,7.000522734000697,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,237.4,50.0,0.685,126753.429,0.0,51.1,124.0,
8,2026-06-04T08:45:53.774236+00:00,1780562753.774236,8.000692685993272,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.5,50.0,0.684,126753.429,0.0,51.1,124.0,
9,2026-06-04T08:45:54.774170+00:00,1780562754.77417,9.000626214998192,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.4,237.4,50.0,0.7,126753.429,0.0,51.1,124.1,
10,2026-06-04T08:45:55.773824+00:00,1780562755.773824,10.000279348998447,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.6,237.3,50.0,0.693,126753.646,0.0,51.1,124.1,
11,2026-06-04T08:45:56.774287+00:00,1780562756.774287,11.000743123993743,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,237.4,50.0,0.686,126753.646,0.0,51.1,124.1,
12,2026-06-04T08:45:57.774231+00:00,1780562757.774231,12.000687147999997,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,237.5,50.0,0.687,126753.646,0.0,51.1,124.0,
13,2026-06-04T08:45:58.773866+00:00,1780562758.773866,13.00032193500374,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.5,50.0,0.684,126753.646,0.0,51.1,124.1,
14,2026-06-04T08:45:59.774007+00:00,1780562759.774007,14.000465217002784,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,154.3,237.6,50.0,0.703,126753.646,0.0,51.1,123.9,
15,2026-06-04T08:46:00.773778+00:00,1780562760.773778,15.000235555999097,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.7,237.5,50.0,0.693,126753.862,0.0,51.1,124.1,
16,2026-06-04T08:46:01.773932+00:00,1780562761.773932,16.000390727000195,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.5,49.9,0.683,126753.862,0.0,51.1,123.9,
17,2026-06-04T08:46:02.774274+00:00,1780562762.774274,17.00072656699922,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.6,49.9,0.684,126753.862,0.0,51.1,124.1,
18,2026-06-04T08:46:03.774096+00:00,1780562763.774096,18.000557634004508,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,237.6,50.0,0.681,126753.862,0.0,51.1,124.1,
19,2026-06-04T08:46:04.773921+00:00,1780562764.773921,19.00038008199772,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.3,237.6,49.9,0.699,126753.862,0.0,51.1,124.1,
20,2026-06-04T08:46:05.774406+00:00,1780562765.774406,20.00086787599139,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.3,237.6,49.9,0.699,126753.862,0.0,51.1,124.0,
21,2026-06-04T08:46:06.774274+00:00,1780562766.774274,21.00073690499994,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.5,237.5,49.9,0.696,126754.078,0.0,51.1,124.1,
22,2026-06-04T08:46:07.774438+00:00,1780562767.774438,22.00090423299116,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,237.5,50.0,0.691,126754.078,0.0,51.1,124.0,
23,2026-06-04T08:46:08.774281+00:00,1780562768.774281,23.00074424999184,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,237.6,49.9,0.687,126754.078,0.0,51.1,124.1,
24,2026-06-04T08:46:09.774322+00:00,1780562769.774322,24.000786636999692,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,237.6,50.0,0.689,126754.078,0.0,51.1,124.1,
25,2026-06-04T08:46:10.774271+00:00,1780562770.774271,25.000729648993,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.7,237.5,50.0,0.701,126754.078,0.0,51.1,124.0,
26,2026-06-04T08:46:11.774190+00:00,1780562771.77419,26.0006427049957,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.5,50.0,0.686,126754.294,0.0,51.1,124.1,
27,2026-06-04T08:46:12.773775+00:00,1780562772.773775,27.000229747995036,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,237.4,50.0,0.682,126754.294,0.0,51.1,124.1,
28,2026-06-04T08:46:13.774260+00:00,1780562773.77426,28.000720843003364,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.4,50.0,0.684,126754.294,0.0,51.2,124.1,
