model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,compose-post-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,home-timeline-redis,primary_application,1,1,17.227272727272727,17.227272727272727,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.007457693821330185,0.007457693821330185,0.0001470939308950319
M1,home-timeline-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,media-frontend,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,media-memcached,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,media-mongodb,primary_application,1,1,195.5,195.5,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.08463203463203463,0.08463203463203463,0.0016692638437454678
M1,media-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,nginx-thrift,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,post-storage-memcached,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,post-storage-mongodb,primary_application,1,1,197.22727272727275,197.22727272727275,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.08537977174340812,0.08537977174340812,0.0016840120478985319
M1,post-storage-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,social-graph-mongodb,primary_application,1,1,196.40909090909093,196.40909090909093,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.08502558048012594,0.08502558048012594,0.001677026056457607
M1,social-graph-redis,primary_application,1,1,9.136363636363635,9.136363636363635,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.003955135773317591,0.003955135773317591,7.80102377569958e-05
M1,social-graph-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,text-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,unique-id-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,url-shorten-memcached,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,url-shorten-mongodb,primary_application,1,1,197.31818181818178,197.31818181818178,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.08541912632821723,0.08541912632821723,0.0016847882691697453
M1,url-shorten-service,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
M1,user-memcached,primary_application,1,1,0.0,0.0,True,low,low,40,120.30121612548828,2310.0,2310.0,19.389326219248563,0.0,5.0,0.0,0.0,0.0
