model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,compose-post-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,home-timeline-redis,primary_application,1,1,4.0,4.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0005053057099545225,0.0005053057099545225,3.487979525167842e-05
M1,home-timeline-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,media-frontend,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,media-memcached,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,media-mongodb,primary_application,1,1,157.59090909090907,157.59090909090907,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.019907896550140105,0.019907896550140105,0.001374184660654194
M1,media-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,nginx-thrift,primary_application,1,1,3.9090909090909083,3.9090909090909083,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0004938214892737378,0.0004938214892737378,3.408707263232209e-05
M1,post-storage-memcached,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,post-storage-mongodb,primary_application,1,1,160.27272727272728,160.27272727272728,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.020246681060223256,0.020246681060223256,0.0013975699779252059
M1,post-storage-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,social-graph-mongodb,primary_application,1,1,160.63636363636368,160.63636363636368,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.020292617942946397,0.020292617942946397,0.0014007408684026314
M1,social-graph-redis,primary_application,1,1,2.4545454545454546,2.4545454545454546,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.00031007395838118427,0.00031007395838118427,2.140351072262085e-05
M1,social-graph-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,text-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,unique-id-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,url-shorten-memcached,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,url-shorten-mongodb,primary_application,1,1,160.13636363636365,160.13636363636365,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.020229454729202078,0.020229454729202078,0.0013963808939961714
M1,url-shorten-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,user-memcached,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,user-mention-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,user-mongodb,primary_application,1,1,158.3181818181818,158.3181818181818,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.019999770315586383,0.019999770315586383,0.0013805264416090447
M1,user-service,primary_application,1,1,0.0,0.0,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.0,0.0,0.0
M1,user-timeline-mongodb,primary_application,1,1,159.1818181818182,159.1818181818182,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.02010887041205384,0.02010887041205384,0.0013880573064929298
M1,user-timeline-redis,primary_application,1,1,2.590909090909091,2.590909090909091,True,medium,medium,150,120.28291511535645,7916.0,7916.0,66.40871786073866,0.0,6.0,0.00032730028940236117,0.00032730028940236117,2.259259465165534e-05
