sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-05T19:09:46.116321+00:00,1778008186.116321,0.00018339999951422215,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.0,237.6,49.9,0.698,19301.324,0.0,47.0,116.5,
1,2026-05-05T19:09:47.116384+00:00,1778008187.116384,1.0002655959688127,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,237.5,49.9,0.689,19301.324,0.0,47.0,116.6,
2,2026-05-05T19:09:48.116444+00:00,1778008188.116444,2.000327027984895,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,237.4,49.9,0.688,19301.324,0.0,47.0,116.5,
3,2026-05-05T19:09:49.116372+00:00,1778008189.116372,3.0002473189961165,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,237.3,49.9,0.683,19301.324,0.0,47.2,117.0,
4,2026-05-05T19:09:50.116350+00:00,1778008190.11635,4.000279937987216,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.1,237.1,49.9,0.696,19301.324,0.0,47.3,117.1,
5,2026-05-05T19:09:51.116378+00:00,1778008191.116378,5.000252549070865,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.2,49.9,0.684,19301.54,0.0,47.3,117.1,
6,2026-05-05T19:09:52.116421+00:00,1778008192.116421,6.00030016200617,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.2,49.9,0.684,19301.54,0.0,47.3,117.1,
7,2026-05-05T19:09:53.116417+00:00,1778008193.116417,7.0002976030809805,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,237.0,49.9,0.686,19301.54,0.0,47.3,117.2,
8,2026-05-05T19:09:54.116433+00:00,1778008194.116433,8.000314929056913,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.1,237.0,49.9,0.696,19301.54,0.0,47.0,116.6,
9,2026-05-05T19:09:55.116492+00:00,1778008195.116492,9.000364448060282,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.9,237.1,49.9,0.694,19301.54,0.0,47.3,117.1,
10,2026-05-05T19:09:56.116349+00:00,1778008196.116349,10.000220320071094,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,237.1,49.9,0.689,19301.756,0.0,47.3,117.1,
11,2026-05-05T19:09:57.116514+00:00,1778008197.116514,11.00038967805449,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,237.3,49.9,0.689,19301.756,0.0,47.3,117.1,
12,2026-05-05T19:09:58.116398+00:00,1778008198.116398,12.000273198005743,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,237.1,49.9,0.688,19301.756,0.0,47.0,116.5,
13,2026-05-05T19:09:59.116400+00:00,1778008199.1164,13.00027688103728,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.8,237.1,49.9,0.694,19301.756,0.0,47.0,116.5,
14,2026-05-05T19:10:00.116495+00:00,1778008200.116495,14.000368116074242,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,237.3,49.9,0.693,19301.756,0.0,47.0,116.6,
15,2026-05-05T19:10:01.116659+00:00,1778008201.116659,15.000533235026523,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,237.0,49.9,0.682,19301.973,0.0,47.0,116.6,
16,2026-05-05T19:10:02.116809+00:00,1778008202.116809,16.000688042026013,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,237.0,49.9,0.684,19301.973,0.0,47.0,116.5,
17,2026-05-05T19:10:03.116563+00:00,1778008203.116563,17.000445089070126,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,237.1,49.9,0.683,19301.973,0.0,47.0,116.5,
18,2026-05-05T19:10:04.116594+00:00,1778008204.116594,18.000469040009193,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,237.1,49.9,0.688,19301.973,0.0,47.2,117.0,
19,2026-05-05T19:10:05.116854+00:00,1778008205.116854,19.00073336297646,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,237.1,49.9,0.689,19301.973,0.0,47.0,116.6,
20,2026-05-05T19:10:06.116991+00:00,1778008206.116991,20.000866101006977,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.0,49.9,0.685,19301.973,0.0,47.0,116.5,
21,2026-05-05T19:10:07.116361+00:00,1778008207.116361,21.00025043799542,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,237.1,49.9,0.683,19302.189,0.0,47.0,116.5,
22,2026-05-05T19:10:08.116343+00:00,1778008208.116343,22.000222436035983,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,237.2,49.9,0.682,19302.189,0.0,47.0,116.5,
23,2026-05-05T19:10:09.116825+00:00,1778008209.116825,23.00070819002576,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.1,237.1,49.9,0.696,19302.189,0.0,47.2,117.0,
24,2026-05-05T19:10:10.116758+00:00,1778008210.116758,24.000636309036054,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.7,236.9,49.9,0.69,19302.189,0.0,47.0,116.5,
25,2026-05-05T19:10:11.116679+00:00,1778008211.116679,25.000555915990844,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,237.0,49.9,0.685,19302.189,0.0,47.0,116.7,
26,2026-05-05T19:10:12.116383+00:00,1778008212.116383,26.000330107053742,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,237.1,49.9,0.685,19302.405,0.0,47.3,117.1,
27,2026-05-05T19:10:13.116309+00:00,1778008213.116309,27.000186642981134,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,237.0,49.9,0.685,19302.405,0.0,47.0,116.5,
28,2026-05-05T19:10:14.116366+00:00,1778008214.116366,28.00023898098152,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,237.0,49.9,0.697,19302.405,0.0,47.0,116.5,
29,2026-05-05T19:10:15.116328+00:00,1778008215.116328,29.000201588030905,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.2,236.8,49.9,0.689,19302.405,0.0,47.0,116.6,
30,2026-05-05T19:10:16.116385+00:00,1778008216.116385,30.000266499002464,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,237.0,49.9,0.686,19302.405,0.0,47.3,117.1,
31,2026-05-05T19:10:17.116385+00:00,1778008217.116385,31.00026494706981,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,237.0,49.9,0.686,19302.405,0.0,47.3,117.1,
32,2026-05-05T19:10:18.116378+00:00,1778008218.116378,32.00024872506037,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.1,49.9,0.684,19302.621,0.0,47.0,116.6,
33,2026-05-05T19:10:19.116363+00:00,1778008219.116363,33.00023708504159,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.5,237.3,49.9,0.681,19302.621,0.0,47.0,116.5,
34,2026-05-05T19:10:20.116372+00:00,1778008220.116372,34.00024638604373,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.5,237.0,49.9,0.694,19302.621,0.0,47.2,117.0,
35,2026-05-05T19:10:21.116701+00:00,1778008221.116701,35.00057781802025,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,236.9,49.9,0.686,19302.621,0.0,47.3,117.1,
36,2026-05-05T19:10:22.116939+00:00,1778008222.116939,36.00081483798567,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,236.9,49.9,0.683,19302.621,0.0,47.3,117.1,
