sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-05T17:47:07.546362+00:00,1778003227.546362,0.0002827509306371212,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,238.4,49.9,0.683,19092.18,0.0,47.3,117.1,
1,2026-05-05T17:47:08.546437+00:00,1778003228.546437,1.000370703986846,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,238.5,49.9,0.685,19092.18,0.0,47.0,116.6,
2,2026-05-05T17:47:09.546222+00:00,1778003229.546222,2.0001534880138934,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.0,238.5,49.9,0.696,19092.18,0.0,47.0,116.6,
3,2026-05-05T17:47:10.546772+00:00,1778003230.546772,3.0007079140050337,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,238.4,49.9,0.682,19092.18,0.0,47.0,116.5,
4,2026-05-05T17:47:11.546258+00:00,1778003231.546258,4.000195718021132,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,238.5,49.9,0.683,19092.396,0.0,47.2,117.0,
5,2026-05-05T17:47:12.546824+00:00,1778003232.546824,5.000760235008784,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.4,238.5,49.9,0.686,19092.396,0.0,47.0,116.6,
6,2026-05-05T17:47:13.546376+00:00,1778003233.546376,6.000311646028422,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.2,238.7,49.9,0.69,19092.396,0.0,47.3,117.1,
7,2026-05-05T17:47:14.546765+00:00,1778003234.546765,7.000700308009982,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,238.6,49.9,0.688,19092.396,0.0,47.3,117.1,
8,2026-05-05T17:47:15.546378+00:00,1778003235.546378,8.000313226948492,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.5,49.9,0.683,19092.396,0.0,47.3,117.1,
9,2026-05-05T17:47:16.546685+00:00,1778003236.546685,9.00061948702205,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.5,49.9,0.684,19092.612,0.0,47.0,116.5,
10,2026-05-05T17:47:17.546607+00:00,1778003237.546607,10.000541546032764,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,238.6,49.9,0.685,19092.612,0.0,47.0,116.6,
11,2026-05-05T17:47:18.546718+00:00,1778003238.546718,11.00066041701939,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,238.6,49.9,0.688,19092.612,0.0,47.3,117.1,
12,2026-05-05T17:47:19.546587+00:00,1778003239.546587,12.000533825019374,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.7,238.5,50.0,0.692,19092.612,0.0,47.0,116.7,
13,2026-05-05T17:47:20.546908+00:00,1778003240.546908,13.000848840922117,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,238.5,49.9,0.681,19092.612,0.0,47.3,117.2,
14,2026-05-05T17:47:21.546662+00:00,1778003241.546662,14.000606235931627,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,238.6,50.0,0.68,19092.829,0.0,47.3,117.1,
15,2026-05-05T17:47:22.546603+00:00,1778003242.546603,15.000552303972654,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,238.9,49.9,0.679,19092.829,0.0,47.3,117.1,
16,2026-05-05T17:47:23.546618+00:00,1778003243.546618,16.00056225399021,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,238.9,50.0,0.681,19092.829,0.0,47.0,116.5,
17,2026-05-05T17:47:24.546690+00:00,1778003244.54669,17.000634426949546,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,238.9,50.0,0.681,19092.829,0.0,47.0,116.5,
18,2026-05-05T17:47:25.546664+00:00,1778003245.546664,18.000611800001934,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,238.8,49.9,0.688,19092.829,0.0,47.0,116.6,
19,2026-05-05T17:47:26.546722+00:00,1778003246.546722,19.000667647924274,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,238.8,49.9,0.683,19092.829,0.0,47.3,117.1,
20,2026-05-05T17:47:27.546534+00:00,1778003247.546534,20.000478793983348,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,238.7,50.0,0.684,19093.045,0.0,47.0,116.5,
21,2026-05-05T17:47:28.546726+00:00,1778003248.546726,21.000671669957228,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,238.9,50.0,0.683,19093.045,0.0,47.3,117.1,
22,2026-05-05T17:47:29.546504+00:00,1778003249.546504,22.00044477893971,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.6,238.9,50.0,0.69,19093.045,0.0,47.2,117.0,
23,2026-05-05T17:47:30.546561+00:00,1778003250.546561,23.000506639946252,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,238.8,49.9,0.684,19093.045,0.0,47.0,116.6,
24,2026-05-05T17:47:31.546968+00:00,1778003251.546968,24.000915055978112,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,238.8,50.0,0.68,19093.045,0.0,47.0,116.5,
25,2026-05-05T17:47:32.546304+00:00,1778003252.546304,25.000233668950386,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.7,238.7,50.0,0.679,19093.261,0.0,47.3,117.1,
26,2026-05-05T17:47:33.546856+00:00,1778003253.546856,26.000800785026513,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.6,238.7,49.9,0.679,19093.261,0.0,47.3,117.1,
27,2026-05-05T17:47:34.546683+00:00,1778003254.546683,27.00062687601894,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,238.7,49.9,0.695,19093.261,0.0,47.2,117.0,
28,2026-05-05T17:47:35.546718+00:00,1778003255.546718,28.000665482948534,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,238.8,49.9,0.685,19093.261,0.0,47.0,116.6,
29,2026-05-05T17:47:36.546704+00:00,1778003256.546704,29.00064746395219,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.7,49.9,0.683,19093.261,0.0,47.0,116.6,
30,2026-05-05T17:47:37.546701+00:00,1778003257.546701,30.00064762297552,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,238.8,49.9,0.684,19093.478,0.0,47.0,116.7,
31,2026-05-05T17:47:38.546616+00:00,1778003258.546616,31.000561530003324,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,238.7,50.0,0.683,19093.478,0.0,47.0,116.6,
32,2026-05-05T17:47:39.546485+00:00,1778003259.546485,32.00042668997776,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,238.7,50.0,0.694,19093.478,0.0,47.3,117.1,
33,2026-05-05T17:47:40.546600+00:00,1778003260.5466,33.00054423394613,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,238.8,50.0,0.681,19093.478,0.0,47.3,117.1,
34,2026-05-05T17:47:41.547088+00:00,1778003261.547088,34.00103062798735,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,238.7,49.9,0.681,19093.478,0.0,47.3,117.1,
35,2026-05-05T17:47:42.546501+00:00,1778003262.546501,35.00044657802209,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.6,238.9,49.9,0.682,19093.478,0.0,47.3,117.1,
36,2026-05-05T17:47:43.546979+00:00,1778003263.546979,36.000923787010834,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,238.9,49.9,0.683,19093.694,0.0,47.0,116.6,
