Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1969,0,15,21.054004948033295,8.984614978544414,1056.7766629392281,10550.309294057897,16.487908357819727,0.0,15,17,18,19,25,40,66,81,1000,1100,1100
POST,/cart,222,0,29,41.48616149197207,17.44165492709726,1135.4940299643204,17803.617117117115,1.8589718920446823,0.0,29,32,34,36,42,54,87,93,1100,1100,1100
POST,/cart/checkout,128,0,16,18.813130651324173,10.822626994922757,122.13240296114236,6804.6796875,1.0718396494672042,0.0,16,17,18,18,22,42,64,75,120,120,120
GET,/product/0PUK6V6EV0,24,0,12,14.855596561877368,8.085770066827536,59.92892698850483,8017.166666666667,0.2009699342751008,0.0,12,13,16,17,18,27,60,60,60,60,60
GET,/product/1YMWWN1N4O,32,0,12,16.96456216086517,9.429228957742453,107.94953093864024,8022.96875,0.26795991236680106,0.0,12,15,18,18,21,28,110,110,110,110,110
GET,/product/2ZYFJ3GM2N,38,0,11,14.227600100352184,9.521892061457038,65.90833410155028,8027.0526315789475,0.31820239593557625,0.0,12,12,14,15,17,39,66,66,66,66,66
GET,/product/66VCHSJNUP,27,0,12,13.742650251111222,8.208947023376822,29.83601193409413,7978.888888888889,0.2260911760594884,0.0,12,13,14,16,22,23,30,30,30,30,30
GET,/product/6E92ZMYYFZ,26,0,11,13.630248077858527,8.92182590905577,66.7922729626298,7974.576923076923,0.21771742879802586,0.0,11,12,13,14,14,16,67,67,67,67,67
GET,/product/9SIQT8TOJO,40,0,12,13.107168491114862,9.476484963670373,21.03707194328308,8041.275,0.3349498904585013,0.0,12,14,14,15,18,21,21,21,21,21,21
GET,/product/L9ECAV7KIM,41,0,13,16.082334193037596,7.9093839740380645,95.29562504030764,8002.536585365854,0.3433236377199639,0.0,13,15,16,16,21,24,95,95,95,95,95
GET,/product/LS4PSXUNUM,36,0,11,12.385423560368103,7.710587000474334,25.217948015779257,8006.805555555556,0.3014549014126512,0.0,11,13,14,15,16,20,25,25,25,25,25
GET,/product/OLJCESPC7Z,33,0,13,15.973656875730464,10.329423006623983,41.41803306993097,8021.30303030303,0.2763336596282636,0.0,13,14,16,17,30,38,41,41,41,41,41
,Aggregated,2616,0,15,21.940175764964373,7.710587000474334,1135.4940299643204,10694.422018348623,21.905722835985987,0.0,15,17,19,21,30,42,66,83,1100,1100,1100
