model_variant,entity_name,raw_entity_name,container_id,pod_name,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,0.9370390382858907,0.9370390382858907,0.0,0.9370390382858907,0.007812618029507097,0.00856060000000153,0.006503882171107747,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.017010823291,1.017010823291,0.0,1.017010823291,0.008461510191883785,0.009541851501708663,0.00724318181818262,25.0,False,False
M1,coredns,coredns,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.3263423067948512,0.3263423067948512,0.0,0.3263423067948512,0.002713427349711869,0.003475201803506886,0.0019305141444257488,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,5.876910197413162,5.876910197413162,0.0,5.876910197413162,0.0489150343245601,0.05504021525707797,0.04283818181819366,25.0,False,False
M1,kepler,kepler,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.4058041144041256,3.4058041144041256,0.0,3.4058041144041256,0.028411711076821788,0.03206983128499906,0.02248139864717706,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,local-path-provisioner,local-path-provisioner,,,,local-path-provisioner,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.015850147963984953,0.015850147963984953,0.0,0.015850147963984953,0.00013425955037612384,0.0003729793617602423,0.0,25.0,False,False
M1,metrics-server,metrics-server,,,,metrics-server,platform_observability,builtin_group,0.95,builtin_platform_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.4088214187967334,0.4088214187967334,0.0,0.4088214187967334,0.003412964630862615,0.0040789397134773624,0.0027177067423074476,25.0,False,False
M1,nginx,nginx,,,,nginx,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,traefik,traefik,,,,traefik,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.06481698328612637,0.06481698328612637,0.0,0.06481698328612637,0.0005485140496938564,0.0010682727272727536,0.00011146462075481984,25.0,False,False
M2,cadvisor,cadvisor,,,,cadvisor,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,cpu_by_container.json,container_cpu_usage_seconds_total,,4.4938514217167045,0.0,4.4938514217167045,0.03746658196291364,0.039215152521130725,0.035655818946234125,25.0,False,False
M2,node-exporter,node-exporter,,,,node-exporter,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,cpu_by_container.json,container_cpu_usage_seconds_total,,0.7923845075569383,0.0,0.7923845075569383,0.006594726829930503,0.0070558255897055205,0.006069363736664141,25.0,False,False
M2,prometheus,prometheus,,,,prometheus,unknown,ignored_pattern,0.6,ignore_pattern:(^|/)prometheus($|[-/]),source_label,0.9,raw_label,resolved,True,cpu_by_container.json,container_cpu_usage_seconds_total,,0.7518265153427687,0.0,0.7518265153427687,0.0062889068731934875,0.007005020512909449,0.005729791498842403,25.0,False,False
