Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3848,0,15,22.782785154008035,8.610820979811251,1149.8151069972664,10543.305873180872,32.19012990431459,0.0,15,17,18,20,26,43,72,170,1100,1100,1100
POST,/cart,375,0,28,35.84851224782566,15.193589963018894,1145.2590649714693,17592.533333333333,3.137031890363298,0.0,28,32,35,37,44,60,90,170,1100,1100,1100
POST,/cart/checkout,220,0,16,21.74590165959671,10.69180597551167,501.6919909976423,6805.940909090909,1.8403920423464681,0.0,16,18,20,22,29,45,63,80,500,500,500
GET,/product/0PUK6V6EV0,73,0,12,14.95547716550478,7.462620967999101,93.76922808587551,7986.109589041096,0.6106755413240553,0.0,12,13,14,15,18,21,83,94,94,94,94
GET,/product/1YMWWN1N4O,79,0,12,14.043831552343466,8.149242028594017,67.88669899106026,8019.835443037975,0.660868051569868,0.0,12,13,14,14,18,29,46,68,68,68,68
GET,/product/2ZYFJ3GM2N,80,0,12,16.524310574459378,7.70465808454901,105.0456459634006,8022.7875,0.6692334699441702,0.0,12,14,16,18,23,50,84,110,110,110,110
GET,/product/66VCHSJNUP,74,0,12,14.447468118993816,7.494988036341965,90.2975540375337,7991.824324324324,0.6190409596983575,0.0,12,13,14,15,16,20,80,90,90,90,90
GET,/product/6E92ZMYYFZ,72,0,12,14.559881632319755,7.361202035099268,50.26931397151202,7969.361111111111,0.6023101229497532,0.0,12,13,14,16,23,37,43,50,50,50,50
GET,/product/9SIQT8TOJO,61,0,12,15.264019621994164,8.252247935160995,67.88103398866951,8026.88524590164,0.5102905208324298,0.0,12,13,14,15,21,44,52,68,68,68,68
GET,/product/L9ECAV7KIM,77,0,12,12.937281193066534,7.899518008343875,39.75523996632546,7993.493506493506,0.6441372148212638,0.0,12,13,14,14,17,19,26,40,40,40,40
GET,/product/LS4PSXUNUM,81,0,11,14.824041339315842,7.50994891859591,92.0371349202469,7983.111111111111,0.6775988883184724,0.0,11,13,15,17,21,23,76,92,92,92,92
GET,/product/OLJCESPC7Z,69,0,12,21.892170409968905,7.718708016909659,202.6210769545287,8013.594202898551,0.5772138678268468,0.0,12,17,19,20,59,81,87,200,200,200,200
,Aggregated,5109,0,15,22.739207707233376,7.361202035099268,1149.8151069972664,10568.295556860443,42.73892247430957,0.0,15,17,20,22,31,45,74,150,610,1100,1100
