sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-05T18:55:59.683228+00:00,1778007359.683228,0.0003747630398720503,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,239.8,49.9,0.684,19266.286,0.0,47.2,117.0,
1,2026-05-05T18:56:00.683408+00:00,1778007360.683408,1.0005781169747934,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,239.8,49.9,0.684,19266.286,0.0,47.0,116.5,
2,2026-05-05T18:56:01.683478+00:00,1778007361.683478,2.000645856023766,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,239.9,49.9,0.681,19266.286,0.0,47.3,117.1,
3,2026-05-05T18:56:02.683494+00:00,1778007362.683494,3.0006637800252065,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,239.9,49.9,0.679,19266.502,0.0,47.3,117.1,
4,2026-05-05T18:56:03.683394+00:00,1778007363.683394,4.000562125002034,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,239.8,49.9,0.68,19266.502,0.0,47.3,117.1,
5,2026-05-05T18:56:04.683031+00:00,1778007364.683031,5.000192078994587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,239.9,49.9,0.692,19266.502,0.0,47.0,116.6,
6,2026-05-05T18:56:05.683457+00:00,1778007365.683457,6.000624350970611,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,240.0,49.9,0.685,19266.502,0.0,47.3,117.1,
7,2026-05-05T18:56:06.683248+00:00,1778007366.683248,7.000416159979068,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,240.0,49.9,0.678,19266.502,0.0,47.3,117.1,
8,2026-05-05T18:56:07.683235+00:00,1778007367.683235,8.000402517034672,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.9,240.0,49.9,0.687,19266.719,0.0,47.3,117.1,
9,2026-05-05T18:56:08.683377+00:00,1778007368.683377,9.000545763992704,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,239.9,49.9,0.681,19266.719,0.0,47.3,117.1,
10,2026-05-05T18:56:09.683294+00:00,1778007369.683294,10.00046267802827,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.0,239.9,49.9,0.69,19266.719,0.0,47.0,116.5,
11,2026-05-05T18:56:10.683385+00:00,1778007370.683385,11.000550157972611,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,239.9,49.9,0.68,19266.719,0.0,47.3,117.1,
12,2026-05-05T18:56:11.683660+00:00,1778007371.68366,12.000824489980005,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,239.9,49.9,0.679,19266.719,0.0,47.0,116.5,
13,2026-05-05T18:56:12.683346+00:00,1778007372.683346,13.000513892038725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,239.9,49.9,0.679,19266.719,0.0,47.0,116.5,
14,2026-05-05T18:56:13.683807+00:00,1778007373.683807,14.000976087059826,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.9,239.9,49.9,0.682,19266.935,0.0,47.0,116.7,
15,2026-05-05T18:56:14.683361+00:00,1778007374.683361,15.000528368051164,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,239.9,49.9,0.693,19266.935,0.0,47.0,116.6,
16,2026-05-05T18:56:15.683355+00:00,1778007375.683355,16.00052478699945,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,239.8,49.9,0.679,19266.935,0.0,47.0,116.5,
17,2026-05-05T18:56:16.683499+00:00,1778007376.683499,17.000668416032568,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,239.9,49.9,0.68,19266.935,0.0,47.3,117.1,
18,2026-05-05T18:56:17.683483+00:00,1778007377.683483,18.000649222987704,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,239.9,49.9,0.681,19266.935,0.0,47.3,117.1,
19,2026-05-05T18:56:18.683657+00:00,1778007378.683657,19.000828530057333,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,240.0,49.9,0.68,19267.151,0.0,47.0,116.5,
20,2026-05-05T18:56:19.683386+00:00,1778007379.683386,20.00055631401483,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.1,240.0,50.0,0.694,19267.151,0.0,47.0,116.6,
21,2026-05-05T18:56:20.683467+00:00,1778007380.683467,21.000630959984846,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,239.9,49.9,0.682,19267.151,0.0,47.0,116.5,
22,2026-05-05T18:56:21.683512+00:00,1778007381.683512,22.000720962998457,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.5,240.0,49.9,0.676,19267.151,0.0,47.0,116.7,
23,2026-05-05T18:56:22.683435+00:00,1778007382.683435,23.000602736952715,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,240.0,49.9,0.679,19267.151,0.0,47.0,116.5,
24,2026-05-05T18:56:23.683036+00:00,1778007383.683036,24.000193609041162,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.9,240.0,49.9,0.678,19267.368,0.0,47.2,117.0,
25,2026-05-05T18:56:24.683364+00:00,1778007384.683364,25.000533947953954,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.5,240.1,49.9,0.684,19267.368,0.0,47.0,116.5,
26,2026-05-05T18:56:25.683451+00:00,1778007385.683451,26.000618327991106,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,240.0,49.9,0.68,19267.368,0.0,47.0,116.5,
27,2026-05-05T18:56:26.683633+00:00,1778007386.683633,27.00079668604303,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,240.1,49.9,0.678,19267.368,0.0,47.3,117.1,
28,2026-05-05T18:56:27.683383+00:00,1778007387.683383,28.000552201992832,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,240.0,49.9,0.682,19267.368,0.0,47.0,116.6,
29,2026-05-05T18:56:28.683487+00:00,1778007388.683487,29.000654447008856,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.8,240.1,49.9,0.692,19267.584,0.0,47.3,117.1,
30,2026-05-05T18:56:29.683334+00:00,1778007389.683334,30.000498514971696,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.4,240.0,49.9,0.687,19267.584,0.0,46.9,116.5,
31,2026-05-05T18:56:30.683938+00:00,1778007390.683938,31.001100444002077,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,240.0,49.9,0.679,19267.584,0.0,47.0,116.5,
32,2026-05-05T18:56:31.683382+00:00,1778007391.683382,32.000552247976884,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.7,239.9,49.9,0.681,19267.584,0.0,47.2,117.0,
33,2026-05-05T18:56:32.683648+00:00,1778007392.683648,33.00081157498062,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,239.9,49.9,0.678,19267.584,0.0,47.2,117.0,
34,2026-05-05T18:56:33.683430+00:00,1778007393.68343,34.00059712002985,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.3,240.0,49.9,0.687,19267.8,0.0,47.3,117.1,
35,2026-05-05T18:56:34.683443+00:00,1778007394.683443,35.00061018997803,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.2,240.1,49.9,0.69,19267.8,0.0,47.0,116.6,
36,2026-05-05T18:56:35.683381+00:00,1778007395.683381,36.000550872064196,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.0,240.0,49.9,0.678,19267.8,0.0,47.0,116.5,
37,2026-05-05T18:56:36.683826+00:00,1778007396.683826,37.000992894987576,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,240.0,49.9,0.676,19267.8,0.0,47.2,117.0,
38,2026-05-05T18:56:37.683357+00:00,1778007397.683357,38.00052493996918,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.3,240.0,49.9,0.676,19267.8,0.0,47.0,116.6,
39,2026-05-05T18:56:38.683372+00:00,1778007398.683372,39.0005337119801,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.1,240.0,49.9,0.678,19267.8,0.0,47.3,117.1,
40,2026-05-05T18:56:39.683327+00:00,1778007399.683327,40.00049606501125,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.5,240.1,49.9,0.696,19268.016,0.0,47.3,117.1,
41,2026-05-05T18:56:40.683471+00:00,1778007400.683471,41.00063840497751,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,240.0,49.9,0.685,19268.016,0.0,47.0,116.5,
42,2026-05-05T18:56:41.683297+00:00,1778007401.683297,42.00046362297144,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,240.0,49.9,0.68,19268.016,0.0,47.0,116.5,
43,2026-05-05T18:56:42.683224+00:00,1778007402.683224,43.000383979058824,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,240.0,49.9,0.678,19268.016,0.0,47.3,117.1,
44,2026-05-05T18:56:43.683075+00:00,1778007403.683075,44.00023881404195,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,240.2,49.9,0.681,19268.016,0.0,47.3,117.1,
45,2026-05-05T18:56:44.683077+00:00,1778007404.683077,45.000238365959376,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.6,240.1,49.9,0.696,19268.233,0.0,47.0,116.5,
46,2026-05-05T18:56:45.683537+00:00,1778007405.683537,46.00078111398034,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,151.0,240.1,49.9,0.686,19268.233,0.0,47.3,117.1,
47,2026-05-05T18:56:46.683349+00:00,1778007406.683349,47.00050532701425,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,240.1,49.9,0.679,19268.233,0.0,47.3,117.1,
48,2026-05-05T18:56:47.683152+00:00,1778007407.683152,48.00031058106106,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.3,240.0,49.9,0.679,19268.233,0.0,47.2,117.0,
49,2026-05-05T18:56:48.683313+00:00,1778007408.683313,49.000470326980576,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.5,240.1,49.9,0.68,19268.233,0.0,47.3,117.1,
50,2026-05-05T18:56:49.683186+00:00,1778007409.683186,50.00034671998583,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.5,240.0,49.9,0.691,19268.449,0.0,47.3,117.1,
51,2026-05-05T18:56:50.683419+00:00,1778007410.683419,51.000578467035666,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.4,240.0,49.9,0.68,19268.449,0.0,47.3,117.1,
52,2026-05-05T18:56:51.683434+00:00,1778007411.683434,52.00059120403603,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,148.8,240.0,49.9,0.677,19268.449,0.0,47.0,116.5,
