sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-20T13:12:49.180101+00:00,1779282769.180101,0.00016916199820116162,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.3,238.4,49.9,0.73,74213.137,0.0,49.1,120.4,
1,2026-05-20T13:12:50.180184+00:00,1779282770.180184,1.0002719520125538,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,238.3,49.9,0.724,74213.137,0.0,49.2,120.5,
2,2026-05-20T13:12:51.180351+00:00,1779282771.180351,2.0004377019940875,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,238.4,49.9,0.727,74213.137,0.0,49.2,120.6,
3,2026-05-20T13:12:52.180297+00:00,1779282772.180297,3.000385355000617,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,238.4,49.9,0.727,74213.137,0.0,49.2,120.6,
4,2026-05-20T13:12:53.180221+00:00,1779282773.180221,4.000308026996208,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,238.5,49.9,0.721,74213.354,0.0,49.2,120.5,
5,2026-05-20T13:12:54.180277+00:00,1779282774.180277,5.000358346995199,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.1,238.2,49.9,0.741,74213.354,0.0,49.2,120.5,
6,2026-05-20T13:12:55.180192+00:00,1779282775.180192,6.000273204990663,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,238.6,49.9,0.724,74213.354,0.0,49.2,120.5,
7,2026-05-20T13:12:56.180170+00:00,1779282776.18017,7.000251333985943,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.0,238.5,49.9,0.732,74213.354,0.0,49.1,120.4,
8,2026-05-20T13:12:57.180295+00:00,1779282777.180295,8.000376551994123,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.9,238.4,49.9,0.715,74213.57,0.0,49.2,120.6,
9,2026-05-20T13:12:58.180220+00:00,1779282778.18022,9.000300899991998,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.7,238.5,49.9,0.731,74213.57,0.0,49.2,120.6,
10,2026-05-20T13:12:59.180236+00:00,1779282779.180236,10.000317616009852,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,238.3,49.9,0.721,74213.57,0.0,48.9,120.0,
11,2026-05-20T13:13:00.180197+00:00,1779282780.180197,11.000283939996734,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,238.3,49.9,0.729,74213.57,0.0,49.1,120.4,
12,2026-05-20T13:13:01.180136+00:00,1779282781.180136,12.000215597014176,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,238.4,49.9,0.722,74213.57,0.0,49.2,120.5,
13,2026-05-20T13:13:02.180167+00:00,1779282782.180167,13.00024724000832,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.7,238.4,49.9,0.715,74213.786,0.0,49.1,120.4,
14,2026-05-20T13:13:03.180081+00:00,1779282783.180081,14.000157678994583,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,173.8,238.5,49.9,0.777,74213.786,0.0,49.2,120.5,
15,2026-05-20T13:13:04.180150+00:00,1779282784.18015,15.000233689992456,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,174.2,238.5,49.9,0.78,74213.786,0.0,49.1,120.4,
16,2026-05-20T13:13:05.180229+00:00,1779282785.180229,16.000308918999508,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,238.7,49.9,0.726,74213.786,0.0,49.2,120.6,
17,2026-05-20T13:13:06.180192+00:00,1779282786.180192,17.00027167898952,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.9,238.4,49.9,0.73,74213.786,0.0,49.1,120.4,
