sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-20T11:53:35.056970+00:00,1779278015.05697,0.0003404669987503439,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.4,236.8,50.0,0.732,74003.345,0.0,48.9,120.0,
1,2026-05-20T11:53:36.056967+00:00,1779278016.056967,1.0003526310028974,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.2,236.8,49.9,0.723,74003.345,0.0,49.1,120.3,
2,2026-05-20T11:53:37.056964+00:00,1779278017.056964,2.0003484890039545,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.8,236.3,50.0,0.727,74003.345,0.0,48.8,119.8,
3,2026-05-20T11:53:38.056946+00:00,1779278018.056946,3.0003305449790787,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.1,236.6,50.0,0.746,74003.345,0.0,49.1,120.4,
4,2026-05-20T11:53:39.057005+00:00,1779278019.057005,4.000391715992009,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.7,236.7,50.0,0.749,74003.561,0.0,48.8,119.9,
5,2026-05-20T11:53:40.057179+00:00,1779278020.057179,5.000561963999644,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,236.6,50.0,0.724,74003.561,0.0,48.9,120.0,
6,2026-05-20T11:53:41.057358+00:00,1779278021.057358,6.0007435089792125,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.5,236.6,50.0,0.729,74003.561,0.0,48.8,119.9,
7,2026-05-20T11:53:42.056782+00:00,1779278022.056782,7.000162354990607,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.6,236.7,49.9,0.721,74003.561,0.0,48.8,119.9,
8,2026-05-20T11:53:43.056806+00:00,1779278023.056806,8.000187533994904,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.2,236.8,50.0,0.743,74003.561,0.0,49.1,120.4,
9,2026-05-20T11:53:44.057018+00:00,1779278024.057018,9.000396052986616,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,236.6,50.0,0.729,74003.777,0.0,48.9,120.0,
10,2026-05-20T11:53:45.056903+00:00,1779278025.056903,10.000287449976895,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.7,236.3,49.9,0.742,74003.777,0.0,48.8,119.9,
11,2026-05-20T11:53:46.056840+00:00,1779278026.05684,11.000222339993343,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.7,236.5,50.0,0.722,74003.777,0.0,48.9,120.0,
12,2026-05-20T11:53:47.056977+00:00,1779278027.056977,12.00036004098365,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,236.3,49.9,0.728,74003.777,0.0,48.8,119.9,
13,2026-05-20T11:53:48.057314+00:00,1779278028.057314,13.000699419993907,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.3,236.4,50.0,0.732,74003.994,0.0,48.9,120.0,
14,2026-05-20T11:53:49.057292+00:00,1779278029.057292,14.000675574003253,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,236.5,49.9,0.73,74003.994,0.0,48.9,120.0,
15,2026-05-20T11:53:50.056797+00:00,1779278030.056797,15.00017985800514,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.6,236.9,50.0,0.724,74003.994,0.0,48.8,119.9,
16,2026-05-20T11:53:51.056793+00:00,1779278031.056793,16.000176212983206,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.7,236.9,50.0,0.737,74003.994,0.0,49.1,120.4,
17,2026-05-20T11:53:52.056917+00:00,1779278032.056917,17.000300579995383,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.7,236.9,50.0,0.733,74003.994,0.0,48.8,119.9,
18,2026-05-20T11:53:53.057008+00:00,1779278033.057008,18.000394061993575,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.6,237.0,49.9,0.744,74004.21,0.0,49.1,120.3,
19,2026-05-20T11:53:54.057085+00:00,1779278034.057085,19.00046695698984,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,164.6,237.0,49.9,0.744,74004.21,0.0,48.8,119.8,
20,2026-05-20T11:53:55.057653+00:00,1779278035.057653,20.001050674996804,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.9,237.0,50.0,0.717,74004.21,0.0,48.8,119.9,
21,2026-05-20T11:53:56.057341+00:00,1779278036.057341,21.0007271389768,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,237.0,50.0,0.727,74004.21,0.0,49.1,120.3,
22,2026-05-20T11:53:57.057329+00:00,1779278037.057329,22.00071185900015,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,171.8,236.9,49.9,0.772,74004.21,0.0,48.8,119.9,
23,2026-05-20T11:53:58.056987+00:00,1779278038.056987,23.00037123297807,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,170.8,236.4,50.0,0.769,74004.21,0.0,48.9,120.0,
24,2026-05-20T11:53:59.057169+00:00,1779278039.057169,24.000555829989025,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.6,236.7,50.0,0.737,74004.426,0.0,48.9,120.0,
25,2026-05-20T11:54:00.057029+00:00,1779278040.057029,25.000417082977947,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,236.7,49.9,0.729,74004.426,0.0,48.9,120.0,
26,2026-05-20T11:54:01.057232+00:00,1779278041.057232,26.000614321994362,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.7,236.8,50.0,0.721,74004.426,0.0,48.9,120.1,
27,2026-05-20T11:54:02.057285+00:00,1779278042.057285,27.000672316993587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,236.8,49.9,0.727,74004.426,0.0,49.1,120.4,
28,2026-05-20T11:54:03.056950+00:00,1779278043.05695,28.000332419993356,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,167.0,236.9,49.9,0.755,74004.642,0.0,49.1,120.4,
29,2026-05-20T11:54:04.057322+00:00,1779278044.057322,29.000708498992026,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.6,236.9,50.0,0.732,74004.642,0.0,48.8,119.9,
30,2026-05-20T11:54:05.057249+00:00,1779278045.057249,30.00063347799005,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.9,237.0,49.9,0.718,74004.642,0.0,48.9,120.0,
31,2026-05-20T11:54:06.057311+00:00,1779278046.057311,31.000693723995937,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.1,237.0,50.0,0.718,74004.642,0.0,49.1,120.4,
32,2026-05-20T11:54:07.057154+00:00,1779278047.057154,32.00053884400404,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.4,236.9,49.9,0.732,74004.642,0.0,49.1,120.4,
33,2026-05-20T11:54:08.056949+00:00,1779278048.056949,33.000330344977556,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,166.5,236.9,50.0,0.751,74004.859,0.0,49.1,120.3,
34,2026-05-20T11:54:09.057064+00:00,1779278049.057064,34.00044587798766,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.1,237.0,49.9,0.73,74004.859,0.0,49.1,120.4,
35,2026-05-20T11:54:10.057473+00:00,1779278050.057473,35.00086313497741,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,237.0,49.9,0.724,74004.859,0.0,48.8,119.9,
36,2026-05-20T11:54:11.057519+00:00,1779278051.057519,36.00091163898469,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.7,237.0,49.9,0.729,74004.859,0.0,49.1,120.4,
37,2026-05-20T11:54:12.057141+00:00,1779278052.057141,37.00053299497813,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.5,236.9,49.9,0.728,74004.859,0.0,49.1,120.4,
38,2026-05-20T11:54:13.057131+00:00,1779278053.057131,38.00052370497724,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.4,237.0,49.9,0.74,74005.075,0.0,49.1,120.4,
39,2026-05-20T11:54:14.057055+00:00,1779278054.057055,39.000442688004114,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.4,237.1,49.9,0.719,74005.075,0.0,48.8,119.9,
40,2026-05-20T11:54:15.056816+00:00,1779278055.056816,40.00020147598116,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,237.2,49.9,0.727,74005.075,0.0,48.9,120.0,
41,2026-05-20T11:54:16.056939+00:00,1779278056.056939,41.00036262499634,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.0,237.2,50.0,0.721,74005.075,0.0,49.1,120.3,
42,2026-05-20T11:54:17.056792+00:00,1779278057.056792,42.00016921799397,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.6,237.1,49.9,0.733,74005.291,0.0,48.9,120.0,
43,2026-05-20T11:54:18.056867+00:00,1779278058.056867,43.00024509898503,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.9,237.0,50.0,0.737,74005.291,0.0,49.1,120.4,
44,2026-05-20T11:54:19.056886+00:00,1779278059.056886,44.00026547498419,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.5,237.1,49.9,0.732,74005.291,0.0,48.9,120.0,
45,2026-05-20T11:54:20.056802+00:00,1779278060.056802,45.00017998399562,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,237.1,50.0,0.727,74005.291,0.0,48.8,119.9,
46,2026-05-20T11:54:21.056860+00:00,1779278061.05686,46.000240667985054,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.3,237.0,49.9,0.739,74005.291,0.0,48.9,120.1,
47,2026-05-20T11:54:22.056828+00:00,1779278062.056828,47.0002073450014,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.5,237.1,50.0,0.724,74005.508,0.0,48.9,120.0,
48,2026-05-20T11:54:23.056829+00:00,1779278063.056829,48.000209052988794,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.6,237.1,50.0,0.741,74005.508,0.0,49.1,120.4,
49,2026-05-20T11:54:24.056854+00:00,1779278064.056854,49.0002347289992,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.4,237.0,50.0,0.727,74005.508,0.0,49.2,120.5,
50,2026-05-20T11:54:25.056883+00:00,1779278065.056883,50.00026194899692,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.3,237.0,49.9,0.732,74005.508,0.0,49.1,120.4,
