model_variant,entity_name,raw_entity_name,container_id,pod_name,deployment_name,service_name,service_group,match_status,confidence,provenance,mapping_provenance,mapping_confidence,identity_type,resolution_status,ignored,source_artifact,source_metric,raw_energy_joules,raw_metric_value,allocated_energy_joules,weight_value,series_mean,series_max,series_min,sample_count,inactive_entity,zero_activity
M1,616729ff1464,616729ff1464,616729ff1464,,,616729ff1464,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.024355149948853,1.024355149948853,0.0,1.024355149948853,0.00857030992686439,0.010004217875021383,0.007214781818166474,25.0,False,False
M1,7f47bd3743e5,7f47bd3743e5,7f47bd3743e5,,,7f47bd3743e5,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,1.053813375815826,1.053813375815826,0.0,1.053813375815826,0.008777074279254561,0.009639890909060837,0.007894927272735167,25.0,False,False
M1,coredns,coredns,,,,coredns,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.27098093261798006,0.27098093261798006,0.0,0.27098093261798006,0.002262669642761527,0.0026255636363657687,0.0017388181818370702,25.0,False,False
M1,d76bae99d79e,d76bae99d79e,d76bae99d79e,,,d76bae99d79e,unknown,unknown,0.0,unmapped,raw,0.2,short_container_id_candidate,unresolved,False,energy.json,kepler_container_cpu_joules_total,6.3353537659230295,6.3353537659230295,0.0,6.3353537659230295,0.05289472103646751,0.05780801818178919,0.0448203454545199,25.0,False,False
M1,kepler,kepler,,,,kepler,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,3.763376583909789,3.763376583909789,0.0,3.763376583909789,0.03140698139855858,0.03401825321803402,0.027600836363820814,25.0,False,False
M1,lb-tcp-443,lb-tcp-443,,,,lb-tcp-443,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,lb-tcp-80,lb-tcp-80,,,,lb-tcp-80,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,local-path-provisioner,local-path-provisioner,,,,local-path-provisioner,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.012277427422971802,0.012277427422971802,0.0,0.012277427422971802,0.00010289651029285699,0.00023387155429444067,0.0,25.0,False,False
M1,metrics-server,metrics-server,,,,metrics-server,platform_observability,builtin_group,0.95,builtin_platform_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.4424268902478923,0.4424268902478923,0.0,0.4424268902478923,0.0036975093038011902,0.004140200000002055,0.0030836909090918526,25.0,False,False
M1,nginx,nginx,,,,nginx,unknown,unknown,0.0,unmapped,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,True
M1,traefik,traefik,,,,traefik,kubernetes_system,builtin_group,0.95,builtin_system_service,source_label,0.9,raw_label,resolved,False,energy.json,kepler_container_cpu_joules_total,0.0691748244442758,0.0691748244442758,0.0,0.0691748244442758,0.0005731920500996679,0.0007200160011644602,0.0,25.0,False,False
M2,cadvisor,cadvisor,,,,cadvisor,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,cpu_by_container.json,container_cpu_usage_seconds_total,,4.578212851699263,0.0,4.578212851699263,0.038162754853298717,0.03987108149016937,0.03610032107055265,25.0,False,False
M2,node-exporter,node-exporter,,,,node-exporter,measurement_infrastructure,builtin_group,0.95,builtin_measurement_service,source_label,0.9,raw_label,resolved,False,cpu_by_container.json,container_cpu_usage_seconds_total,,0.8045490966803021,0.0,0.8045490966803021,0.006724767293753834,0.007315088757414658,0.006159829406972548,25.0,False,False
M2,prometheus,prometheus,,,,prometheus,unknown,ignored_pattern,0.6,ignore_pattern:(^|/)prometheus($|[-/]),source_label,0.9,raw_label,resolved,True,cpu_by_container.json,container_cpu_usage_seconds_total,,0.7675477997133734,0.0,0.7675477997133734,0.006415907455199691,0.006934587232491212,0.005969485003221378,25.0,False,False
