sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-20T12:37:00.116031+00:00,1779280620.116031,0.00019389798399060965,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.6,236.9,49.9,0.729,74118.19,0.0,49.2,120.5,
1,2026-05-20T12:37:01.116154+00:00,1779280621.116154,1.0003369959886186,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.0,237.0,49.9,0.73,74118.19,0.0,49.2,120.6,
2,2026-05-20T12:37:02.116017+00:00,1779280622.116017,2.0001887919788714,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.9,236.9,49.9,0.738,74118.406,0.0,49.1,120.4,
3,2026-05-20T12:37:03.116182+00:00,1779280623.116182,3.0003600159834605,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,162.4,237.2,49.9,0.735,74118.406,0.0,49.2,120.6,
4,2026-05-20T12:37:04.116054+00:00,1779280624.116054,4.0002297470055055,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,166.5,237.1,49.9,0.751,74118.406,0.0,49.2,120.6,
5,2026-05-20T12:37:05.116370+00:00,1779280625.11637,5.000553431978915,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.9,237.2,50.0,0.762,74118.406,0.0,49.2,120.6,
6,2026-05-20T12:37:06.116471+00:00,1779280626.116471,6.000648504996207,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.2,237.4,50.0,0.73,74118.406,0.0,49.2,120.6,
7,2026-05-20T12:37:07.116339+00:00,1779280627.116339,7.000515203981195,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.8,237.4,50.0,0.728,74118.623,0.0,49.2,120.6,
8,2026-05-20T12:37:08.116177+00:00,1779280628.116177,8.0003544309875,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.1,237.4,50.0,0.726,74118.623,0.0,49.2,120.6,
9,2026-05-20T12:37:09.116447+00:00,1779280629.116447,9.000626114982879,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,157.9,237.2,49.9,0.717,74118.623,0.0,49.2,120.6,
10,2026-05-20T12:37:10.116655+00:00,1779280630.116655,10.00084313499974,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.9,236.9,49.9,0.73,74118.623,0.0,49.2,120.5,
11,2026-05-20T12:37:11.116421+00:00,1779280631.116421,11.000600925995968,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.2,237.0,49.9,0.719,74118.623,0.0,49.2,120.6,
12,2026-05-20T12:37:12.116540+00:00,1779280632.11654,12.000725393998437,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,163.1,237.0,49.9,0.722,74118.839,0.0,49.2,120.6,
13,2026-05-20T12:37:13.116540+00:00,1779280633.11654,13.000718551978935,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.0,237.3,50.0,0.725,74118.839,0.0,49.1,120.4,
14,2026-05-20T12:37:14.116171+00:00,1779280634.116171,14.000349085981725,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,161.3,237.0,49.9,0.731,74118.839,0.0,49.1,120.4,
15,2026-05-20T12:37:15.116155+00:00,1779280635.116155,15.00033228599932,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,158.9,237.2,49.9,0.721,74118.839,0.0,49.2,120.5,
16,2026-05-20T12:37:16.116633+00:00,1779280636.116633,16.000812750979094,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,160.2,237.2,49.9,0.726,74119.055,0.0,49.1,120.4,
17,2026-05-20T12:37:17.116212+00:00,1779280637.116212,17.0003920320014,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.3,237.3,49.9,0.722,74119.055,0.0,49.2,120.5,
18,2026-05-20T12:37:18.116511+00:00,1779280638.116511,18.000689526990755,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,165.3,237.3,49.9,0.746,74119.055,0.0,49.1,120.4,
19,2026-05-20T12:37:19.116102+00:00,1779280639.116102,19.000280092004687,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,159.7,237.2,49.9,0.724,74119.055,0.0,49.2,120.6,
