sample_index,timestamp_iso,timestamp_unix,elapsed_seconds,phase,baseline_seconds,url,source,output,apower,voltage,freq,current,aenergy_total,ret_aenergy_total,temperature_c,temperature_f,error
0,2026-05-05T14:41:47.818620+00:00,1777992107.81862,0.0003172460710629821,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.8,237.4,49.9,0.689,18625.013,0.0,47.4,117.3,
1,2026-05-05T14:41:48.818569+00:00,1777992108.818569,1.0002765530953184,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.3,237.3,49.9,0.687,18625.013,0.0,47.4,117.4,
2,2026-05-05T14:41:49.819126+00:00,1777992109.819126,2.000834820093587,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,153.3,237.4,49.9,0.699,18625.013,0.0,47.4,117.4,
3,2026-05-05T14:41:50.818712+00:00,1777992110.818712,3.0004232530482113,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.2,237.3,49.9,0.683,18625.013,0.0,47.4,117.4,
4,2026-05-05T14:41:51.818613+00:00,1777992111.818613,4.000323098036461,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.4,49.9,0.686,18625.013,0.0,47.4,117.4,
5,2026-05-05T14:41:52.818831+00:00,1777992112.818831,5.000543215079233,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.1,237.5,49.9,0.687,18625.229,0.0,47.5,117.4,
6,2026-05-05T14:41:53.818929+00:00,1777992113.818929,6.000638019060716,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.4,237.4,49.9,0.696,18625.229,0.0,47.4,117.3,
7,2026-05-05T14:41:54.819031+00:00,1777992114.819031,7.000745784025639,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,152.7,237.4,49.9,0.698,18625.229,0.0,47.5,117.4,
8,2026-05-05T14:41:55.819195+00:00,1777992115.819195,8.000906492001377,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.0,237.4,49.9,0.687,18625.229,0.0,47.5,117.4,
9,2026-05-05T14:41:56.818931+00:00,1777992116.818931,9.00064156204462,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,149.8,237.5,49.9,0.686,18625.229,0.0,47.4,117.4,
10,2026-05-05T14:41:57.819047+00:00,1777992117.819047,10.000758160022087,baseline,120.0,http://192.168.0.105/rpc/Switch.GetStatus?id=0,button,True,150.6,237.2,49.9,0.689,18625.445,0.0,47.4,117.4,
