Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10304,0,150,269.3306589199265,8.792241103947163,3473.1824960326776,10546.938858695652,86.09922704034092,0.0,150,210,280,340,770,1100,1400,1500,3100,3300,3500
POST,/cart,1144,0,160,243.93974689313316,14.1700420062989,1788.0003630416468,17787.749125874125,9.559153312708657,0.0,160,210,270,310,620,930,1200,1400,1700,1800,1800
POST,/cart/checkout,562,0,77,139.67734177657354,10.300967027433217,1414.3502590013668,6803.9395017793595,4.696017623900582,0.0,77,120,150,190,320,590,720,940,1400,1400,1400
GET,/product/0PUK6V6EV0,205,0,91,112.54971833990479,6.920817075297236,982.3119239881635,7994.117073170732,1.7129601653018136,0.0,91,110,120,190,200,300,400,460,980,980,980
GET,/product/1YMWWN1N4O,186,0,95,102.46746403525674,6.9867250276729465,656.1904239933938,8025.430107526881,1.5541980036396943,0.0,95,100,110,140,200,210,390,450,660,660,660
GET,/product/2ZYFJ3GM2N,185,0,92,115.04887210872225,7.822063053026795,945.3923319233581,8024.637837837838,1.5458421003943197,0.0,92,100,110,120,200,390,660,890,950,950,950
GET,/product/66VCHSJNUP,195,0,93,116.67086514524924,7.796077989041805,886.2297208979726,7991.107692307693,1.6294011328480666,0.0,93,100,170,190,210,310,480,580,890,890,890
GET,/product/6E92ZMYYFZ,191,0,100,146.88347978883115,8.24627501424402,858.650911017321,7976.308900523561,1.5959775198665678,0.0,100,120,190,200,350,450,500,790,860,860,860
GET,/product/9SIQT8TOJO,183,0,98,127.097922823229,7.8715820563957095,946.5633929939941,8029.846994535519,1.5291302939035702,0.0,98,110,170,190,210,390,590,850,950,950,950
GET,/product/L9ECAV7KIM,202,0,93,115.99044212414468,7.548865978606045,1008.6244689300656,7994.118811881188,1.6878924555656896,0.0,93,100,110,160,250,300,460,760,1000,1000,1000
GET,/product/LS4PSXUNUM,176,0,93,121.33519842014225,8.100898005068302,1097.1023329766467,7996.153409090909,1.4706389711859473,0.0,94,100,110,180,220,360,750,1000,1100,1100,1100
GET,/product/OLJCESPC7Z,193,0,94,119.54399833028624,8.05268797557801,854.0328888921067,8026.170984455958,1.6126893263573172,0.0,94,110,120,180,210,400,550,770,850,850,850
,Aggregated,13726,0,130,243.19438052410476,6.920817075297236,3473.1824960326776,10679.522657729856,114.69312794601315,0.0,130,200,260,300,660,970,1300,1500,3100,3300,3500
